Symbol,TradingSymbol,Token,LotSize,TickSize
SBIN,SBIN-EQ,3045,1,0.05
RELIANCE,RELIANCE-EQ,2885,1,0.1
KOTAKBANK,KOTAKBANK-EQ,1922,1,0.05
INDUSINDBK,INDUSINDBK-EQ,5258,1,0.05
ICICIBANK,ICICIBANK-EQ,4963,1,0.1
HDFCBANK,HDFCBANK-EQ,1333,1,0.05
DMART,DMART-EQ,19913,1,0.1
COALINDIA,COALINDIA-EQ,20374,1,0.05
BANKBARODA,BANKBARODA-EQ,4668,1,0.05
AXISBANK,AXISBANK-EQ,5900,1,0.1
ADANIPOWER,ADANIPOWER-EQ,17388,1,0.01
ADANIPORTS,ADANIPORTS-EQ,15083,1,0.1
ADANIGREEN,ADANIGREEN-EQ,3563,1,0.1
ADANIENT,ADANIENT-EQ,25,1,0.1
ADANIENSOL,ADANIENSOL-EQ,10217,1,0.1
NIFTY50,Nifty 50,26000,1,0
NIFTYBANK,Nifty Bank,26009,1,0
