Symbol,TradingSymbol,Token,LotSize,TickSize
ZYDUSLIFE,ZYDUSLIFE-EQ,7929,1,0.1
WIPRO,WIPRO-EQ,3787,1,0.01
VEDL,VEDL-EQ,3063,1,0.05
VBL,VBL-EQ,18921,1,0.05
UNIONBANK,UNIONBANK-EQ,10753,1,0.01
ULTRACEMCO,ULTRACEMCO-EQ,11532,1,1.0
TVSMOTOR,TVSMOTOR-EQ,8479,1,0.1
TRENT,TRENT-EQ,1964,1,0.1
TORNTPHARM,TORNTPHARM-EQ,3518,1,0.1
TITAN,TITAN-EQ,3506,1,0.1
TECHM,TECHM-EQ,13538,1,0.1
TCS,TCS-EQ,11536,1,0.1
TATASTEEL,TATASTEEL-EQ,3499,1,0.01
TATAPOWER,TATAPOWER-EQ,3426,1,0.05
TATACONSUM,TATACONSUM-EQ,3432,1,0.1
SUNPHARMA,SUNPHARMA-EQ,3351,1,0.1
SRF,SRF-EQ,3273,1,0.1
SIEMENS,SIEMENS-EQ,3150,1,0.1
SHRIRAMFIN,SHRIRAMFIN-EQ,4306,1,0.05
SBIN,SBIN-EQ,3045,1,0.05
SBILIFE,SBILIFE-EQ,21808,1,0.1
RELIANCE,RELIANCE-EQ,2885,1,0.1
RECLTD,RECLTD-EQ,15355,1,0.05
POWERGRID,POWERGRID-EQ,14977,1,0.05
PNB,PNB-EQ,10666,1,0.01
PIDILITIND,PIDILITIND-EQ,2664,1,0.1
ONGC,ONGC-EQ,2475,1,0.05
NTPC,NTPC-EQ,11630,1,0.05
NHPC,NHPC-EQ,17400,1,0.01
NESTLEIND,NESTLEIND-EQ,17963,1,0.1
NAUKRI,NAUKRI-EQ,13751,1,0.05
MOTHERSON,MOTHERSON-EQ,4204,1,0.01
MAXHEALTH,MAXHEALTH-EQ,22377,1,0.05
MARUTI,MARUTI-EQ,10999,1,1.0
MARICO,MARICO-EQ,4067,1,0.05
MANKIND,MANKIND-EQ,15380,1,0.1
M&M,M&M-EQ,2031,1,0.1
LT,LT-EQ,11483,1,0.1
LODHA,LODHA-EQ,3220,1,0.05
LICHSGFIN,LICHSGFIN-EQ,1997,1,0.05
KOTAKBANK,KOTAKBANK-EQ,1922,1,0.05
JSWSTEEL,JSWSTEEL-EQ,11723,1,0.1
JIOFIN,JIOFIN-EQ,18143,1,0.01
JINDALSTEL,JINDALSTEL-EQ,6733,1,0.1
ITC,ITC-EQ,1660,1,0.05
IRFC,IRFC-EQ,2029,1,0.01
IOC,IOC-EQ,1624,1,0.01
INFY,INFY-EQ,1594,1,0.1
INDUSINDBK,INDUSINDBK-EQ,5258,1,0.05
INDIGO,INDIGO-EQ,11195,1,0.1
INDHOTEL,INDHOTEL-EQ,1512,1,0.05
ICICIPRULI,ICICIPRULI-EQ,18652,1,0.05
ICICIBANK,ICICIBANK-EQ,4963,1,0.1
HYUNDAI,HYUNDAI-EQ,25844,1,0.1
HINDUNILVR,HINDUNILVR-EQ,1394,1,0.1
HINDALCO,HINDALCO-EQ,1363,1,0.1
HEROMOTOCO,HEROMOTOCO-EQ,1348,1,0.1
HDFCBANK,HDFCBANK-EQ,1333,1,0.05
HCLTECH,HCLTECH-EQ,7229,1,0.1
HAVELLS,HAVELLS-EQ,9819,1,0.1
HAL,HAL-EQ,2303,1,0.1
GRASIM,GRASIM-EQ,1232,1,0.1
GODREJCP,GODREJCP-EQ,10099,1,0.1
GAIL,GAIL-EQ,4717,1,0.01
ETERNAL,ETERNAL-EQ,5097,1,0.05
EICHERMOT,EICHERMOT-EQ,910,1,0.5
DRREDDY,DRREDDY-EQ,881,1,0.1
DMART,DMART-EQ,19913,1,0.1
DLF,DLF-EQ,14732,1,0.05
DIVISLAB,DIVISLAB-EQ,10940,1,0.5
DABUR,DABUR-EQ,772,1,0.05
CUMMINSIND,CUMMINSIND-EQ,1901,1,0.5
CONCOR,CONCOR-EQ,4749,1,0.05
COALINDIA,COALINDIA-EQ,20374,1,0.05
CIPLA,CIPLA-EQ,694,1,0.1
CHOLAFIN,CHOLAFIN-EQ,685,1,0.1
CGPOWER,CGPOWER-EQ,760,1,0.05
CANBK,CANBK-EQ,10794,1,0.01
BRITANNIA,BRITANNIA-EQ,547,1,0.5
BPCL,BPCL-EQ,526,1,0.05
BHARTIARTL,BHARTIARTL-EQ,10604,1,0.1
BEL,BEL-EQ,383,1,0.05
BANKBARODA,BANKBARODA-EQ,4668,1,0.05
BAJFINANCE,BAJFINANCE-EQ,317,1,0.05
BAJAJHLDNG,BAJAJHLDNG-EQ,305,1,1.0
BAJAJFINSV,BAJAJFINSV-EQ,16675,1,0.1
BAJAJ-AUTO,BAJAJ-AUTO-EQ,16669,1,1.0
AXISBANK,AXISBANK-EQ,5900,1,0.1
ASIANPAINT,ASIANPAINT-EQ,236,1,0.1
APOLLOHOSP,APOLLOHOSP-EQ,157,1,0.5
AMBUJACEM,AMBUJACEM-EQ,1270,1,0.05
ADANIPOWER,ADANIPOWER-EQ,17388,1,0.01
ADANIPORTS,ADANIPORTS-EQ,15083,1,0.1
ADANIGREEN,ADANIGREEN-EQ,3563,1,0.1
ADANIENT,ADANIENT-EQ,25,1,0.1
ADANIENSOL,ADANIENSOL-EQ,10217,1,0.1
ABB,ABB-EQ,13,1,0.5
NIFTY50,Nifty 50,26000,1,0
NIFTYBANK,Nifty Bank,26009,1,0
NIFTYNXT50,Nifty Next 50,26013,1,0
