Symbol,TradingSymbol,Token,LotSize
RELIANCE,RELIANCE-EQ,2885,10
HDFCBANK,HDFCBANK-EQ,1333,10
BHARTIARTL,BHARTIARTL-EQ,10604,20
ICICIBANK,ICICIBANK-EQ,4963,10
SBIN,SBIN-EQ,3045,10
TCS,TCS-EQ,11536,20
BAJFINANCE,BAJFINANCE-EQ,317,10
LT,LT-EQ,11483,20
HINDUNILVR,HINDUNILVR-EQ,1394,20
SUNPHARMA,SUNPHARMA-EQ,3351,20
INFY,INFY-EQ,1594,10
ADANIENT,ADANIENT-EQ,25,20
ADANIPORTS,ADANIPORTS-EQ,15083,20
AXISBANK,AXISBANK-EQ,5900,10
TITAN,TITAN-EQ,3506,50
HCLTECH,HCLTECH-EQ,7229,10
BAJAJFINSV,BAJAJFINSV-EQ,16675,20
JSWSTEEL,JSWSTEEL-EQ,11723,10
NESTLEIND,NESTLEIND-EQ,17963,10
ASIANPAINT,ASIANPAINT-EQ,236,20
SHRIRAMFIN,SHRIRAMFIN-EQ,4306,10
GRASIM,GRASIM-EQ,1232,20
HINDALCO,HINDALCO-EQ,1363,10
INDIGO,INDIGO-EQ,11195,50
EICHERMOT,EICHERMOT-EQ,910,50
SBILIFE,SBILIFE-EQ,21808,20
TRENT,TRENT-EQ,1964,20
TECHM,TECHM-EQ,13538,20
APOLLOHOSP,APOLLOHOSP-EQ,157,50
CIPLA,CIPLA-EQ,694,10
TATACONSUM,TATACONSUM-EQ,3432,10
MAXHEALTH,MAXHEALTH-EQ,22377,10
DRREDDY,DRREDDY-EQ,881,10
NIFTY50,Nifty 50,26000,50
