Date,Open,High,Low,Close,Volume
2026-04-21,7200.0,7300.0,7184.0,7255.0,260767.0
2026-04-22,7253.0,7822.5,7161.0,7587.0,1729200.0
2026-04-23,7587.0,7650.0,7533.5,7575.5,376857.0
2026-04-24,7575.5,7594.0,7304.0,7328.5,343502.0
2026-04-27,7330.5,7475.0,7282.5,7430.5,267337.0
2026-04-28,7449.0,7490.0,7251.5,7288.0,296110.0
2026-04-29,7340.0,7373.0,7212.0,7264.5,361430.0
2026-04-30,7250.0,7305.0,7102.0,7230.0,327820.0
2026-05-04,7269.0,7363.0,7185.0,7236.5,364239.0
2026-05-05,7248.0,7349.0,7215.0,7328.0,324323.0
2026-05-06,7389.0,7389.0,7135.0,7182.5,282411.0
2026-05-07,7183.0,7279.5,7000.0,7188.0,367185.0
2026-05-08,7210.0,7210.0,6991.5,7012.5,443952.0
2026-05-11,6662.0,6687.0,6323.5,6387.5,2419336.0
2026-05-12,6360.0,6403.0,6171.5,6328.5,976463.0
2026-05-13,6344.0,6395.0,6212.5,6305.0,367052.0
2026-05-14,6350.0,6439.0,6220.0,6429.0,327209.0
2026-05-15,6425.0,6433.5,6307.0,6381.0,249403.0
2026-05-18,6310.0,6445.0,6225.0,6413.5,370285.0
2026-05-19,6430.5,6463.5,6310.0,6329.0,344676.0
2026-05-20,6260.0,6624.0,6259.5,6605.0,546490.0
2026-05-21,6673.0,6718.0,6566.0,6598.0,498808.0
2026-05-22,6600.5,6741.0,6594.0,6689.5,371775.0
2026-05-25,6734.0,6826.0,6712.5,6755.0,263153.0
2026-05-26,6755.0,6822.0,6722.0,6804.0,200573.0
2026-05-27,6841.5,7244.0,6808.0,7219.0,636096.0
2026-05-29,7280.0,7340.0,7121.0,7253.0,1105117.0
2026-06-01,7253.0,7254.0,7004.0,7027.5,452205.0
2026-06-02,6970.0,7169.0,6957.0,7146.0,511846.0
2026-06-03,7146.0,7247.0,7083.0,7196.0,309040.0
2026-06-04,7192.0,7327.0,7122.5,7156.0,298566.0
2026-06-05,7175.0,7217.0,7108.5,7167.5,249982.0
2026-06-08,7105.5,7129.5,6893.0,6958.0,240753.0
2026-06-09,7000.0,7063.5,6908.0,6931.0,254364.0
2026-06-10,6905.5,6951.5,6769.0,6801.0,463997.0
2026-06-11,6782.0,6815.5,6653.0,6719.0,262862.0
2026-06-12,6783.0,6854.5,6722.0,6770.5,188800.0
2026-06-15,6880.0,6977.5,6821.0,6922.5,227935.0
2026-06-16,6955.0,7079.5,6939.0,7021.0,366666.0
2026-06-17,7021.0,7187.5,6980.0,7164.0,298071.0
2026-06-18,7175.0,7254.0,7089.5,7229.0,239735.0
2026-06-19,7288.0,7304.0,7183.0,7248.0,241827.0
2026-06-22,7250.0,7290.5,7200.0,7258.0,150159.0
2026-06-23,7253.5,7285.0,7109.0,7158.5,186185.0
2026-06-24,7174.5,7199.0,6935.0,6967.5,280561.0
2026-06-25,7040.0,7098.0,6963.0,6993.0,231515.0
2026-06-29,7000.0,7268.0,6886.5,7128.0,915384.0
2026-06-30,7070.0,7100.0,6993.0,7031.0,367996.0
2026-07-01,7046.0,7073.5,6915.0,6937.0,146578.0
2026-07-02,6950.0,6961.0,6830.5,6861.0,264804.0
2026-07-03,6881.0,6975.0,6752.0,6950.5,345071.0
2026-07-06,6985.5,7085.0,6891.0,7073.0,238108.0
2026-07-07,7107.0,7107.0,6868.0,6978.0,229515.0
2026-07-08,6908.5,6943.5,6725.0,6771.5,331230.0
2026-07-09,6780.0,6861.5,6780.0,6820.0,119092.0
2026-07-10,6835.0,6911.0,6812.0,6836.0,110261.0
2026-07-13,6800.0,6872.0,6715.5,6807.0,297882.0
2026-07-14,6778.5,6920.0,6744.0,6892.0,187662.0
2026-07-15,6940.0,7270.0,6926.5,7204.5,763817.0
2026-07-16,7210.5,7924.5,7191.0,7667.5,2577801.0
