Date,Open,High,Low,Close,Volume
2026-04-02,940.0,946.55,903.15,941.6,1748061.0
2026-04-06,941.9,999.65,936.1,991.35,2083508.0
2026-04-07,988.1,999.5,975.0,986.25,1498986.0
2026-04-08,1019.9,1084.85,1014.05,1073.3,4475280.0
2026-04-09,1073.2,1085.0,1052.8,1078.75,2130340.0
2026-04-10,1079.9,1160.4,1079.3,1157.9,7933292.0
2026-04-13,1120.0,1187.25,1114.2,1175.3,4050611.0
2026-04-15,1195.0,1205.7,1165.2,1171.15,2053037.0
2026-04-16,1182.15,1229.5,1172.15,1222.6,3144521.0
2026-04-17,1234.55,1266.45,1221.6,1259.8,4943744.0
2026-04-20,1253.1,1291.5,1246.35,1259.4,2335390.0
2026-04-21,1268.35,1273.1,1243.55,1265.3,1655410.0
2026-04-22,1269.5,1383.4,1265.3,1368.1,6551573.0
2026-04-23,1365.0,1389.45,1338.65,1361.25,4049540.0
2026-04-24,1359.95,1425.0,1282.4,1411.95,7928505.0
2026-04-27,1425.0,1453.2,1388.3,1435.8,5533751.0
2026-04-28,1439.9,1463.65,1413.15,1435.45,3082735.0
2026-04-29,1439.0,1461.95,1412.0,1418.15,2356863.0
2026-04-30,1336.0,1377.1,1308.0,1342.25,6547437.0
2026-05-04,1357.0,1417.7,1329.3,1398.4,3745191.0
2026-05-05,1394.6,1438.0,1377.0,1409.6,5440472.0
2026-05-06,1411.0,1422.0,1389.1,1407.3,3076159.0
2026-05-07,1406.7,1410.7,1370.0,1387.1,2818342.0
2026-05-08,1390.0,1397.0,1346.0,1353.6,3113343.0
2026-05-11,1350.8,1357.8,1298.5,1340.4,4535753.0
2026-05-12,1340.4,1364.8,1258.3,1284.3,4849640.0
2026-05-13,1257.8,1334.8,1236.6,1318.2,4691091.0
2026-05-14,1329.9,1342.0,1295.0,1319.1,3931057.0
2026-05-15,1365.0,1365.0,1276.3,1303.6,4283369.0
2026-05-18,1295.0,1334.5,1248.2,1328.3,4008711.0
2026-05-19,1345.0,1361.1,1311.3,1329.5,3103779.0
2026-05-20,1319.0,1359.8,1307.5,1346.1,2786130.0
2026-05-21,1356.0,1395.0,1332.1,1342.2,3223315.0
2026-05-22,1365.0,1391.8,1363.1,1367.9,3344194.0
2026-05-25,1381.2,1412.0,1357.6,1404.3,3046325.0
2026-05-26,1405.0,1489.0,1397.6,1463.3,6172118.0
2026-05-27,1485.0,1558.8,1475.1,1540.1,7841736.0
2026-05-29,1557.1,1578.5,1504.0,1513.3,3353166.0
2026-06-01,1521.8,1524.0,1486.5,1496.5,2692605.0
2026-06-02,1494.2,1536.8,1475.5,1530.6,2826067.0
2026-06-03,1531.5,1532.0,1445.0,1493.1,4433558.0
2026-06-04,1492.0,1526.8,1482.9,1520.0,2706265.0
2026-06-05,1528.4,1591.4,1527.0,1579.0,5528998.0
2026-06-08,1558.9,1614.8,1535.1,1570.4,6296050.0
2026-06-09,1597.4,1599.0,1558.0,1579.2,3013275.0
2026-06-10,1580.0,1580.7,1521.4,1535.6,2286852.0
2026-06-11,1532.9,1541.5,1460.8,1466.7,2013886.0
2026-06-12,1499.0,1509.0,1477.0,1489.6,1607528.0
2026-06-15,1506.9,1534.8,1486.1,1491.9,1914035.0
2026-06-16,1498.0,1519.0,1475.5,1491.1,1686111.0
2026-06-17,1494.7,1496.3,1470.0,1491.0,1270712.0
2026-06-18,1493.0,1540.0,1483.5,1523.3,1942444.0
2026-06-19,1530.0,1540.0,1496.9,1507.4,2482204.0
2026-06-22,1515.0,1544.4,1496.1,1539.4,1683730.0
2026-06-23,1547.2,1551.0,1480.0,1493.7,1788461.0
2026-06-24,1499.0,1522.5,1482.4,1495.9,1290346.0
2026-06-25,1509.0,1531.0,1500.5,1507.8,1235265.0
2026-06-29,1505.0,1505.0,1465.0,1486.4,7707203.0
2026-06-30,1494.0,1499.2,1471.0,1491.4,2175583.0
2026-07-01,1491.4,1536.7,1470.0,1521.4,2095932.0
