Date,Open,High,Low,Close,Volume
2026-04-21,2229.7,2255.0,2220.0,2226.0,1818221.0
2026-04-22,2229.0,2278.6,2224.1,2260.8,3517237.0
2026-04-23,2243.5,2333.9,2221.8,2300.0,2948009.0
2026-04-24,2310.2,2321.4,2227.0,2287.6,2271317.0
2026-04-27,2300.2,2337.0,2286.0,2321.8,1500864.0
2026-04-28,2321.8,2420.0,2320.9,2412.4,4375556.0
2026-04-29,2427.6,2443.8,2388.0,2425.9,4656967.0
2026-04-30,2394.9,2420.0,2328.8,2408.4,3538354.0
2026-05-04,2390.4,2515.0,2375.0,2485.7,6039537.0
2026-05-05,2470.0,2511.9,2450.0,2462.0,1622580.0
2026-05-06,2475.5,2546.5,2472.2,2540.3,3169133.0
2026-05-07,2540.3,2549.9,2506.2,2513.7,1098088.0
2026-05-08,2519.0,2546.1,2500.0,2505.9,1499613.0
2026-05-11,2495.0,2514.0,2460.0,2500.2,1279432.0
2026-05-12,2487.7,2511.7,2400.1,2405.2,1459022.0
2026-05-13,2401.1,2530.0,2401.1,2498.0,2036291.0
2026-05-14,2530.1,2720.0,2530.0,2712.9,9539233.0
2026-05-15,2781.1,2803.1,2661.0,2716.0,6742083.0
2026-05-18,2700.0,2710.0,2647.5,2689.8,2033884.0
2026-05-19,2734.7,2774.5,2697.0,2725.0,4204144.0
2026-05-20,2715.0,2720.0,2685.1,2704.8,1187449.0
2026-05-21,2727.9,2770.0,2684.0,2697.6,1606690.0
2026-05-22,2710.2,2745.0,2706.1,2717.3,1094843.0
2026-05-25,2739.8,2858.8,2739.3,2849.7,3277924.0
2026-05-26,2846.0,2979.4,2825.0,2969.3,4899494.0
2026-05-27,2982.0,3027.5,2944.0,2973.1,3826916.0
2026-05-29,2987.8,2995.0,2926.8,2937.4,4040865.0
2026-06-01,2949.9,2955.7,2891.1,2909.4,1629342.0
2026-06-02,2885.0,2975.0,2865.2,2968.1,2066890.0
2026-06-03,2960.0,2965.0,2888.1,2925.6,1346112.0
2026-06-04,2920.0,2983.0,2918.1,2972.8,1722991.0
2026-06-05,2992.0,3059.8,2921.8,3048.2,5617327.0
2026-06-08,3017.7,3039.8,2955.1,2970.0,1653499.0
2026-06-09,2985.9,2998.7,2935.9,2979.9,1841620.0
2026-06-10,2977.0,2994.9,2918.0,2931.1,1475029.0
2026-06-11,2895.1,2966.8,2895.1,2908.8,1204115.0
2026-06-12,2958.8,2971.9,2886.2,2921.6,2321009.0
2026-06-15,2960.0,2983.0,2935.0,2942.5,1174229.0
2026-06-16,2971.4,2997.7,2928.3,2943.6,1851843.0
2026-06-17,2958.0,2974.5,2934.6,2951.9,1244567.0
2026-06-18,2952.0,3041.0,2938.0,3013.4,1774394.0
2026-06-19,3017.0,3051.9,3009.1,3038.4,3620222.0
2026-06-22,3040.0,3065.0,3001.0,3059.6,1726452.0
2026-06-23,3072.0,3091.7,2943.5,2962.9,1620658.0
2026-06-24,2988.3,3077.8,2971.0,3069.7,2527812.0
2026-06-25,3086.0,3105.0,3027.7,3038.0,1719600.0
2026-06-29,3020.0,3020.0,2955.0,2962.5,1693354.0
2026-06-30,2980.0,3054.6,2969.0,3036.0,2099291.0
2026-07-01,3041.0,3149.8,3012.8,3143.6,3415655.0
2026-07-02,3155.9,3229.6,3147.0,3177.5,3400034.0
2026-07-03,3192.0,3224.0,3105.5,3212.1,2848623.0
2026-07-06,3230.0,3245.0,3187.7,3206.6,1978869.0
2026-07-07,3209.9,3215.2,3096.5,3107.2,2093552.0
2026-07-08,3105.0,3146.9,3028.0,3046.9,2321035.0
2026-07-09,3060.0,3105.0,3026.8,3083.6,2609306.0
2026-07-10,3105.0,3183.0,3100.0,3157.3,2145335.0
2026-07-13,3127.3,3195.0,3115.2,3177.5,1599810.0
2026-07-14,3169.9,3219.7,3145.0,3188.9,1932879.0
2026-07-15,3195.0,3199.9,3142.3,3150.6,1035101.0
2026-07-16,3167.6,3190.0,3140.1,3151.4,1151243.0
