Date,Open,High,Low,Close,Volume
2026-04-02,840.0,863.95,814.75,856.0,9516053.0
2026-04-06,857.0,926.7,856.05,921.1,13113062.0
2026-04-07,921.1,934.9,910.05,925.35,4589372.0
2026-04-08,969.0,1046.6,967.95,1029.65,16043205.0
2026-04-09,1032.0,1048.0,1021.3,1044.55,5921322.0
2026-04-10,1044.5,1087.75,1040.5,1085.35,7332980.0
2026-04-13,1051.0,1096.85,1043.0,1085.45,5816187.0
2026-04-15,1107.0,1123.75,1091.3,1096.05,2759798.0
2026-04-16,1101.55,1126.7,1098.15,1118.9,2938260.0
2026-04-17,1140.0,1140.0,1105.15,1127.3,5883883.0
2026-04-20,1126.5,1195.0,1120.4,1152.7,7598644.0
2026-04-21,1155.15,1183.95,1143.0,1150.0,2752849.0
2026-04-22,1152.0,1205.0,1148.0,1198.95,4934584.0
2026-04-23,1193.0,1240.0,1180.5,1214.15,6765325.0
2026-04-24,1222.0,1252.0,1150.05,1235.8,12960727.0
2026-04-27,1245.0,1257.35,1212.85,1229.7,7118501.0
2026-04-28,1235.5,1259.15,1223.2,1249.95,4303385.0
2026-04-29,1256.0,1271.95,1237.0,1244.8,2941179.0
2026-04-30,1235.0,1237.55,1203.55,1227.15,3019213.0
2026-05-04,1232.4,1305.0,1228.3,1290.7,6304755.0
2026-05-05,1291.0,1339.0,1284.2,1331.4,4473238.0
2026-05-06,1340.0,1368.0,1318.2,1353.0,4273727.0
2026-05-07,1358.0,1378.0,1351.0,1365.0,2553883.0
2026-05-08,1364.1,1373.0,1349.5,1355.8,2014853.0
2026-05-11,1343.0,1398.0,1324.4,1387.7,4188831.0
2026-05-12,1380.0,1387.7,1296.1,1308.0,5172722.0
2026-05-13,1302.1,1388.7,1291.4,1366.7,5391989.0
2026-05-14,1379.0,1424.1,1376.8,1414.9,4875061.0
2026-05-15,1457.0,1471.0,1370.1,1379.0,9479876.0
2026-05-18,1374.9,1374.9,1312.4,1369.0,3820968.0
2026-05-19,1390.0,1443.0,1369.0,1377.8,8654467.0
2026-05-20,1360.0,1370.0,1348.1,1363.2,2669468.0
2026-05-21,1381.5,1401.0,1351.6,1358.2,2772832.0
2026-05-22,1364.0,1381.8,1359.0,1362.3,1681359.0
2026-05-25,1381.0,1420.7,1365.8,1411.1,4194567.0
2026-05-26,1410.0,1465.0,1403.2,1457.4,4949474.0
2026-05-27,1472.0,1518.0,1467.0,1489.9,6509853.0
2026-05-29,1500.0,1532.5,1465.1,1475.4,4207457.0
2026-06-01,1477.0,1486.0,1442.4,1446.9,3419134.0
2026-06-02,1445.0,1457.8,1408.5,1449.4,4897662.0
2026-06-03,1450.0,1451.7,1396.0,1427.5,2227421.0
2026-06-04,1428.0,1455.3,1418.3,1423.3,2248728.0
2026-06-05,1431.0,1530.0,1430.1,1525.7,10448500.0
2026-06-08,1500.6,1528.1,1480.0,1490.5,4266093.0
2026-06-09,1518.8,1544.8,1490.3,1534.5,4557152.0
2026-06-10,1535.0,1537.3,1477.4,1483.0,3132337.0
2026-06-11,1482.4,1494.7,1450.4,1454.5,2371420.0
2026-06-12,1480.0,1493.0,1455.2,1485.7,1975815.0
2026-06-15,1502.0,1512.1,1476.7,1482.6,2245384.0
2026-06-16,1489.6,1496.0,1472.6,1482.5,1251445.0
2026-06-17,1489.7,1489.7,1456.3,1465.8,2163196.0
2026-06-18,1472.5,1520.0,1465.0,1506.8,2123098.0
2026-06-19,1508.0,1527.0,1493.1,1502.4,2962921.0
2026-06-22,1509.0,1555.0,1490.5,1549.9,2956240.0
2026-06-23,1552.0,1557.0,1487.0,1511.2,2885195.0
2026-06-24,1509.9,1533.6,1492.1,1525.4,1932189.0
2026-06-25,1534.8,1551.0,1518.6,1526.1,2282406.0
2026-06-29,1506.9,1518.2,1469.3,1502.5,5334970.0
2026-06-30,1504.0,1508.5,1484.0,1492.2,2679140.0
2026-07-01,1492.2,1546.0,1482.4,1535.0,2563470.0
