Date,Open,High,Low,Close,Volume
2026-04-02,1354.4,1384.2,1332.6,1377.6,3210456.0
2026-04-06,1379.8,1391.8,1348.1,1387.1,2519628.0
2026-04-07,1375.0,1390.0,1368.4,1381.0,1812944.0
2026-04-08,1464.9,1505.7,1449.0,1453.3,7636467.0
2026-04-09,1437.0,1456.2,1415.2,1447.4,3159307.0
2026-04-10,1442.0,1478.1,1438.3,1475.3,4026881.0
2026-04-13,1426.8,1477.9,1421.0,1465.3,3629785.0
2026-04-15,1484.3,1515.0,1480.9,1511.8,4415637.0
2026-04-16,1524.9,1555.8,1510.0,1549.8,7476052.0
2026-04-17,1559.0,1578.5,1549.2,1573.4,6024587.0
2026-04-20,1572.4,1600.5,1566.1,1578.4,2998603.0
2026-04-21,1578.5,1611.9,1578.4,1594.1,4276868.0
2026-04-22,1588.9,1603.4,1582.0,1588.6,1918773.0
2026-04-23,1575.0,1611.0,1566.2,1602.9,2406876.0
2026-04-24,1612.0,1618.8,1556.5,1585.1,2290223.0
2026-04-27,1600.0,1649.9,1593.0,1628.5,3787783.0
2026-04-28,1628.4,1648.0,1624.5,1637.6,2500914.0
2026-04-29,1645.0,1672.0,1644.9,1661.1,2345365.0
2026-04-30,1650.0,1677.0,1596.8,1657.3,6313698.0
2026-05-04,1702.0,1748.6,1687.3,1742.6,7171346.0
2026-05-05,1749.8,1757.4,1718.7,1725.0,4357699.0
2026-05-06,1750.0,1762.4,1718.6,1748.3,3001204.0
2026-05-07,1748.3,1755.9,1708.0,1732.8,3280485.0
2026-05-08,1740.4,1792.0,1727.7,1760.4,4984856.0
2026-05-11,1757.1,1785.6,1733.1,1767.3,4111229.0
2026-05-12,1752.0,1765.9,1683.2,1688.2,3441070.0
2026-05-13,1688.2,1752.3,1688.0,1737.8,3018421.0
2026-05-14,1761.0,1782.5,1745.4,1773.4,3051398.0
2026-05-15,1796.8,1823.9,1766.2,1795.1,5622212.0
2026-05-18,1785.5,1793.0,1745.0,1787.7,2562978.0
2026-05-19,1790.8,1805.0,1758.8,1762.8,2274987.0
2026-05-20,1749.0,1777.8,1744.3,1772.6,1283223.0
2026-05-21,1781.4,1800.8,1776.8,1793.3,1628329.0
2026-05-22,1793.3,1802.3,1780.5,1786.9,1487044.0
2026-05-25,1809.0,1813.3,1793.0,1802.9,1516143.0
2026-05-26,1805.0,1820.5,1800.0,1811.2,2104926.0
2026-05-27,1810.0,1842.8,1809.9,1824.5,2102406.0
2026-05-29,1836.4,1840.7,1796.4,1804.6,3554087.0
2026-06-01,1809.1,1814.9,1777.0,1783.5,1224826.0
2026-06-02,1745.2,1817.8,1745.2,1814.5,2256569.0
2026-06-03,1829.4,1840.0,1781.9,1803.8,2967709.0
2026-06-04,1794.3,1826.4,1786.2,1790.9,1369988.0
2026-06-05,1801.5,1827.9,1796.7,1824.2,1640762.0
2026-06-08,1805.6,1832.8,1791.6,1805.0,2574439.0
2026-06-09,1828.0,1832.6,1792.4,1826.4,1776339.0
2026-06-10,1826.0,1857.8,1812.2,1821.2,2933100.0
2026-06-11,1814.6,1820.4,1781.7,1787.1,2229041.0
2026-06-12,1804.0,1818.0,1777.9,1812.9,2325897.0
2026-06-15,1839.0,1840.3,1798.9,1804.8,1421741.0
2026-06-16,1804.8,1828.0,1797.1,1822.0,2215994.0
2026-06-17,1824.0,1833.0,1806.3,1828.6,2697924.0
2026-06-18,1833.0,1849.5,1820.0,1842.1,1643528.0
2026-06-19,1842.1,1849.0,1830.0,1835.3,4382841.0
2026-06-22,1835.3,1836.8,1808.1,1827.2,1524494.0
2026-06-23,1832.6,1842.0,1779.1,1784.0,3309685.0
2026-06-24,1786.0,1818.0,1775.0,1813.3,2141905.0
2026-06-25,1813.3,1831.4,1790.9,1796.0,1850390.0
2026-06-29,1809.5,1809.5,1770.5,1776.1,1693498.0
2026-06-30,1786.9,1816.3,1782.6,1810.2,2230098.0
2026-07-01,1829.5,1881.7,1815.4,1848.2,4123193.0
