Date,Open,High,Low,Close,Volume
2026-04-07,163.0,165.66,161.6,163.36,34671421.0
2026-04-08,168.0,174.35,166.21,169.31,66318120.0
2026-04-09,168.95,173.5,167.55,172.33,42258124.0
2026-04-10,173.6,178.1,172.11,175.81,51959590.0
2026-04-13,172.0,184.4,170.36,181.35,91406261.0
2026-04-15,185.27,187.07,181.55,183.43,51497511.0
2026-04-16,184.0,194.37,183.27,193.19,69751834.0
2026-04-17,196.45,200.0,190.66,198.5,95051761.0
2026-04-20,198.5,207.5,197.41,200.83,81881887.0
2026-04-21,203.3,207.3,201.87,202.98,57973716.0
2026-04-22,203.99,216.5,203.3,215.65,117165796.0
2026-04-23,216.0,217.25,212.53,214.18,58947381.0
2026-04-24,215.44,216.87,207.0,212.9,61885765.0
2026-04-27,214.6,222.16,214.6,218.05,57532309.0
2026-04-28,219.5,224.66,219.29,223.35,46710708.0
2026-04-29,225.0,226.24,215.35,219.28,51932086.0
2026-04-30,216.9,223.5,214.24,221.85,67584204.0
2026-05-04,223.0,234.0,221.9,227.3,67200729.0
2026-05-05,227.97,234.4,227.3,229.96,43045308.0
2026-05-06,232.39,232.39,224.24,229.12,45243061.0
2026-05-07,230.0,233.47,229.5,230.19,37064595.0
2026-05-08,231.0,231.43,224.03,225.33,27156296.0
2026-05-11,224.5,224.68,217.8,222.03,30556141.0
2026-05-12,222.77,224.63,208.03,209.63,46023863.0
2026-05-13,209.0,217.95,208.9,213.87,49608338.0
2026-05-14,216.4,225.7,215.87,224.49,41896940.0
2026-05-15,229.0,229.0,213.78,221.33,60020608.0
2026-05-18,221.0,223.5,218.03,219.3,30197883.0
2026-05-19,223.8,225.0,218.3,219.09,35941457.0
2026-05-20,218.9,220.6,216.19,220.24,22506946.0
2026-05-21,222.3,226.4,218.5,219.33,34984894.0
2026-05-22,220.5,222.47,219.0,219.32,17090471.0
2026-05-25,221.0,234.6,220.31,233.38,73847208.0
2026-05-26,234.25,245.7,233.77,244.53,91664035.0
2026-05-27,247.6,252.65,245.5,248.91,85859567.0
2026-05-29,250.9,254.2,242.19,243.37,71856898.0
2026-06-01,245.0,245.69,231.75,232.3,46168552.0
2026-06-02,230.0,236.67,227.41,235.93,40494771.0
2026-06-03,237.0,237.15,229.43,232.52,22600806.0
2026-06-04,230.5,235.65,229.15,230.03,23485301.0
2026-06-05,231.68,236.25,230.1,232.6,30846795.0
2026-06-08,230.97,234.35,224.02,225.85,34194584.0
2026-06-09,229.77,229.88,224.0,226.14,26466973.0
2026-06-10,227.3,227.3,220.05,220.58,21659105.0
2026-06-11,219.24,222.34,214.8,215.51,30938415.0
2026-06-12,218.44,223.89,216.43,223.07,27825184.0
2026-06-15,226.95,227.0,220.0,220.52,26726675.0
2026-06-16,221.9,224.8,218.61,222.6,29486320.0
2026-06-17,222.6,222.6,219.72,220.4,20834476.0
2026-06-18,220.4,232.2,219.4,230.57,49545386.0
2026-06-19,231.71,234.23,227.81,231.76,46115820.0
2026-06-22,231.5,234.4,229.03,233.78,19943922.0
2026-06-23,234.1,235.5,226.14,231.39,27392120.0
2026-06-24,230.55,233.92,228.63,229.76,16821729.0
2026-06-25,231.29,232.49,228.65,229.27,18735720.0
2026-06-29,228.12,228.6,224.53,227.05,72715673.0
2026-06-30,228.0,228.32,221.69,223.77,22697791.0
2026-07-01,223.77,229.8,223.21,226.86,39061121.0
2026-07-02,226.87,228.45,223.5,224.55,20862324.0
2026-07-03,225.75,226.32,219.55,221.79,19666241.0
