Date,Open,High,Low,Close,Volume
2026-04-07,426.95,426.95,418.0,420.45,3100760.0
2026-04-08,438.0,462.45,435.0,446.75,7851973.0
2026-04-09,446.95,446.95,432.0,434.05,4904296.0
2026-04-10,437.0,447.0,435.25,445.2,3576120.0
2026-04-13,432.95,443.8,427.5,441.0,2307559.0
2026-04-15,449.9,457.5,448.05,454.0,2825450.0
2026-04-16,457.0,460.25,451.1,458.05,2057087.0
2026-04-17,459.2,461.95,456.1,459.0,1899655.0
2026-04-20,459.0,464.0,453.0,454.9,1733571.0
2026-04-21,455.95,460.0,453.55,456.25,1471622.0
2026-04-22,453.5,463.65,451.0,460.9,1475937.0
2026-04-23,457.95,457.95,449.0,450.4,2393788.0
2026-04-24,451.0,457.7,440.4,451.2,3729295.0
2026-04-27,453.5,468.8,453.45,460.5,3444150.0
2026-04-28,462.85,465.0,456.0,458.8,1789522.0
2026-04-29,463.7,465.5,453.0,454.6,1778884.0
2026-04-30,450.2,450.2,440.1,444.2,3322936.0
2026-05-04,446.0,460.75,438.05,445.3,12403895.0
2026-05-05,439.0,441.1,431.5,433.1,8250228.0
2026-05-06,438.55,449.6,435.8,446.9,5333664.0
2026-05-07,446.5,454.2,445.1,450.65,4351743.0
2026-05-08,449.0,457.95,442.5,444.3,5045246.0
2026-05-11,441.75,441.75,432.4,436.2,4019675.0
2026-05-12,434.9,442.0,425.2,426.95,3306821.0
2026-05-13,428.15,441.15,425.4,438.4,3622406.0
2026-05-14,438.9,447.15,433.25,443.9,3486802.0
2026-05-15,449.0,451.55,431.4,433.75,2812091.0
2026-05-18,430.0,431.7,421.1,430.15,2003511.0
2026-05-19,430.5,434.6,428.8,431.7,1856159.0
2026-05-20,428.2,431.6,425.15,430.25,1976324.0
2026-05-21,435.0,438.0,430.95,436.45,2915980.0
2026-05-22,438.6,441.0,435.1,436.35,2717748.0
2026-05-25,437.1,444.65,437.1,441.95,3029764.0
2026-05-26,442.05,455.95,440.6,449.7,4449009.0
2026-05-27,450.0,462.0,449.7,459.75,4281809.0
2026-05-29,460.95,461.95,445.45,447.85,3804649.0
2026-06-01,448.6,452.0,433.1,434.9,2903380.0
2026-06-02,432.0,441.6,429.65,439.35,4263528.0
2026-06-03,438.2,440.5,424.0,426.95,8611792.0
2026-06-04,425.9,429.8,423.65,426.35,2808700.0
2026-06-05,430.0,430.45,415.0,417.55,7371968.0
2026-06-08,415.2,422.75,411.1,415.3,3402602.0
2026-06-09,416.5,417.75,412.6,416.0,1816420.0
2026-06-10,416.0,417.65,408.25,409.8,2195127.0
2026-06-11,407.55,410.15,404.8,406.05,1605560.0
2026-06-12,412.25,426.05,408.7,423.1,2885819.0
2026-06-15,431.4,435.9,427.0,428.85,3311686.0
2026-06-16,431.6,431.6,424.1,426.05,2106091.0
2026-06-17,427.95,428.25,422.5,426.45,2960337.0
2026-06-18,428.0,433.85,423.2,430.0,3210633.0
2026-06-19,429.95,433.0,421.8,423.95,2145518.0
2026-06-22,426.15,429.0,422.6,428.0,3536363.0
2026-06-23,428.95,429.4,414.0,414.85,3043505.0
2026-06-24,416.0,428.0,415.15,426.85,4347023.0
2026-06-25,429.9,434.3,422.55,423.75,3173028.0
2026-06-29,421.55,427.25,420.35,424.25,2985056.0
2026-06-30,425.0,425.85,419.65,421.85,3012504.0
2026-07-01,420.3,423.0,418.1,418.85,3312629.0
2026-07-02,422.2,431.5,421.35,428.95,6105874.0
2026-07-03,431.7,444.2,430.0,443.4,6168156.0
