Date,Open,High,Low,Close,Volume
2026-04-15,7516.5,7686.0,7500.0,7642.0,464570.0
2026-04-16,7678.0,7678.0,7510.0,7553.0,400487.0
2026-04-17,7553.0,7710.0,7515.0,7699.0,343875.0
2026-04-20,7705.0,7730.5,7622.0,7657.0,344019.0
2026-04-21,7686.5,7765.0,7667.5,7744.0,312758.0
2026-04-22,7702.0,7801.5,7615.0,7662.0,608446.0
2026-04-23,7685.0,7815.0,7601.0,7781.0,304110.0
2026-04-24,7814.0,7845.0,7684.5,7732.5,407458.0
2026-04-27,7759.0,7850.0,7735.0,7825.0,289661.0
2026-04-28,7840.0,7878.5,7711.0,7753.0,353826.0
2026-04-29,7745.0,7799.0,7681.0,7709.0,321242.0
2026-04-30,7634.5,7680.0,7561.5,7636.5,392016.0
2026-05-04,7699.5,7790.0,7673.0,7737.5,328426.0
2026-05-05,7724.5,7780.5,7678.0,7772.0,254331.0
2026-05-06,7810.5,7815.0,7742.5,7760.5,437084.0
2026-05-07,7760.5,7855.0,7744.0,7837.0,405862.0
2026-05-08,7837.0,8115.0,7812.5,8097.0,922866.0
2026-05-11,8046.0,8144.0,8022.5,8082.0,466135.0
2026-05-12,8050.0,8078.0,7995.0,8022.5,390002.0
2026-05-13,7981.0,8112.0,7981.0,8004.5,329337.0
2026-05-14,8011.0,8180.0,8011.0,8119.0,431011.0
2026-05-15,8170.0,8170.0,8028.5,8082.5,300134.0
2026-05-18,8062.5,8099.0,8006.0,8020.5,323387.0
2026-05-19,8030.0,8093.5,7983.0,8026.0,396261.0
2026-05-20,7924.0,8140.0,7814.5,8078.5,492013.0
2026-05-21,8198.5,8388.0,8051.5,8308.5,1425124.0
2026-05-22,8308.5,8440.5,8255.0,8362.5,564876.0
2026-05-25,8430.0,8443.0,8375.0,8404.0,364945.0
2026-05-26,8404.0,8434.0,8228.0,8258.5,310581.0
2026-05-27,8243.0,8305.0,8170.0,8272.5,293786.0
2026-05-29,8176.5,8325.0,8146.0,8176.5,1042419.0
2026-06-01,8221.5,8249.5,8081.0,8108.5,217401.0
2026-06-02,7816.0,8120.0,7816.0,8089.5,556161.0
2026-06-03,8109.5,8317.5,8109.5,8290.5,724687.0
2026-06-04,8270.0,8301.5,8225.0,8249.0,345278.0
2026-06-05,8265.0,8341.0,8240.0,8304.5,187969.0
2026-06-08,8211.0,8490.0,8211.0,8358.5,539009.0
2026-06-09,8420.0,8538.5,8365.5,8524.0,818210.0
2026-06-10,8527.0,8624.0,8470.5,8488.5,487815.0
2026-06-11,8478.0,8531.0,8425.0,8493.0,314597.0
2026-06-12,8535.0,8558.0,8440.0,8498.0,276444.0
2026-06-15,8526.0,8534.0,8391.0,8468.5,358223.0
2026-06-16,8468.5,8517.0,8382.0,8390.5,263172.0
2026-06-17,8390.5,8464.5,8385.0,8427.5,185437.0
2026-06-18,8438.5,8464.5,8387.0,8411.5,304242.0
2026-06-19,8404.0,8521.0,8400.0,8489.5,333583.0
2026-06-22,8538.0,8538.0,8434.5,8469.0,208982.0
2026-06-23,8498.0,8559.0,8457.0,8487.5,248581.0
2026-06-24,8500.0,8585.5,8451.0,8573.5,399731.0
2026-06-25,8575.5,8693.5,8535.5,8592.0,378450.0
2026-06-29,8700.0,8734.0,8605.0,8655.0,363592.0
2026-06-30,8654.5,8770.0,8649.0,8682.0,491231.0
2026-07-01,8681.0,8738.5,8611.5,8618.5,163174.0
2026-07-02,8620.0,8750.0,8611.5,8696.0,152705.0
2026-07-03,8743.0,8920.5,8717.5,8893.5,377549.0
2026-07-06,8896.0,8925.0,8823.5,8888.5,219681.0
2026-07-07,8888.0,8950.0,8811.0,8837.0,189321.0
2026-07-08,8800.0,8888.0,8700.0,8753.5,275829.0
2026-07-09,8756.5,8920.5,8756.5,8845.5,571832.0
2026-07-10,8849.0,8886.5,8773.5,8841.0,264694.0
