Date,Open,High,Low,Close,Volume
2026-03-23,818.1,818.8,787.9,812.6,15835828.0
2026-03-24,830.0,854.0,817.6,849.0,18828248.0
2026-03-25,862.05,888.8,853.3,882.75,15995501.0
2026-03-27,875.0,875.15,841.25,843.8,11282824.0
2026-03-30,831.0,834.9,799.0,801.55,20377282.0
2026-04-01,832.8,842.05,814.8,817.3,15094026.0
2026-04-02,809.0,830.05,792.45,826.85,9113618.0
2026-04-06,828.9,853.0,814.25,850.85,12504591.0
2026-04-07,848.0,862.8,844.45,855.1,11569047.0
2026-04-08,890.0,926.0,881.0,915.05,13826150.0
2026-04-09,902.0,913.4,891.4,903.25,9457820.0
2026-04-10,915.75,927.3,912.3,924.55,9491544.0
2026-04-13,896.15,905.9,881.1,898.95,10723313.0
2026-04-15,925.0,925.0,911.1,913.15,5975197.0
2026-04-16,919.0,932.6,904.0,905.9,11805227.0
2026-04-17,902.15,910.45,895.8,908.25,6035241.0
2026-04-20,908.25,920.9,898.0,917.75,6184179.0
2026-04-21,919.5,945.95,919.0,938.85,6713975.0
2026-04-22,938.0,946.35,930.15,934.75,5759028.0
2026-04-23,926.1,929.85,909.35,918.35,9143598.0
2026-04-24,920.0,924.7,909.8,921.55,3982355.0
2026-04-27,923.05,928.95,908.3,921.8,7813458.0
2026-04-28,921.8,929.9,914.35,923.65,7119135.0
2026-04-29,925.0,937.0,916.6,930.0,5438997.0
2026-04-30,945.0,975.0,933.9,937.0,27364272.0
2026-05-04,938.1,966.0,938.1,950.2,7503756.0
2026-05-05,950.2,961.1,933.15,958.6,7290077.0
2026-05-06,965.0,984.0,965.0,980.75,7771237.0
2026-05-07,992.25,992.25,969.0,972.75,7873561.0
2026-05-08,971.0,971.95,951.0,955.35,5555386.0
2026-05-11,946.0,956.0,933.55,936.05,5581022.0
2026-05-12,928.0,932.65,901.75,904.2,7174645.0
2026-05-13,902.0,907.4,890.05,896.15,7422952.0
2026-05-14,902.9,915.0,889.0,912.15,6815238.0
2026-05-15,913.0,921.6,907.35,910.45,5012279.0
2026-05-18,900.0,925.0,890.7,921.1,6387223.0
2026-05-19,927.6,930.0,920.1,923.55,8313548.0
2026-05-20,910.0,926.3,908.45,923.1,5864990.0
2026-05-21,933.0,934.9,903.25,907.65,9713326.0
2026-05-22,908.1,924.0,908.1,916.55,4811990.0
2026-05-25,926.1,944.0,924.45,941.9,7065528.0
2026-05-26,943.95,948.4,928.1,930.2,8489543.0
2026-05-27,932.0,935.95,923.0,931.15,5349669.0
2026-05-29,915.1,937.8,895.3,908.25,46752428.0
2026-06-01,911.45,918.0,888.0,889.05,6887616.0
2026-06-02,874.0,884.4,860.45,882.0,15697997.0
2026-06-03,882.0,882.0,863.5,876.8,14747769.0
2026-06-04,870.2,879.15,868.0,874.4,9676279.0
2026-06-05,874.0,913.0,874.0,889.4,13274646.0
2026-06-08,873.0,879.4,866.5,871.1,6203084.0
2026-06-09,886.0,888.75,872.1,886.9,9183355.0
2026-06-10,890.1,894.7,880.1,884.1,6939714.0
2026-06-11,880.0,886.95,868.5,870.55,5191085.0
2026-06-12,881.2,921.0,881.1,918.3,11729668.0
2026-06-15,942.0,959.0,939.0,942.3,11989428.0
2026-06-16,946.0,963.9,946.0,959.65,9335988.0
2026-06-17,955.1,961.8,951.55,958.4,5682977.0
2026-06-18,958.35,960.95,948.0,958.85,5750456.0
2026-06-19,954.05,971.7,953.25,961.8,12941776.0
