Date,Open,High,Low,Close,Volume
2026-04-15,1880.5,1890.9,1853.6,1855.7,11049107.0
2026-04-16,1863.5,1864.9,1823.2,1840.6,15871247.0
2026-04-17,1837.1,1851.4,1829.7,1846.9,7344787.0
2026-04-20,1865.0,1865.0,1839.2,1846.1,9243641.0
2026-04-21,1830.0,1868.9,1830.0,1855.0,10485373.0
2026-04-22,1850.2,1857.9,1825.3,1829.0,5687058.0
2026-04-23,1821.8,1846.0,1812.1,1841.2,7489947.0
2026-04-24,1845.0,1850.7,1807.3,1814.5,6306448.0
2026-04-27,1816.1,1828.4,1814.0,1820.1,4413769.0
2026-04-28,1826.0,1852.0,1812.6,1843.8,10558455.0
2026-04-29,1848.0,1900.4,1845.4,1888.1,7713013.0
2026-04-30,1860.0,1906.0,1860.0,1886.8,12709188.0
2026-05-04,1873.2,1895.3,1821.7,1827.1,10707858.0
2026-05-05,1828.0,1846.0,1801.0,1806.1,11407461.0
2026-05-06,1817.0,1841.5,1813.8,1833.7,5507749.0
2026-05-07,1835.0,1843.9,1821.2,1826.6,7914845.0
2026-05-08,1820.0,1840.8,1815.2,1834.5,4839183.0
2026-05-11,1814.0,1819.8,1756.0,1759.8,15803791.0
2026-05-12,1751.5,1776.5,1751.5,1756.8,11945399.0
2026-05-13,1740.5,1798.0,1740.5,1789.2,9825413.0
2026-05-14,1820.0,1889.2,1797.3,1883.5,21279151.0
2026-05-15,1883.2,1922.9,1880.4,1905.4,15807294.0
2026-05-18,1904.8,1953.8,1890.4,1938.1,13888648.0
2026-05-19,1928.4,1942.0,1907.8,1913.5,8962228.0
2026-05-20,1914.0,1914.0,1897.7,1904.9,5778742.0
2026-05-21,1911.0,1915.3,1880.8,1885.3,6419014.0
2026-05-22,1891.3,1896.6,1869.3,1871.4,5099120.0
2026-05-25,1892.5,1892.5,1863.1,1874.8,5903841.0
2026-05-26,1874.0,1874.0,1844.8,1846.9,5803034.0
2026-05-27,1840.4,1869.4,1840.4,1852.2,8653155.0
2026-05-29,1860.0,1860.0,1818.5,1829.0,52886264.0
2026-06-01,1830.0,1842.0,1803.9,1810.6,6391656.0
2026-06-02,1785.0,1825.0,1777.4,1814.2,10791294.0
2026-06-03,1829.9,1835.5,1804.9,1824.1,5832363.0
2026-06-04,1815.0,1829.8,1798.4,1818.9,6735759.0
2026-06-05,1824.9,1827.8,1790.7,1798.2,3926715.0
2026-06-08,1775.1,1820.1,1771.0,1813.3,6324919.0
2026-06-09,1837.0,1837.0,1789.2,1799.0,10377475.0
2026-06-10,1799.0,1807.7,1771.0,1775.2,7999362.0
2026-06-11,1773.0,1796.0,1768.6,1782.6,5020731.0
2026-06-12,1784.0,1825.0,1784.0,1822.5,5910557.0
2026-06-15,1841.0,1857.0,1816.0,1841.2,5307277.0
2026-06-16,1840.2,1859.2,1837.2,1853.0,5957732.0
2026-06-17,1853.0,1878.0,1841.5,1875.7,7653632.0
2026-06-18,1878.8,1878.8,1861.8,1874.8,4262944.0
2026-06-19,1874.3,1917.5,1867.2,1910.8,15918432.0
2026-06-22,1915.8,1924.5,1901.0,1916.6,3798060.0
2026-06-23,1907.6,1927.7,1896.7,1901.6,5155908.0
2026-06-24,1891.2,1894.1,1872.9,1877.3,8957457.0
2026-06-25,1885.0,1889.0,1848.0,1850.7,8521503.0
2026-06-29,1837.1,1849.8,1833.1,1841.1,10940130.0
2026-06-30,1853.0,1876.6,1843.2,1852.0,7233634.0
2026-07-01,1845.6,1887.0,1845.6,1871.0,4307333.0
2026-07-02,1860.8,1883.8,1850.2,1875.0,5282404.0
2026-07-03,1890.0,1913.0,1885.0,1910.4,5087043.0
2026-07-06,1916.8,1932.7,1915.6,1925.7,2740217.0
2026-07-07,1923.5,1956.5,1917.0,1925.8,5767438.0
2026-07-08,1911.0,1924.2,1875.1,1888.1,6188780.0
2026-07-09,1902.0,1966.0,1898.8,1931.1,11145066.0
2026-07-10,1930.0,1930.0,1906.0,1920.4,6420887.0
