Date,Open,High,Low,Close,Volume
2026-04-21,143.4,144.95,142.84,144.26,14365044.0
2026-04-22,143.87,146.89,143.13,145.23,18626914.0
2026-04-23,144.5,144.58,140.21,140.87,22459475.0
2026-04-24,141.33,141.86,138.15,140.85,18904603.0
2026-04-27,141.19,142.42,139.81,140.52,13700038.0
2026-04-28,136.27,138.36,136.21,137.1,22276591.0
2026-04-29,137.36,139.5,136.22,137.06,18218577.0
2026-04-30,136.71,136.71,133.46,134.65,20009501.0
2026-05-04,135.34,137.78,134.18,134.8,11387717.0
2026-05-05,134.98,135.33,133.13,134.31,11758309.0
2026-05-06,137.23,138.36,134.51,138.04,23655306.0
2026-05-07,138.8,138.9,135.54,135.93,25338776.0
2026-05-08,135.0,135.7,133.8,134.34,16998224.0
2026-05-11,133.02,139.4,128.58,129.43,71593041.0
2026-05-12,127.66,132.35,127.43,130.01,29525188.0
2026-05-13,130.46,131.2,127.9,129.26,21722400.0
2026-05-14,129.9,132.95,127.23,130.84,27954529.0
2026-05-15,131.38,131.38,127.8,128.07,38366481.0
2026-05-18,127.0,127.0,124.0,124.9,22211890.0
2026-05-19,125.09,126.76,125.09,126.15,18723002.0
2026-05-20,125.0,128.0,123.67,127.66,21282627.0
2026-05-21,129.0,129.57,127.3,127.97,18615692.0
2026-05-22,127.99,128.78,127.66,128.23,18634807.0
2026-05-25,130.8,134.2,130.0,133.7,27988813.0
2026-05-26,134.32,135.5,132.58,133.15,23285321.0
2026-05-27,133.48,135.3,133.1,134.16,26115218.0
2026-05-29,134.96,135.15,130.15,130.8,57212379.0
2026-06-01,131.45,132.22,127.5,127.96,27235875.0
2026-06-02,127.0,129.5,125.5,129.08,39618370.0
2026-06-03,129.15,132.25,127.24,131.85,38359464.0
2026-06-04,131.0,133.45,129.73,133.12,24944436.0
2026-06-05,133.2,136.4,133.04,135.81,47139920.0
2026-06-08,134.83,136.5,131.4,131.91,29260366.0
2026-06-09,131.4,137.8,131.4,137.51,57740162.0
2026-06-10,137.51,138.26,133.11,133.46,39658979.0
2026-06-11,132.7,133.78,130.6,131.52,46246010.0
2026-06-12,130.0,131.92,128.8,131.67,25287693.0
2026-06-15,134.0,135.17,131.87,132.2,20283189.0
2026-06-16,132.36,133.49,131.64,132.83,19477515.0
2026-06-17,133.16,136.3,132.11,135.24,46057932.0
2026-06-18,135.51,136.33,134.4,134.97,16874421.0
2026-06-19,134.95,134.95,133.1,133.74,16485585.0
2026-06-22,133.85,135.0,133.64,134.82,17955985.0
2026-06-23,135.39,135.39,130.0,130.37,19091482.0
2026-06-24,130.46,131.17,129.2,130.15,19217828.0
2026-06-25,130.97,131.1,128.01,128.95,40872336.0
2026-06-29,128.86,129.59,125.38,125.86,89710392.0
2026-06-30,126.9,127.13,124.61,125.52,44899446.0
2026-07-01,126.06,127.6,125.62,126.28,28424787.0
2026-07-02,128.27,129.26,125.96,126.64,42931827.0
2026-07-03,127.5,128.2,124.7,127.19,36013384.0
2026-07-06,126.61,127.59,125.97,126.46,15764736.0
2026-07-07,126.4,126.86,124.75,125.03,15616571.0
2026-07-08,124.0,124.93,120.5,121.15,37708203.0
2026-07-09,121.77,125.3,121.5,124.8,25763230.0
2026-07-10,125.4,131.48,125.31,128.78,40706138.0
2026-07-13,127.47,129.73,126.44,129.33,19227723.0
2026-07-14,128.0,128.9,125.32,125.74,18692217.0
2026-07-15,126.5,128.2,126.1,126.47,24325901.0
2026-07-16,127.0,127.19,125.35,125.9,11463126.0
