Date,Open,High,Low,Close,Volume
2026-04-15,5090.0,5120.0,4986.6,5003.4,806914.0
2026-04-16,5024.0,5055.0,4951.0,5038.2,666008.0
2026-04-17,5043.0,5179.9,5011.2,5140.9,529710.0
2026-04-20,5174.0,5216.9,5067.6,5200.3,616937.0
2026-04-21,5215.0,5272.7,5090.4,5116.4,717933.0
2026-04-22,5100.0,5235.0,5079.4,5211.8,503337.0
2026-04-23,5200.0,5269.0,5155.7,5176.9,500090.0
2026-04-24,5179.0,5250.0,5102.1,5232.0,495775.0
2026-04-27,5264.5,5308.7,5200.0,5233.2,601902.0
2026-04-28,5260.0,5286.8,5195.1,5258.0,341686.0
2026-04-29,5288.0,5324.8,5251.3,5288.0,328892.0
2026-04-30,5279.7,5308.8,5120.0,5266.4,448330.0
2026-05-04,5300.0,5349.0,5238.5,5289.0,386727.0
2026-05-05,5295.0,5295.0,5227.5,5260.0,304874.0
2026-05-06,5331.5,5355.5,5230.5,5324.5,343679.0
2026-05-07,5352.5,5424.0,5317.5,5403.0,496602.0
2026-05-08,5415.0,5470.5,5381.0,5401.0,528649.0
2026-05-11,5350.0,5350.0,5191.0,5238.5,477092.0
2026-05-12,5265.0,5265.0,5147.5,5160.0,403954.0
2026-05-13,5170.0,5270.0,5147.5,5212.0,590903.0
2026-05-14,5257.0,5383.0,5229.0,5367.0,324086.0
2026-05-15,5386.5,5430.0,5322.0,5392.0,436432.0
2026-05-18,5360.0,5360.0,5228.5,5298.5,275007.0
2026-05-19,5285.0,5361.0,5238.0,5254.0,322706.0
2026-05-20,5214.0,5419.0,5183.0,5399.5,444634.0
2026-05-21,5427.0,5454.0,5361.0,5390.0,338858.0
2026-05-22,5375.0,5419.0,5335.5,5353.0,230767.0
2026-05-25,5419.0,5419.5,5337.5,5382.0,284889.0
2026-05-26,5360.0,5442.0,5359.0,5418.5,304814.0
2026-05-27,5414.0,6099.0,5402.5,6027.5,1722262.0
2026-05-29,6100.0,6100.0,5855.5,5881.0,2020815.0
2026-06-01,5979.5,5979.5,5662.5,5680.5,597518.0
2026-06-02,5665.0,5764.5,5607.0,5708.0,702121.0
2026-06-03,5741.0,5749.0,5657.0,5692.5,384967.0
2026-06-04,5700.0,5867.5,5662.5,5787.5,502845.0
2026-06-05,5845.0,5869.0,5750.0,5784.0,381090.0
2026-06-08,5650.0,5740.5,5556.5,5610.5,483842.0
2026-06-09,5635.0,5691.0,5561.0,5625.5,485174.0
2026-06-10,5626.0,5699.0,5560.0,5609.5,276872.0
2026-06-11,5590.5,5709.5,5541.0,5557.0,249688.0
2026-06-12,5650.0,5663.5,5570.0,5621.5,249004.0
2026-06-15,5700.0,5787.5,5630.0,5754.0,409781.0
2026-06-16,5798.0,5813.5,5700.5,5723.5,257257.0
2026-06-17,5758.0,5850.0,5725.0,5833.0,338488.0
2026-06-18,5855.0,5887.0,5816.0,5858.0,311191.0
2026-06-19,5875.0,5908.0,5805.0,5865.0,323514.0
2026-06-22,5795.5,5795.5,5637.0,5764.0,591113.0
2026-06-23,5802.5,5838.0,5725.5,5735.5,440329.0
2026-06-24,5752.5,5775.5,5535.5,5555.5,425435.0
2026-06-25,5555.5,5698.5,5550.5,5642.0,479618.0
2026-06-29,5699.0,5706.5,5505.5,5541.5,1820384.0
2026-06-30,5582.5,5699.0,5547.0,5659.5,646570.0
2026-07-01,5695.0,5740.0,5614.5,5663.0,227454.0
2026-07-02,5680.5,5690.0,5555.0,5578.5,325685.0
2026-07-03,5690.0,5690.0,5454.5,5478.0,787931.0
2026-07-06,5479.0,5594.0,5476.0,5578.5,429461.0
2026-07-07,5569.0,5578.5,5424.0,5471.5,592191.0
2026-07-08,5425.0,5561.0,5381.0,5498.5,392522.0
2026-07-09,5506.0,5566.5,5492.0,5542.5,295533.0
2026-07-10,5567.0,5714.0,5567.0,5621.5,463881.0
