Date,Open,High,Low,Close,Volume
2026-04-15,430.2,437.4,428.25,433.25,4079260.0
2026-04-16,435.5,441.4,426.4,427.55,3639152.0
2026-04-17,427.0,444.1,424.2,442.85,4983325.0
2026-04-20,443.95,447.3,436.55,441.7,1662485.0
2026-04-21,441.65,455.45,439.05,452.0,3053842.0
2026-04-22,452.0,465.0,450.75,460.0,2380888.0
2026-04-23,458.9,461.3,452.7,460.0,1370343.0
2026-04-24,460.0,462.5,448.1,451.1,1509926.0
2026-04-27,452.45,457.4,451.0,452.0,677273.0
2026-04-28,452.15,453.1,449.0,450.15,533943.0
2026-04-29,449.05,458.25,449.05,456.0,1078626.0
2026-04-30,456.0,456.0,440.35,441.5,1448773.0
2026-05-04,445.0,450.9,443.0,445.65,1046716.0
2026-05-05,446.8,462.2,445.85,460.55,2742900.0
2026-05-06,465.0,468.0,458.6,466.25,2906897.0
2026-05-07,469.35,474.5,461.1,470.0,2831472.0
2026-05-08,485.0,490.5,469.1,487.7,11860370.0
2026-05-11,485.0,485.0,471.2,473.45,2033029.0
2026-05-12,472.75,476.25,469.55,473.25,2195129.0
2026-05-13,480.8,480.8,461.6,463.1,2495630.0
2026-05-14,467.0,469.9,457.85,464.75,1901251.0
2026-05-15,465.3,471.5,460.5,467.7,932763.0
2026-05-18,466.8,466.8,453.9,456.35,1177536.0
2026-05-19,456.35,462.25,451.5,452.8,1222771.0
2026-05-20,449.8,453.0,445.55,450.9,854233.0
2026-05-21,453.0,454.1,443.6,446.85,2589322.0
2026-05-22,448.0,454.65,445.7,451.05,970954.0
2026-05-25,453.4,455.75,446.25,447.2,879387.0
2026-05-26,447.2,449.1,445.2,447.6,1154362.0
2026-05-27,440.75,447.0,440.3,445.45,1295057.0
2026-05-29,445.45,455.0,440.1,443.4,13072946.0
2026-06-01,441.0,442.0,423.5,424.6,3233902.0
2026-06-02,421.55,426.85,419.7,425.5,2753289.0
2026-06-03,424.8,424.8,416.0,417.85,3353591.0
2026-06-04,417.5,428.95,414.6,424.65,2919945.0
2026-06-05,425.2,426.95,420.6,424.15,1864100.0
2026-06-08,421.0,424.15,418.15,419.75,647231.0
2026-06-09,422.0,427.0,420.35,426.15,915087.0
2026-06-10,427.0,438.75,426.7,427.9,2288936.0
2026-06-11,427.75,430.4,420.0,421.7,1689034.0
2026-06-12,421.0,429.05,420.55,426.4,2569834.0
2026-06-15,432.5,437.5,428.0,429.15,684074.0
2026-06-16,430.0,437.45,429.65,435.45,1685284.0
2026-06-17,435.0,435.9,427.75,429.0,1137052.0
2026-06-18,429.5,431.85,426.7,428.7,1585207.0
2026-06-19,427.7,427.7,421.4,423.5,1915071.0
2026-06-22,425.5,426.2,421.5,422.25,1244814.0
2026-06-23,422.25,425.3,419.25,419.8,1553970.0
2026-06-24,420.7,425.05,417.45,424.1,2440919.0
2026-06-25,425.5,431.45,422.8,423.9,1810833.0
2026-06-29,425.35,430.8,424.25,426.3,1842565.0
2026-06-30,426.8,426.85,421.6,422.2,1799370.0
2026-07-01,422.9,447.0,422.65,444.75,8597999.0
2026-07-02,444.75,451.0,442.6,447.0,3035247.0
2026-07-03,448.9,450.1,442.15,444.35,2061060.0
2026-07-06,447.8,450.7,438.3,449.75,3812533.0
2026-07-07,451.9,456.0,446.75,453.5,1548269.0
2026-07-08,452.0,452.8,435.15,436.55,1952606.0
2026-07-09,437.5,449.45,437.0,443.15,1477623.0
2026-07-10,444.55,447.0,441.05,443.5,1705250.0
