Date,Open,High,Low,Close,Volume
2026-04-07,525.0,538.35,518.3,534.1,6261020.0
2026-04-08,555.0,574.85,555.0,572.85,14722143.0
2026-04-09,570.0,572.4,560.05,562.95,4323997.0
2026-04-10,569.95,576.0,564.2,569.6,6281265.0
2026-04-13,553.0,571.05,546.0,568.4,4218013.0
2026-04-15,578.2,590.45,575.7,587.45,6111306.0
2026-04-16,592.0,597.85,581.65,589.7,4368390.0
2026-04-17,590.8,604.85,586.25,601.75,4107527.0
2026-04-20,602.0,604.65,590.35,596.4,3259425.0
2026-04-21,595.65,609.8,595.65,607.55,4113329.0
2026-04-22,607.2,614.8,605.45,610.65,3636503.0
2026-04-23,604.0,605.25,591.0,592.8,3196418.0
2026-04-24,591.1,595.5,583.05,587.05,2012903.0
2026-04-27,592.9,599.8,590.3,592.45,1919223.0
2026-04-28,594.0,595.7,586.45,587.9,2274236.0
2026-04-29,589.8,605.9,589.35,594.45,2775100.0
2026-04-30,590.0,591.9,579.8,587.0,3576402.0
2026-05-04,592.8,608.7,592.05,607.2,4087011.0
2026-05-05,607.7,611.9,595.1,597.3,3543975.0
2026-05-06,600.05,611.8,594.45,609.6,2570866.0
2026-05-07,615.0,620.0,607.75,618.85,3487352.0
2026-05-08,617.1,619.95,606.0,608.25,3094759.0
2026-05-11,600.0,600.0,588.6,590.25,2077435.0
2026-05-12,586.9,590.6,566.3,569.2,5767697.0
2026-05-13,568.75,581.2,567.15,574.15,3004699.0
2026-05-14,572.1,588.45,553.8,583.25,6135572.0
2026-05-15,586.55,587.85,564.1,566.75,3229504.0
2026-05-18,560.75,575.0,554.0,573.15,3510805.0
2026-05-19,574.45,585.4,571.5,577.4,4100328.0
2026-05-20,570.15,584.7,565.2,583.3,2939738.0
2026-05-21,589.8,591.9,582.85,587.95,2819385.0
2026-05-22,588.9,594.0,584.1,586.7,1895533.0
2026-05-25,592.0,596.4,589.15,592.3,2007544.0
2026-05-26,592.15,596.75,587.1,589.8,2572405.0
2026-05-27,590.05,600.65,590.05,593.9,1918632.0
2026-05-29,595.0,607.9,586.55,590.6,16165925.0
2026-06-01,595.0,601.9,577.75,580.05,2942650.0
2026-06-02,576.3,595.8,572.0,591.85,4592067.0
2026-06-03,590.1,591.15,573.55,581.55,3682605.0
2026-06-04,577.0,581.65,573.15,577.8,5027572.0
2026-06-05,581.4,588.0,574.1,577.7,3387619.0
2026-06-08,571.0,574.25,557.5,561.3,3320761.0
2026-06-09,564.0,577.1,563.0,575.15,2432848.0
2026-06-10,573.0,577.65,560.6,563.2,1260168.0
2026-06-11,560.9,565.8,555.5,563.0,1602495.0
2026-06-12,571.0,589.2,565.55,587.05,4184509.0
2026-06-15,601.0,620.3,598.3,614.45,9305171.0
2026-06-16,618.0,632.0,611.7,629.3,5391666.0
2026-06-17,633.05,633.75,618.2,623.55,4073230.0
2026-06-18,623.55,644.0,623.0,640.7,9821046.0
2026-06-19,639.0,639.0,619.65,624.5,4202998.0
2026-06-22,627.4,631.8,625.1,627.6,2667900.0
2026-06-23,626.95,636.4,610.05,612.35,3687207.0
2026-06-24,611.8,622.65,609.4,618.15,3632508.0
2026-06-25,622.0,631.75,620.0,621.35,3891469.0
2026-06-29,622.0,628.6,611.4,614.75,3087847.0
2026-06-30,614.3,625.5,608.65,620.05,3349530.0
2026-07-01,620.45,650.65,618.0,648.7,4916575.0
2026-07-02,649.05,660.35,647.45,658.2,5464836.0
2026-07-03,661.2,678.0,656.6,675.9,6688508.0
