Date,Open,High,Low,Close,Volume
2026-04-15,157.0,157.1,155.16,156.12,13040725.0
2026-04-16,157.96,159.29,156.67,158.92,9582628.0
2026-04-17,160.0,160.0,157.25,157.82,13015627.0
2026-04-20,157.92,158.9,156.02,157.7,5864225.0
2026-04-21,157.7,162.5,157.7,160.77,13146924.0
2026-04-22,160.9,166.8,160.65,166.12,14769257.0
2026-04-23,166.0,167.89,164.02,164.96,13410932.0
2026-04-24,165.96,166.3,163.35,165.61,9362530.0
2026-04-27,166.8,167.78,164.9,165.74,18132384.0
2026-04-28,165.89,167.22,165.06,165.68,6106987.0
2026-04-29,166.54,167.96,164.57,165.66,8164580.0
2026-04-30,164.68,164.68,161.31,163.23,7518096.0
2026-05-04,165.3,167.49,164.14,164.48,8799974.0
2026-05-05,164.8,165.8,162.5,163.7,14543449.0
2026-05-06,164.24,165.95,163.75,165.68,4397644.0
2026-05-07,165.9,167.85,165.9,167.26,5313543.0
2026-05-08,167.4,168.09,165.9,166.49,3887936.0
2026-05-11,165.6,165.6,162.21,162.51,3743808.0
2026-05-12,161.01,162.79,159.7,160.35,9681167.0
2026-05-13,160.0,164.81,159.1,163.31,8542104.0
2026-05-14,164.25,165.9,159.4,162.61,7848939.0
2026-05-15,162.67,163.4,161.06,162.13,7062872.0
2026-05-18,160.65,161.0,157.64,160.22,13238998.0
2026-05-19,160.32,161.3,155.18,156.12,17108046.0
2026-05-20,155.84,156.0,151.71,155.64,11539253.0
2026-05-21,156.5,157.54,154.9,155.9,11448733.0
2026-05-22,153.0,162.7,151.41,160.77,19157978.0
2026-05-25,162.92,170.7,162.7,168.67,36426464.0
2026-05-26,167.8,169.82,166.3,167.63,16425185.0
2026-05-27,167.21,169.65,167.21,169.0,5523561.0
2026-05-29,170.0,170.0,163.4,164.51,26119462.0
2026-06-01,164.51,166.08,163.24,163.74,7915622.0
2026-06-02,162.99,165.47,161.18,164.83,9458223.0
2026-06-03,164.0,164.82,162.72,163.86,4684045.0
2026-06-04,161.54,168.15,161.54,167.55,11510123.0
2026-06-05,168.0,170.13,166.6,167.4,8047086.0
2026-06-08,166.02,170.15,165.1,168.6,8999902.0
2026-06-09,169.0,169.14,165.56,167.59,5976753.0
2026-06-10,166.62,169.8,166.25,168.01,11363717.0
2026-06-11,167.9,167.9,165.01,166.09,10176344.0
2026-06-12,167.01,171.2,166.67,170.5,7288989.0
2026-06-15,173.01,177.21,172.11,175.41,18354141.0
2026-06-16,176.45,178.2,175.0,176.09,8941189.0
2026-06-17,176.32,177.1,174.51,175.03,4400943.0
2026-06-18,175.78,177.0,173.51,176.44,6440199.0
2026-06-19,176.0,176.42,173.1,173.9,11093745.0
2026-06-22,174.15,178.47,174.15,177.3,7613714.0
2026-06-23,177.3,177.52,173.25,173.84,7418809.0
2026-06-24,174.25,175.69,173.61,174.93,6006860.0
2026-06-25,175.1,176.49,172.29,172.85,9847241.0
2026-06-29,172.85,173.88,170.01,172.22,5931749.0
2026-06-30,172.95,175.61,172.21,173.46,10139334.0
2026-07-01,172.8,175.0,172.4,174.5,4990189.0
2026-07-02,174.5,175.0,172.91,174.29,3376923.0
2026-07-03,174.32,175.89,173.7,174.15,4618256.0
2026-07-06,174.02,176.43,173.99,175.03,2759355.0
2026-07-07,175.05,175.56,173.52,174.01,6166046.0
2026-07-08,173.05,174.77,167.96,169.24,11211397.0
2026-07-09,169.0,172.29,168.54,170.2,10798380.0
2026-07-10,171.0,174.47,171.0,173.73,3236963.0
