Date,Open,High,Low,Close,Volume
2026-04-07,1200.0,1236.7,1186.3,1234.1,1033027.0
2026-04-08,1278.0,1278.0,1240.0,1246.4,755940.0
2026-04-09,1249.9,1266.7,1234.4,1257.0,1025061.0
2026-04-10,1267.7,1284.0,1258.3,1281.7,698587.0
2026-04-13,1258.4,1281.7,1229.0,1273.9,954294.0
2026-04-15,1285.0,1300.8,1258.7,1285.2,1086325.0
2026-04-16,1297.0,1308.0,1272.1,1291.1,992284.0
2026-04-17,1291.9,1314.8,1285.2,1306.4,770722.0
2026-04-20,1312.8,1318.3,1291.1,1302.1,639788.0
2026-04-21,1309.0,1337.4,1308.6,1328.8,896686.0
2026-04-22,1336.0,1410.7,1320.1,1348.7,4815785.0
2026-04-23,1294.6,1299.9,1255.2,1260.3,5666205.0
2026-04-24,1262.0,1267.4,1233.0,1238.6,1752335.0
2026-04-27,1248.0,1281.5,1243.1,1274.1,2461604.0
2026-04-28,1273.1,1281.2,1263.0,1272.2,1435828.0
2026-04-29,1278.0,1290.3,1249.2,1252.5,1553192.0
2026-04-30,1252.0,1252.0,1233.0,1240.6,1559906.0
2026-05-04,1241.1,1264.0,1238.1,1256.6,769063.0
2026-05-05,1254.0,1254.0,1231.0,1239.6,895097.0
2026-05-06,1251.0,1259.8,1241.2,1257.3,857286.0
2026-05-07,1260.0,1276.7,1254.1,1268.9,998450.0
2026-05-08,1268.9,1274.7,1252.0,1255.2,606893.0
2026-05-11,1248.2,1249.0,1226.6,1230.0,617476.0
2026-05-12,1225.5,1231.6,1187.4,1190.9,969615.0
2026-05-13,1190.5,1204.0,1183.2,1199.2,638992.0
2026-05-14,1205.0,1214.8,1186.0,1210.8,510878.0
2026-05-15,1210.5,1217.8,1202.6,1209.6,599340.0
2026-05-18,1206.0,1206.0,1176.3,1194.8,943013.0
2026-05-19,1199.9,1218.2,1195.0,1207.2,502340.0
2026-05-20,1200.0,1213.0,1190.5,1207.8,648009.0
2026-05-21,1209.9,1216.9,1200.3,1209.7,853872.0
2026-05-22,1217.4,1217.4,1198.0,1200.9,581336.0
2026-05-25,1209.9,1214.8,1200.8,1203.8,375805.0
2026-05-26,1205.4,1205.8,1193.9,1201.0,475276.0
2026-05-27,1203.0,1219.4,1201.6,1211.0,1246990.0
2026-05-29,1214.4,1215.9,1166.0,1176.8,4333519.0
2026-06-01,1185.3,1186.2,1138.1,1143.2,936054.0
2026-06-02,1133.0,1177.7,1123.6,1174.6,1283197.0
2026-06-03,1184.2,1184.2,1153.3,1156.4,873609.0
2026-06-04,1145.7,1176.8,1137.0,1166.4,645046.0
2026-06-05,1177.6,1177.6,1147.8,1150.5,751308.0
2026-06-08,1143.1,1153.0,1129.1,1140.3,947900.0
2026-06-09,1144.9,1154.0,1138.1,1150.5,692180.0
2026-06-10,1150.4,1165.9,1147.8,1155.5,673056.0
2026-06-11,1154.2,1154.2,1125.5,1129.0,559810.0
2026-06-12,1147.0,1156.9,1134.5,1154.1,458490.0
2026-06-15,1172.2,1191.3,1166.1,1171.1,1073016.0
2026-06-16,1176.0,1188.6,1165.2,1180.2,573010.0
2026-06-17,1187.7,1207.4,1183.4,1196.8,803357.0
2026-06-18,1202.7,1209.1,1184.2,1194.4,753480.0
2026-06-19,1194.4,1194.4,1168.2,1176.3,681280.0
2026-06-22,1185.5,1195.6,1177.4,1181.3,488074.0
2026-06-23,1182.8,1193.1,1171.0,1174.8,561924.0
2026-06-24,1173.0,1189.2,1163.3,1186.2,425553.0
2026-06-25,1189.9,1196.0,1175.4,1178.3,937219.0
2026-06-29,1178.3,1185.8,1152.1,1156.1,995233.0
2026-06-30,1161.8,1164.4,1140.3,1159.3,986708.0
2026-07-01,1172.6,1200.9,1172.4,1188.8,1370728.0
2026-07-02,1193.9,1198.0,1182.5,1186.7,612723.0
2026-07-03,1189.9,1192.7,1176.4,1181.1,474220.0
