Date,Open,High,Low,Close,Volume
2026-04-21,795.2,814.9,795.2,811.75,49135752.0
2026-04-22,810.0,813.05,798.0,799.9,23876412.0
2026-04-23,792.0,796.65,782.5,784.35,37677616.0
2026-04-24,777.3,787.6,777.0,784.85,27720358.0
2026-04-27,787.5,793.0,785.0,789.8,18115375.0
2026-04-28,785.0,794.5,778.3,782.55,35366803.0
2026-04-29,785.5,790.0,777.35,779.0,25799963.0
2026-04-30,770.0,778.8,762.25,771.7,47998755.0
2026-05-04,772.6,786.6,772.6,779.4,29028060.0
2026-05-05,774.4,776.9,763.7,772.3,38887657.0
2026-05-06,775.15,798.95,773.5,796.55,35530831.0
2026-05-07,794.0,801.55,788.55,796.05,46137553.0
2026-05-08,784.0,788.75,777.2,780.85,38016841.0
2026-05-11,771.95,774.85,761.9,763.65,41123422.0
2026-05-12,756.6,759.7,747.8,750.45,43937132.0
2026-05-13,752.0,759.95,747.35,749.6,28960919.0
2026-05-14,751.0,778.3,747.0,769.55,50992358.0
2026-05-15,773.0,781.9,765.4,767.5,24347873.0
2026-05-18,759.0,774.1,751.35,768.65,29812079.0
2026-05-19,766.7,770.8,760.25,762.45,40307830.0
2026-05-20,759.6,762.25,755.15,759.5,24013451.0
2026-05-21,767.0,768.25,755.15,759.15,34664725.0
2026-05-22,759.15,775.0,759.15,766.8,25604071.0
2026-05-25,776.0,787.85,775.2,786.85,26043952.0
2026-05-26,784.05,790.85,776.75,778.9,31528062.0
2026-05-27,769.5,773.9,756.9,758.65,63680153.0
2026-05-29,746.05,760.5,737.75,744.55,101299431.0
2026-06-01,749.0,752.35,739.2,742.7,47996441.0
2026-06-02,737.0,753.6,733.15,748.25,47314447.0
2026-06-03,744.45,756.9,742.6,753.65,36109480.0
2026-06-04,749.15,757.3,745.0,754.2,42673538.0
2026-06-05,753.95,758.7,744.65,747.05,22116568.0
2026-06-08,738.0,741.5,734.5,738.65,21550700.0
2026-06-09,739.45,743.95,732.3,738.35,38539563.0
2026-06-10,736.5,755.95,736.4,746.85,44458159.0
2026-06-11,743.0,756.0,740.1,744.6,32632007.0
2026-06-12,754.7,774.45,753.1,772.45,36088159.0
2026-06-15,790.0,793.5,775.6,777.35,39990334.0
2026-06-16,780.5,787.7,779.45,784.9,27820970.0
2026-06-17,787.65,794.3,783.1,787.1,32405604.0
2026-06-18,786.5,802.95,786.2,799.0,41492071.0
2026-06-19,788.7,789.05,776.2,779.8,33798761.0
2026-06-22,789.9,789.9,783.1,786.4,25194765.0
2026-06-23,783.05,790.9,772.55,774.65,28289062.0
2026-06-24,773.0,794.9,772.65,793.2,34701292.0
2026-06-25,798.5,804.45,794.75,796.3,46707966.0
2026-06-29,800.0,805.9,793.3,798.9,46695977.0
2026-06-30,806.1,806.1,792.75,797.95,45778356.0
2026-07-01,793.5,802.25,793.5,796.15,26094378.0
2026-07-02,795.0,805.45,794.0,795.9,34143823.0
2026-07-03,803.0,807.0,798.55,801.05,25871958.0
2026-07-06,805.0,831.5,805.0,829.85,63203327.0
2026-07-07,843.0,843.0,826.1,829.3,57611729.0
2026-07-08,825.9,834.35,806.95,810.3,38754632.0
2026-07-09,813.0,822.85,812.3,817.55,39891798.0
2026-07-10,824.0,827.7,820.3,824.95,23595785.0
2026-07-13,817.0,821.95,811.0,817.95,21741736.0
2026-07-14,811.4,818.4,807.0,809.4,25605395.0
2026-07-15,811.0,819.7,809.7,815.45,21488739.0
2026-07-16,814.5,818.0,806.5,808.3,18698186.0
