Date,Open,High,Low,Close,Volume
2026-03-23,615.1,617.0,590.1,592.1,4223148.0
2026-03-24,597.0,607.65,590.05,603.0,3644510.0
2026-03-25,603.95,617.2,603.95,612.9,2915736.0
2026-03-27,605.0,612.45,600.0,610.2,4422345.0
2026-03-30,608.95,610.0,587.85,590.6,6294260.0
2026-04-01,600.0,606.15,569.0,572.95,9823726.0
2026-04-02,568.6,568.9,555.1,566.1,5837873.0
2026-04-06,563.0,582.4,560.75,580.4,4333557.0
2026-04-07,579.5,582.9,573.6,581.7,3550393.0
2026-04-08,595.0,608.55,592.05,598.3,5911479.0
2026-04-09,592.9,599.5,584.4,591.2,3912249.0
2026-04-10,595.0,605.45,590.5,604.15,4385843.0
2026-04-13,592.45,622.95,592.0,619.1,5549755.0
2026-04-15,628.0,642.15,626.0,640.45,5737074.0
2026-04-16,647.0,650.75,627.7,631.5,3022526.0
2026-04-17,618.95,625.0,606.2,616.45,8161002.0
2026-04-20,617.0,617.0,605.35,609.75,4980912.0
2026-04-21,609.75,615.9,602.8,614.2,4800986.0
2026-04-22,614.2,617.25,603.25,604.05,3995083.0
2026-04-23,604.2,607.75,595.5,598.65,4485591.0
2026-04-24,598.0,603.15,585.6,588.2,2806940.0
2026-04-27,595.0,603.45,590.1,597.3,5548234.0
2026-04-28,594.2,598.6,588.5,590.15,5604921.0
2026-04-29,592.0,602.95,589.6,594.4,6869287.0
2026-04-30,594.35,594.35,578.4,586.9,6234625.0
2026-05-04,591.95,596.2,583.0,588.35,2591864.0
2026-05-05,587.05,601.95,586.0,594.1,4081766.0
2026-05-06,597.9,612.6,594.55,606.35,34338299.0
2026-05-07,611.0,629.3,608.85,625.4,22416339.0
2026-05-08,625.5,628.0,618.3,621.7,2352588.0
2026-05-11,619.0,626.0,611.2,622.7,3739911.0
2026-05-12,622.0,622.0,600.35,601.8,2789480.0
2026-05-13,602.95,608.5,598.85,602.8,2288693.0
2026-05-14,603.85,614.5,602.5,612.55,3120476.0
2026-05-15,616.5,618.95,605.45,608.7,2900528.0
2026-05-18,600.7,608.0,594.05,604.95,3980665.0
2026-05-19,603.1,617.5,603.1,610.4,1778845.0
2026-05-20,602.6,611.25,602.6,605.1,3698222.0
2026-05-21,612.0,616.5,605.65,614.35,3625135.0
2026-05-22,619.0,620.7,614.35,616.6,3481863.0
2026-05-25,622.5,622.9,616.5,620.0,1723876.0
2026-05-26,621.05,624.05,617.0,618.85,2241793.0
2026-05-27,619.9,619.9,608.65,609.6,1266431.0
2026-05-29,614.0,614.0,588.8,594.8,11094751.0
2026-06-01,594.75,603.85,584.95,586.55,3163894.0
2026-06-02,582.55,587.15,571.35,579.9,5405229.0
2026-06-03,581.4,581.4,570.25,574.4,2055060.0
2026-06-04,572.85,576.5,570.3,573.75,854448.0
2026-06-05,577.4,590.0,573.9,575.3,3882527.0
2026-06-08,571.9,572.9,560.05,564.55,2507051.0
2026-06-09,564.55,572.0,557.75,560.6,3463876.0
2026-06-10,560.5,567.1,547.5,549.55,3075495.0
2026-06-11,546.25,550.45,543.0,545.25,3861386.0
2026-06-12,552.0,557.85,545.7,555.35,2966637.0
2026-06-15,561.0,583.35,561.0,581.2,2381721.0
2026-06-16,582.0,582.5,571.25,574.4,2066303.0
2026-06-17,576.0,582.95,573.55,581.8,1106892.0
