Date,Open,High,Low,Close,Volume
2026-04-15,1774.0,1808.8,1766.4,1781.4,1093994.0
2026-04-16,1797.0,1869.0,1777.1,1852.5,1528435.0
2026-04-17,1859.9,1921.7,1846.3,1902.8,1667502.0
2026-04-20,1887.1,1903.5,1860.2,1886.0,778083.0
2026-04-21,1899.0,1907.0,1881.3,1885.7,584052.0
2026-04-22,1880.0,1880.9,1845.2,1849.5,549604.0
2026-04-23,1846.9,1859.9,1817.0,1844.2,876210.0
2026-04-24,1848.7,1853.2,1772.2,1783.6,1088815.0
2026-04-27,1794.9,1846.2,1790.0,1837.6,566304.0
2026-04-28,1839.9,1867.8,1815.0,1825.2,1506146.0
2026-04-29,1824.8,1855.0,1810.7,1817.4,737246.0
2026-04-30,1815.5,1830.0,1795.8,1817.6,524769.0
2026-05-04,1840.0,1862.8,1818.1,1844.5,617328.0
2026-05-05,1829.7,1840.4,1797.8,1822.5,685951.0
2026-05-06,1834.0,1856.9,1810.2,1839.9,604937.0
2026-05-07,1859.9,1859.9,1828.5,1835.8,613158.0
2026-05-08,1844.0,1863.9,1830.0,1852.8,846450.0
2026-05-11,1853.1,1944.0,1850.5,1906.9,4007728.0
2026-05-12,1903.5,1929.9,1860.0,1877.9,1395049.0
2026-05-13,1824.0,1886.2,1804.5,1853.4,1818185.0
2026-05-14,1857.9,1872.0,1815.7,1843.2,536537.0
2026-05-15,1843.2,1859.9,1819.6,1825.2,694646.0
2026-05-18,1807.0,1808.1,1766.1,1781.9,1409253.0
2026-05-19,1782.0,1804.1,1765.1,1780.3,2221557.0
2026-05-20,1792.7,1805.1,1760.0,1787.4,1022345.0
2026-05-21,1797.9,1854.3,1792.1,1845.2,1864385.0
2026-05-22,1850.1,1858.8,1821.6,1848.6,1736999.0
2026-05-25,1859.0,1905.0,1859.0,1880.9,1407989.0
2026-05-26,1873.9,1892.8,1847.0,1884.0,1178217.0
2026-05-27,1891.1,1928.2,1881.6,1913.6,1149660.0
2026-05-29,1902.1,2004.6,1890.3,1924.0,20806845.0
2026-06-01,1943.7,1977.0,1867.6,1882.4,1089446.0
2026-06-02,1870.8,1892.7,1847.1,1871.8,2292056.0
2026-06-03,1871.7,1894.0,1861.2,1866.4,1395924.0
2026-06-04,1850.0,1949.0,1850.0,1932.4,2040045.0
2026-06-05,1929.0,1948.0,1905.0,1913.6,1116924.0
2026-06-08,1890.0,1907.4,1869.0,1894.7,519402.0
2026-06-09,1902.3,1920.0,1878.7,1898.6,482035.0
2026-06-10,1894.4,1919.0,1885.0,1891.0,1304593.0
2026-06-11,1885.0,1951.0,1863.0,1940.1,933453.0
2026-06-12,1960.0,1997.8,1955.2,1990.1,1206561.0
2026-06-15,2020.1,2059.0,2008.2,2030.1,614937.0
2026-06-16,2040.0,2040.4,1971.1,1974.7,577027.0
2026-06-17,1980.0,1987.8,1963.8,1976.7,401381.0
2026-06-18,1981.6,1991.2,1964.1,1976.6,555931.0
2026-06-19,1965.0,1981.5,1957.1,1973.2,294293.0
2026-06-22,1975.0,2006.6,1975.0,1988.9,418940.0
2026-06-23,1988.9,1989.0,1953.1,1968.9,467187.0
2026-06-24,1968.9,1981.5,1925.7,1942.2,681759.0
2026-06-25,1947.9,1984.0,1946.6,1969.4,742118.0
2026-06-29,1960.0,1978.7,1884.3,1892.6,727120.0
2026-06-30,1901.0,1924.0,1882.3,1905.5,450903.0
2026-07-01,1910.9,1937.8,1902.0,1918.3,806588.0
2026-07-02,1924.9,1961.0,1907.1,1950.7,355092.0
2026-07-03,1957.0,2000.0,1953.6,1993.4,421007.0
2026-07-06,1993.4,2015.0,1973.9,2004.4,581308.0
2026-07-07,2000.0,2005.1,1972.0,1980.5,472253.0
2026-07-08,1968.8,1970.0,1904.1,1916.9,918256.0
2026-07-09,1916.4,1937.5,1895.4,1926.2,581310.0
2026-07-10,1936.9,1996.0,1931.1,1984.9,366401.0
