Date,Open,High,Low,Close,Volume
2026-04-02,4070.0,4211.4,3970.0,4193.5,2222700.0
2026-04-06,4180.0,4328.7,4087.3,4312.5,1802863.0
2026-04-07,4230.0,4289.4,4180.0,4268.8,1488156.0
2026-04-08,4600.0,4744.0,4560.4,4615.5,5538528.0
2026-04-09,4565.0,4597.5,4433.7,4449.1,1904534.0
2026-04-10,4490.0,4578.0,4460.0,4554.2,1296004.0
2026-04-13,4330.0,4460.0,4325.0,4427.2,1662563.0
2026-04-15,4624.0,4659.0,4575.7,4638.0,1623094.0
2026-04-16,4699.9,4703.6,4598.0,4608.7,1474798.0
2026-04-17,4620.1,4648.1,4572.7,4638.4,762531.0
2026-04-20,4635.0,4698.0,4576.7,4678.2,1026819.0
2026-04-21,4681.1,4748.3,4676.2,4693.1,850836.0
2026-04-22,4674.8,4713.3,4599.9,4640.9,1082869.0
2026-04-23,4549.7,4589.0,4510.0,4556.0,1024694.0
2026-04-24,4566.1,4598.8,4507.0,4523.1,731221.0
2026-04-27,4522.2,4584.3,4507.0,4561.2,833925.0
2026-04-28,4514.8,4547.9,4421.0,4442.4,1261879.0
2026-04-29,4442.4,4507.3,4335.1,4345.2,1695800.0
2026-04-30,4250.0,4313.0,4172.8,4295.3,2010221.0
2026-05-04,4349.0,4387.3,4235.3,4262.4,1047968.0
2026-05-05,4225.0,4285.0,4196.3,4238.4,1239988.0
2026-05-06,4320.0,4565.6,4315.6,4520.2,2657960.0
2026-05-07,4530.0,4560.0,4455.1,4506.9,1723948.0
2026-05-08,4488.0,4545.8,4465.7,4522.7,827316.0
2026-05-11,4430.0,4432.3,4276.6,4299.4,1791551.0
2026-05-12,4297.1,4309.1,4187.7,4201.7,758162.0
2026-05-13,4205.4,4283.6,4146.3,4255.8,1018804.0
2026-05-14,4261.9,4313.0,4193.6,4280.5,743734.0
2026-05-15,4293.0,4359.0,4277.0,4314.9,713589.0
2026-05-18,4268.1,4293.9,4226.0,4275.7,524880.0
2026-05-19,4279.0,4319.0,4224.3,4230.3,577738.0
2026-05-20,4178.0,4284.0,4178.0,4264.6,760291.0
2026-05-21,4305.0,4452.2,4305.0,4403.0,1656192.0
2026-05-22,4425.1,4460.0,4399.6,4438.6,675234.0
2026-05-25,4524.1,4538.0,4438.7,4501.9,2493013.0
2026-05-26,4500.0,4510.5,4440.0,4480.8,759683.0
2026-05-27,4480.0,4593.2,4429.9,4570.0,1369227.0
2026-05-29,4550.0,4555.0,4381.2,4405.0,1359472.0
2026-06-01,4525.0,4633.9,4445.8,4453.3,1665946.0
2026-06-02,4420.0,4480.2,4389.2,4466.1,1093115.0
2026-06-03,4440.1,4565.0,4390.0,4512.1,808155.0
2026-06-04,4500.0,4537.0,4460.7,4508.8,565503.0
2026-06-05,4492.0,4517.8,4442.4,4481.3,788870.0
2026-06-08,4424.9,4434.0,4350.0,4359.7,827136.0
2026-06-09,4375.0,4547.9,4375.0,4537.6,1000203.0
2026-06-10,4511.0,4579.5,4504.5,4524.9,540246.0
2026-06-11,4481.0,4550.0,4470.0,4502.4,600900.0
2026-06-12,4599.0,4725.0,4561.7,4709.7,2530474.0
2026-06-15,4820.0,4941.5,4810.1,4880.4,2365057.0
2026-06-16,4905.0,4920.0,4814.4,4840.0,849705.0
2026-06-17,4876.4,4899.0,4840.0,4878.4,871600.0
2026-06-18,4895.0,5022.0,4877.0,5011.8,1129087.0
2026-06-19,5011.8,5035.0,4968.0,5021.5,1070918.0
2026-06-22,5015.0,5057.4,4966.4,5021.1,857309.0
2026-06-23,5040.0,5040.0,4945.9,4961.4,584474.0
2026-06-24,4990.0,5230.0,4967.1,5207.2,2145122.0
2026-06-25,5265.0,5464.9,5265.0,5450.0,5145228.0
2026-06-29,5400.9,5422.5,5301.0,5315.2,2860034.0
2026-06-30,5320.0,5409.5,5318.4,5368.4,1064890.0
2026-07-01,5349.5,5412.0,5329.0,5399.0,668810.0
