Date,Open,High,Low,Close,Volume
2026-03-23,141.49,142.69,137.75,138.11,21048472.0
2026-03-24,141.58,142.5,137.02,138.7,30509694.0
2026-03-25,141.32,141.69,139.0,140.52,22848464.0
2026-03-27,142.99,144.37,137.35,137.76,29985724.0
2026-03-30,135.38,138.63,134.04,135.4,28375902.0
2026-04-01,140.0,140.0,134.5,135.72,26367709.0
2026-04-02,134.2,134.67,130.22,134.13,22834708.0
2026-04-06,134.13,134.8,130.51,134.05,25356388.0
2026-04-07,132.3,134.85,131.7,134.44,20626751.0
2026-04-08,143.0,144.3,141.1,143.35,45807508.0
2026-04-09,142.89,142.89,140.5,141.67,22052191.0
2026-04-10,142.26,144.1,141.91,142.96,13681094.0
2026-04-13,139.1,141.4,137.56,141.08,21941388.0
2026-04-15,144.95,145.67,144.1,145.22,16020870.0
2026-04-16,146.0,146.43,143.5,144.19,13154143.0
2026-04-17,144.4,146.33,143.41,145.88,11855228.0
2026-04-20,145.01,147.87,144.3,146.87,14174808.0
2026-04-21,147.06,148.34,147.0,147.31,8952350.0
2026-04-22,146.44,147.9,146.1,147.36,7680576.0
2026-04-23,146.4,147.35,145.1,145.48,11146793.0
2026-04-24,145.0,145.6,142.9,143.47,8204012.0
2026-04-27,144.0,146.6,143.69,146.26,8409968.0
2026-04-28,146.15,146.19,144.31,145.39,11294936.0
2026-04-29,146.11,147.29,143.94,144.19,12575213.0
2026-04-30,142.5,143.4,141.12,142.25,16384926.0
2026-05-04,143.5,144.42,142.0,142.26,9094894.0
2026-05-05,142.0,142.62,140.5,142.14,8418500.0
2026-05-06,143.5,148.75,143.22,148.21,16440452.0
2026-05-07,148.9,149.3,145.13,146.89,17332587.0
2026-05-08,145.8,146.3,144.19,144.69,9904272.0
2026-05-11,143.0,143.0,140.04,140.37,11542960.0
2026-05-12,139.39,139.76,137.25,137.65,13482227.0
2026-05-13,138.0,142.6,137.84,141.69,15901973.0
2026-05-14,143.0,143.0,139.1,140.26,14516032.0
2026-05-15,140.5,141.2,134.04,134.48,30353032.0
2026-05-18,134.0,134.0,130.53,131.81,15772188.0
2026-05-19,134.1,136.19,133.34,135.0,22333093.0
2026-05-20,134.67,138.52,133.0,138.04,24216502.0
2026-05-21,139.6,141.0,138.24,140.53,26345901.0
2026-05-22,140.53,140.56,138.03,139.47,12077225.0
2026-05-25,144.06,145.3,143.15,143.95,24525241.0
2026-05-26,143.7,144.11,141.57,142.38,9355269.0
2026-05-27,142.09,144.85,141.42,143.94,10981894.0
2026-05-29,146.0,147.0,139.63,140.24,36212028.0
2026-06-01,140.5,141.48,138.6,138.8,13055381.0
2026-06-02,137.99,139.64,137.31,138.83,9425916.0
2026-06-03,138.19,138.33,136.6,137.38,14280727.0
2026-06-04,137.69,139.99,136.8,138.95,10664527.0
2026-06-05,139.0,139.39,137.64,138.26,10644029.0
2026-06-08,136.74,136.99,135.25,135.6,9213602.0
2026-06-09,137.0,138.44,136.35,138.13,12417792.0
2026-06-10,138.13,139.72,136.5,136.88,10347575.0
2026-06-11,135.0,135.65,133.55,134.24,11817601.0
2026-06-12,137.0,141.45,136.73,140.94,18813847.0
2026-06-15,147.0,148.47,144.21,144.49,23010555.0
2026-06-16,144.95,145.45,143.73,145.11,10255674.0
2026-06-17,147.0,147.47,144.95,145.42,14039760.0
2026-06-18,145.8,147.25,145.18,146.11,10920308.0
2026-06-19,144.98,145.74,142.67,143.43,15764700.0
