Date,Open,High,Low,Close,Volume
2026-04-02,290.25,293.65,288.4,292.85,18082775.0
2026-04-06,293.0,295.35,290.25,294.85,18047063.0
2026-04-07,294.15,299.0,292.75,298.45,26963485.0
2026-04-08,303.9,304.6,301.55,302.45,22310207.0
2026-04-09,301.5,304.4,301.25,303.0,17691477.0
2026-04-10,303.0,305.4,302.6,304.25,17744386.0
2026-04-13,300.0,301.45,298.1,298.65,16522014.0
2026-04-15,300.7,304.0,300.55,302.05,18701403.0
2026-04-16,302.95,305.35,301.85,303.4,16512053.0
2026-04-17,303.85,309.95,303.85,306.8,35111203.0
2026-04-20,307.0,307.95,304.45,305.0,13540471.0
2026-04-21,305.0,311.1,304.55,309.65,24411865.0
2026-04-22,310.0,310.55,305.1,305.5,24500511.0
2026-04-23,304.0,306.35,303.25,305.3,10701849.0
2026-04-24,306.65,306.65,301.1,301.6,17011704.0
2026-04-27,303.65,305.65,302.85,303.85,14382348.0
2026-04-28,304.4,305.8,302.55,304.45,12907339.0
2026-04-29,305.1,317.5,305.1,316.25,31199038.0
2026-04-30,316.25,317.5,313.3,314.9,11541956.0
2026-05-04,317.9,317.9,310.5,311.1,20245091.0
2026-05-05,311.1,313.7,309.65,311.45,26795704.0
2026-05-06,312.8,313.6,309.25,310.7,20287609.0
2026-05-07,311.45,311.65,307.0,307.4,25718615.0
2026-05-08,308.9,308.9,305.7,307.45,17739844.0
2026-05-11,307.0,308.0,305.15,305.85,14968661.0
2026-05-12,305.35,306.25,300.1,300.7,15968338.0
2026-05-13,302.0,305.8,301.05,304.45,13024778.0
2026-05-14,305.0,309.2,304.85,307.2,11113377.0
2026-05-15,307.2,312.05,306.3,309.45,11954564.0
2026-05-18,309.45,312.3,306.5,310.15,14422870.0
2026-05-19,311.95,314.25,308.35,310.3,17519355.0
2026-05-20,309.0,309.65,306.2,307.55,12127920.0
2026-05-21,309.85,311.3,305.8,308.05,21868988.0
2026-05-22,305.9,307.0,301.0,301.7,30751752.0
2026-05-25,303.95,305.5,302.35,303.95,15734247.0
2026-05-26,304.35,304.4,301.1,301.65,37560542.0
2026-05-27,295.65,296.35,291.05,291.95,25446093.0
2026-05-29,292.0,292.4,285.9,286.9,31930439.0
2026-06-01,287.8,288.55,278.3,279.65,23477875.0
2026-06-02,279.5,283.6,277.1,283.25,20206131.0
2026-06-03,282.35,282.35,275.2,277.0,28001438.0
2026-06-04,277.0,280.65,275.05,280.3,22017634.0
2026-06-05,280.0,281.4,277.85,280.7,16065822.0
2026-06-08,279.0,283.45,276.95,279.45,15779677.0
2026-06-09,281.7,281.7,277.15,280.0,12302522.0
2026-06-10,280.0,285.85,278.65,283.65,19823743.0
2026-06-11,283.0,283.25,281.2,282.4,12603100.0
2026-06-12,283.55,285.85,283.0,285.1,12893433.0
2026-06-15,287.0,288.85,286.7,287.9,11194950.0
2026-06-16,288.15,292.15,287.5,291.65,14467499.0
2026-06-17,291.95,292.35,290.0,290.75,8626353.0
2026-06-18,291.05,291.9,288.0,291.15,10409670.0
2026-06-19,289.8,294.55,288.4,292.5,13874008.0
2026-06-22,292.8,293.95,290.05,291.25,9947873.0
2026-06-23,291.25,293.15,289.65,290.0,9410364.0
2026-06-24,290.0,291.4,289.45,290.35,6218635.0
2026-06-25,290.35,292.25,289.2,290.0,11230239.0
2026-06-29,290.45,291.9,289.35,290.7,10110022.0
2026-06-30,291.5,291.6,285.5,286.95,18180676.0
2026-07-01,287.85,291.0,287.1,290.3,6551425.0
