Date,Open,High,Low,Close,Volume
2026-04-16,244.5,245.0,238.02,241.27,26180404.0
2026-04-17,242.02,245.5,240.64,243.86,51452527.0
2026-04-20,242.0,242.01,234.5,237.15,38415130.0
2026-04-21,237.27,237.6,234.1,234.75,46344616.0
2026-04-22,234.7,241.15,234.55,238.51,40251825.0
2026-04-23,240.0,251.7,238.54,248.66,74432271.0
2026-04-24,252.0,253.2,244.1,245.73,32701729.0
2026-04-27,247.1,254.7,247.02,253.64,25870371.0
2026-04-28,255.5,256.0,249.53,250.81,21934246.0
2026-04-29,252.11,257.0,250.03,250.71,22455886.0
2026-04-30,250.0,250.0,243.11,246.37,20595815.0
2026-05-04,248.0,254.0,247.87,252.74,17828741.0
2026-05-05,252.0,253.7,247.3,248.45,16205692.0
2026-05-06,251.0,252.99,249.17,252.44,14692193.0
2026-05-07,253.5,254.15,250.5,251.02,16948101.0
2026-05-08,250.98,251.49,248.3,249.34,11367680.0
2026-05-11,246.0,246.45,239.8,240.33,18858507.0
2026-05-12,239.54,239.95,229.26,230.47,21663715.0
2026-05-13,231.0,234.0,229.2,231.45,13708347.0
2026-05-14,233.0,235.0,228.41,234.13,16545557.0
2026-05-15,234.9,235.95,232.59,233.06,10456724.0
2026-05-18,230.0,233.33,227.21,232.63,13156630.0
2026-05-19,232.63,236.1,232.3,233.28,9590375.0
2026-05-20,230.39,235.46,229.42,234.67,11303753.0
2026-05-21,236.5,238.3,235.06,235.78,12084486.0
2026-05-22,236.11,241.0,236.11,238.19,13517010.0
2026-05-25,241.0,243.65,240.2,241.74,9813693.0
2026-05-26,241.39,243.7,240.01,240.67,10437883.0
2026-05-27,241.0,243.86,240.71,242.89,9140875.0
2026-05-29,244.0,245.15,238.05,238.95,22534996.0
2026-06-01,239.99,240.7,234.3,234.95,10854238.0
2026-06-02,233.75,238.5,232.26,237.64,10183097.0
2026-06-03,237.4,237.4,231.59,235.03,12256871.0
2026-06-04,234.5,237.7,233.65,235.74,9053339.0
2026-06-05,235.29,239.3,235.14,236.89,12186829.0
2026-06-08,233.0,234.21,227.68,228.86,13089712.0
2026-06-09,229.57,234.49,229.57,234.21,9959663.0
2026-06-10,234.2,234.95,229.55,230.17,8453644.0
2026-06-11,229.65,229.88,227.0,228.02,11664899.0
2026-06-12,230.9,236.5,230.0,235.89,12744670.0
2026-06-15,241.5,243.69,239.04,239.52,18199317.0
2026-06-16,240.05,243.32,239.86,241.95,15505756.0
2026-06-17,242.2,244.74,241.22,242.98,10009881.0
2026-06-18,242.98,245.0,242.5,244.1,9457087.0
2026-06-19,244.0,246.85,242.03,244.45,22160659.0
2026-06-22,245.0,246.4,243.01,243.38,8096383.0
2026-06-23,244.0,244.19,237.2,237.81,11177956.0
2026-06-24,237.76,239.75,235.3,238.87,9540112.0
2026-06-25,240.05,241.93,238.5,239.43,8663156.0
2026-06-29,239.0,239.2,235.92,236.71,9229023.0
2026-06-30,237.0,238.32,235.26,236.44,9951114.0
2026-07-01,236.76,240.76,236.5,240.01,7959631.0
2026-07-02,240.01,240.79,238.83,239.73,5834832.0
2026-07-03,241.05,242.2,238.86,239.35,8863322.0
2026-07-06,239.2,240.67,238.1,240.0,9664713.0
2026-07-07,239.95,245.25,239.45,243.07,23069644.0
2026-07-08,242.0,242.0,229.0,229.99,37304617.0
2026-07-09,231.0,234.22,230.77,233.37,11583829.0
2026-07-10,235.0,243.5,233.95,241.96,27714158.0
2026-07-13,239.8,243.48,239.35,241.41,13432355.0
