Date,Open,High,Low,Close,Volume
2026-04-21,542.05,566.5,538.4,565.15,5519886.0
2026-04-22,567.4,568.55,556.25,559.05,1433675.0
2026-04-23,555.0,563.95,544.95,545.55,1322221.0
2026-04-24,545.55,549.9,533.3,540.75,1046981.0
2026-04-27,544.0,545.4,534.4,543.1,1595904.0
2026-04-28,543.15,552.95,540.3,550.0,982947.0
2026-04-29,552.9,567.7,545.8,562.15,2435923.0
2026-04-30,562.15,562.15,549.6,554.7,716565.0
2026-05-04,555.2,561.8,551.25,557.0,690871.0
2026-05-05,557.4,560.7,550.6,558.15,790904.0
2026-05-06,560.7,585.0,560.05,582.15,4102921.0
2026-05-07,586.5,594.9,580.2,586.35,2128125.0
2026-05-08,586.35,587.5,578.05,581.5,654532.0
2026-05-11,578.85,598.2,571.2,585.6,3516659.0
2026-05-12,585.6,590.0,565.6,567.65,1988274.0
2026-05-13,565.8,587.85,565.8,585.65,3207656.0
2026-05-14,570.25,580.95,546.8,560.4,5113856.0
2026-05-15,562.1,564.0,545.2,547.05,3316350.0
2026-05-18,545.0,547.4,533.75,545.55,1750842.0
2026-05-19,549.0,550.0,541.05,543.0,763100.0
2026-05-20,540.0,547.95,535.3,546.8,1270072.0
2026-05-21,549.5,552.75,535.3,537.95,929145.0
2026-05-22,542.4,543.45,536.3,539.2,993024.0
2026-05-25,544.0,546.25,538.9,543.45,1091350.0
2026-05-26,545.05,548.15,540.0,544.15,666052.0
2026-05-27,544.65,559.45,543.45,556.45,1206626.0
2026-05-29,559.0,564.95,531.05,533.15,1618769.0
2026-06-01,536.0,541.9,531.55,537.65,1794232.0
2026-06-02,532.0,537.0,528.45,535.0,637616.0
2026-06-03,535.0,544.55,523.55,541.25,1832015.0
2026-06-04,541.0,547.75,536.45,545.55,1251639.0
2026-06-05,546.0,552.7,542.8,549.75,2983748.0
2026-06-08,542.0,550.95,537.5,541.0,3246619.0
2026-06-09,541.15,554.0,540.05,552.75,589940.0
2026-06-10,554.0,554.0,539.4,541.0,505435.0
2026-06-11,541.3,544.95,533.4,535.9,851702.0
2026-06-12,543.65,561.25,542.05,559.5,2541823.0
2026-06-15,564.5,570.75,551.1,553.85,1197810.0
2026-06-16,552.75,560.95,550.5,552.8,584674.0
2026-06-17,553.0,555.85,546.5,551.05,970189.0
2026-06-18,552.0,556.45,546.5,550.15,1362678.0
2026-06-19,548.55,553.65,545.15,549.9,1088518.0
2026-06-22,552.0,553.5,547.05,548.5,1084087.0
2026-06-23,549.0,550.55,540.0,541.2,928998.0
2026-06-24,540.5,552.6,538.5,550.55,1229302.0
2026-06-25,553.5,556.9,548.0,549.85,1850385.0
2026-06-29,551.0,562.65,544.1,560.75,5408871.0
2026-06-30,564.0,566.0,552.7,564.0,2564040.0
2026-07-01,566.0,568.5,547.05,554.45,1842330.0
2026-07-02,555.0,559.7,551.0,552.9,724232.0
2026-07-03,555.8,564.0,552.8,553.7,986542.0
2026-07-06,555.95,557.65,546.0,548.85,631362.0
2026-07-07,548.0,549.6,542.5,543.55,684914.0
2026-07-08,543.0,544.3,528.0,530.6,1257694.0
2026-07-09,531.5,542.75,531.5,539.8,769495.0
2026-07-10,541.0,553.7,541.0,549.15,1462462.0
2026-07-13,546.25,554.9,543.05,551.9,1885782.0
2026-07-14,549.5,553.7,543.35,549.6,1622604.0
2026-07-15,552.0,563.0,549.2,550.15,1624750.0
2026-07-16,551.95,553.25,545.3,546.75,1117938.0
