Date,Open,High,Low,Close,Volume
2026-04-15,842.0,863.1,837.65,860.5,4552767.0
2026-04-16,869.9,878.45,848.4,873.5,3166380.0
2026-04-17,877.3,878.7,857.2,872.55,2292458.0
2026-04-20,869.0,873.65,846.85,856.55,1454799.0
2026-04-21,860.1,888.5,860.1,875.7,2635667.0
2026-04-22,878.15,894.8,872.55,884.8,3123516.0
2026-04-23,878.05,880.0,854.6,856.5,1641168.0
2026-04-24,857.1,868.2,833.8,840.7,1597049.0
2026-04-27,851.6,885.0,836.35,879.45,3641403.0
2026-04-28,873.0,890.0,872.05,882.9,3714661.0
2026-04-29,885.0,921.45,882.0,912.7,4734976.0
2026-04-30,912.65,914.3,892.7,897.9,2976918.0
2026-05-04,901.1,929.9,901.1,923.6,2872626.0
2026-05-05,916.35,931.7,901.0,907.8,2290420.0
2026-05-06,911.95,950.25,909.25,949.15,2490212.0
2026-05-07,950.0,970.0,931.0,967.35,2441466.0
2026-05-08,967.35,974.9,956.35,962.1,1812273.0
2026-05-11,956.6,956.6,922.55,931.1,1722110.0
2026-05-12,923.75,926.25,876.85,879.35,2005707.0
2026-05-13,873.55,889.0,869.1,874.0,1661360.0
2026-05-14,884.05,887.0,854.1,872.85,1213529.0
2026-05-15,877.2,879.75,845.0,849.95,1092096.0
2026-05-18,833.4,861.2,830.2,857.75,2353716.0
2026-05-19,845.7,904.0,845.7,892.2,3657358.0
2026-05-20,883.35,884.3,856.1,880.0,3575772.0
2026-05-21,882.65,903.35,878.65,883.75,1339789.0
2026-05-22,889.0,894.2,875.0,886.75,1018152.0
2026-05-25,903.85,909.85,897.05,906.85,1152800.0
2026-05-26,910.0,912.5,899.85,903.7,2158528.0
2026-05-27,910.0,935.0,903.8,923.65,2513863.0
2026-05-29,923.65,969.0,923.6,938.1,9135214.0
2026-06-01,941.15,942.0,887.6,893.0,2050481.0
2026-06-02,888.0,908.0,871.0,903.8,2630026.0
2026-06-03,903.8,903.8,871.55,879.2,1938065.0
2026-06-04,872.0,895.0,856.5,881.75,1343237.0
2026-06-05,891.0,909.0,884.2,894.45,1370207.0
2026-06-08,880.1,889.85,865.0,870.9,1371879.0
2026-06-09,862.4,895.0,862.2,887.9,1245149.0
2026-06-10,888.0,890.6,856.4,862.0,747498.0
2026-06-11,861.55,871.55,848.0,868.05,893056.0
2026-06-12,885.05,901.0,875.6,899.3,1782006.0
2026-06-15,919.5,942.95,917.7,920.85,2057483.0
2026-06-16,925.95,939.9,916.45,937.95,827292.0
2026-06-17,924.95,925.15,900.15,914.8,3535454.0
2026-06-18,916.5,933.95,915.0,924.0,1976059.0
2026-06-19,922.65,923.0,907.0,918.15,1749432.0
2026-06-22,922.0,930.0,918.1,926.65,852381.0
2026-06-23,926.65,968.6,905.85,910.75,3850012.0
2026-06-24,910.75,939.0,906.1,937.85,2227225.0
2026-06-25,955.0,972.0,942.15,947.45,4936333.0
2026-06-29,947.0,955.9,931.0,939.55,4308359.0
2026-06-30,947.0,966.0,938.45,955.25,3588024.0
2026-07-01,964.25,995.1,954.3,992.3,2871907.0
2026-07-02,993.5,1014.6,991.1,1006.2,3964029.0
2026-07-03,1015.0,1062.0,1015.0,1057.0,7862663.0
2026-07-06,1063.95,1098.7,1049.1,1095.9,6269479.0
2026-07-07,1095.9,1107.6,1086.2,1102.55,2538415.0
2026-07-08,1093.95,1155.0,1085.5,1115.1,10368353.0
2026-07-09,1107.8,1220.0,1102.0,1192.15,7067035.0
2026-07-10,1190.0,1225.2,1139.15,1220.75,6417760.0
