Date,Open,High,Low,Close,Volume
2026-04-21,760.0,764.95,754.6,762.5,913203.0
2026-04-22,764.0,776.5,758.45,772.5,1529460.0
2026-04-23,774.95,780.1,765.65,778.9,2177488.0
2026-04-24,783.9,787.1,769.4,783.3,2522454.0
2026-04-27,783.3,794.0,781.3,787.0,1072431.0
2026-04-28,785.0,790.0,775.75,780.85,669237.0
2026-04-29,781.8,791.2,775.9,779.3,861651.0
2026-04-30,778.1,779.5,765.65,775.0,1716176.0
2026-05-04,781.0,786.75,774.9,784.55,869429.0
2026-05-05,789.05,810.5,760.6,807.2,5184757.0
2026-05-06,826.2,843.15,811.75,814.8,5329489.0
2026-05-07,818.85,833.95,812.85,832.15,1949437.0
2026-05-08,832.15,836.5,825.1,831.3,1489246.0
2026-05-11,829.75,848.8,824.8,842.55,2709714.0
2026-05-12,842.0,846.0,827.35,830.0,1998649.0
2026-05-13,828.05,837.2,825.2,833.4,1690380.0
2026-05-14,834.4,845.65,833.55,835.0,1099619.0
2026-05-15,841.05,847.75,834.1,841.15,1462080.0
2026-05-18,841.15,844.8,830.45,833.75,1500121.0
2026-05-19,830.0,841.75,828.5,831.45,1431476.0
2026-05-20,828.2,840.0,822.0,838.45,1973862.0
2026-05-21,843.85,845.85,829.85,831.85,1305803.0
2026-05-22,831.9,837.95,823.0,824.45,998448.0
2026-05-25,832.0,834.0,812.0,823.35,1118732.0
2026-05-26,822.5,835.0,820.65,830.0,2110705.0
2026-05-27,832.0,845.0,829.75,833.8,986465.0
2026-05-29,841.65,841.65,817.1,821.7,7257304.0
2026-06-01,812.0,821.5,802.75,805.7,1236356.0
2026-06-02,794.9,812.45,794.85,810.95,1433084.0
2026-06-03,806.85,814.85,801.55,811.25,1106240.0
2026-06-04,811.25,826.55,805.45,816.85,1908015.0
2026-06-05,823.95,823.95,807.1,810.65,1801418.0
2026-06-08,803.1,813.45,800.25,809.0,1585444.0
2026-06-09,809.55,814.7,804.65,813.2,1004237.0
2026-06-10,814.35,832.95,809.15,819.9,2365760.0
2026-06-11,819.9,823.25,807.5,810.8,2187472.0
2026-06-12,815.15,821.85,808.5,819.05,1184514.0
2026-06-15,827.0,827.35,807.6,809.65,1944901.0
2026-06-16,810.0,818.4,806.5,808.45,1563410.0
2026-06-17,811.0,811.0,796.0,805.0,1937674.0
2026-06-18,813.0,831.0,808.45,820.75,3484629.0
2026-06-19,820.4,825.45,805.4,817.05,2005978.0
2026-06-22,821.05,821.05,808.8,812.45,2006370.0
2026-06-23,816.7,826.3,807.0,821.05,1528859.0
2026-06-24,824.55,827.65,810.45,819.45,1685066.0
2026-06-25,819.5,832.9,818.25,825.8,1885494.0
2026-06-29,824.6,844.65,824.6,839.95,7194690.0
2026-06-30,840.0,841.7,828.8,836.25,3911248.0
2026-07-01,836.25,854.45,836.25,851.0,1497295.0
2026-07-02,851.65,858.7,843.8,856.0,1249381.0
2026-07-03,873.0,873.0,835.1,838.55,5349026.0
2026-07-06,839.0,846.3,835.0,838.1,1488875.0
2026-07-07,838.2,850.4,837.6,847.65,2221794.0
2026-07-08,849.3,851.5,836.0,840.1,2190111.0
2026-07-09,845.05,862.3,841.45,860.05,2532027.0
2026-07-10,863.9,863.9,847.3,852.5,1338643.0
2026-07-13,850.0,853.1,841.75,846.75,1169864.0
2026-07-14,842.55,850.95,841.45,848.25,1441052.0
2026-07-15,850.0,851.65,841.1,844.45,1449908.0
2026-07-16,844.45,849.45,837.4,839.35,1149031.0
