Date,Open,High,Low,Close,Volume
2026-04-16,995.0,1008.5,982.0,990.65,3370119.0
2026-04-17,990.65,1011.4,983.0,1007.65,1640745.0
2026-04-20,1005.15,1022.0,1002.05,1011.35,2301160.0
2026-04-21,1008.9,1025.55,1008.0,1020.25,1321746.0
2026-04-22,1012.15,1020.0,1000.85,1005.35,1410740.0
2026-04-23,1000.0,1011.1,989.1,1006.75,1393123.0
2026-04-24,1009.95,1019.45,996.1,999.4,2553726.0
2026-04-27,1000.0,1015.4,1000.0,1009.85,1065883.0
2026-04-28,1018.0,1018.0,1001.4,1004.75,1035872.0
2026-04-29,1009.9,1029.1,1003.0,1006.6,1870409.0
2026-04-30,935.0,1006.5,934.95,993.05,2365736.0
2026-05-04,993.05,1021.0,992.0,1011.55,2605812.0
2026-05-05,1011.9,1014.4,996.5,1000.45,970882.0
2026-05-06,1013.0,1019.65,1006.0,1015.9,1327465.0
2026-05-07,1024.0,1025.9,1008.9,1015.3,1886787.0
2026-05-08,1013.6,1024.6,1007.4,1012.5,1835293.0
2026-05-11,1012.5,1041.8,1003.85,1037.95,3043486.0
2026-05-12,1040.3,1046.0,1014.0,1017.7,1891443.0
2026-05-13,1009.3,1032.75,1003.55,1026.1,1056295.0
2026-05-14,1025.2,1057.7,1025.15,1049.55,1822137.0
2026-05-15,1049.55,1059.9,1042.4,1050.1,1471140.0
2026-05-18,1040.0,1063.0,1024.3,1058.55,1558086.0
2026-05-19,1061.6,1080.0,1054.65,1068.75,2102863.0
2026-05-20,1060.05,1080.0,1052.75,1075.7,1767607.0
2026-05-21,1086.9,1111.0,1079.05,1091.1,2764467.0
2026-05-22,1068.25,1068.25,1011.0,1023.25,11711405.0
2026-05-25,1020.05,1029.45,994.0,1000.85,3847234.0
2026-05-26,1000.9,1000.9,987.15,993.95,2515276.0
2026-05-27,995.0,1000.0,979.8,993.45,2621505.0
2026-05-29,1002.95,1002.95,955.0,965.1,15388949.0
2026-06-01,970.0,972.0,936.2,938.45,3841704.0
2026-06-02,925.6,953.7,919.8,948.7,3784019.0
2026-06-03,941.2,967.75,935.85,965.55,2609191.0
2026-06-04,965.0,969.3,953.1,966.2,1513891.0
2026-06-05,977.1,978.95,962.85,977.25,1317243.0
2026-06-08,965.5,1010.5,960.0,1007.45,5444557.0
2026-06-09,1011.7,1012.1,995.75,1003.1,3057440.0
2026-06-10,1003.0,1025.4,1000.15,1010.1,3028517.0
2026-06-11,1005.35,1019.65,1003.15,1009.6,1834045.0
2026-06-12,1018.0,1018.0,1008.3,1012.45,760456.0
2026-06-15,1021.95,1032.0,1011.05,1028.9,1311693.0
2026-06-16,1034.5,1035.0,1014.3,1024.1,2214615.0
2026-06-17,1025.4,1029.6,1017.2,1026.15,1093918.0
2026-06-18,1028.7,1095.6,1026.5,1090.45,6871544.0
2026-06-19,1083.8,1102.75,1079.1,1094.75,2057402.0
2026-06-22,1096.0,1100.3,1075.1,1095.05,1386108.0
2026-06-23,1081.55,1107.35,1072.9,1078.05,2768017.0
2026-06-24,1077.8,1087.65,1073.55,1081.7,1301005.0
2026-06-25,1077.0,1139.8,1075.5,1123.35,5156097.0
2026-06-29,1125.0,1159.0,1117.45,1149.9,4106274.0
2026-06-30,1149.0,1153.65,1125.0,1129.25,2457312.0
2026-07-01,1134.9,1143.5,1126.0,1139.9,1329751.0
2026-07-02,1141.7,1144.5,1123.5,1127.4,1053691.0
2026-07-03,1145.0,1160.0,1129.7,1153.4,1456459.0
2026-07-06,1153.7,1167.9,1130.1,1132.5,1363473.0
2026-07-07,1132.9,1151.0,1114.0,1118.4,2060511.0
2026-07-08,1119.7,1132.0,1080.0,1084.8,1970930.0
2026-07-09,1083.3,1123.7,1083.3,1101.3,2525140.0
2026-07-10,1102.3,1114.4,1085.0,1108.1,1749088.0
2026-07-13,1107.1,1118.0,1094.2,1106.2,1676994.0
