Date,Open,High,Low,Close,Volume
2026-04-15,122.1,124.31,121.3,123.55,24891005.0
2026-04-16,124.7,125.87,122.26,122.82,20051657.0
2026-04-17,122.5,125.3,120.81,125.03,18007178.0
2026-04-20,125.4,125.4,122.38,123.19,12864248.0
2026-04-21,122.8,126.1,122.6,124.7,33674464.0
2026-04-22,124.72,132.99,124.72,131.76,42968413.0
2026-04-23,131.76,131.76,126.11,127.22,23191134.0
2026-04-24,128.07,129.1,125.33,125.7,11238446.0
2026-04-27,126.13,128.54,125.44,127.93,11628991.0
2026-04-28,128.0,128.8,124.82,125.22,15569483.0
2026-04-29,125.97,126.98,122.96,123.24,14894309.0
2026-04-30,123.24,123.25,119.12,121.21,17371847.0
2026-05-04,121.99,123.43,119.59,120.21,9964145.0
2026-05-05,120.21,121.11,118.41,120.24,10287116.0
2026-05-06,121.81,128.0,121.51,127.41,22449919.0
2026-05-07,128.31,131.4,126.8,130.43,38333083.0
2026-05-08,130.99,132.76,130.52,132.03,17361170.0
2026-05-11,130.58,131.39,128.94,130.3,10995210.0
2026-05-12,130.0,130.66,123.55,124.26,20474526.0
2026-05-13,124.0,127.53,123.83,126.32,15031563.0
2026-05-14,127.0,128.0,125.24,126.11,8977945.0
2026-05-15,126.5,131.61,125.58,129.92,21324325.0
2026-05-18,128.95,129.09,125.15,128.75,19541162.0
2026-05-19,130.84,132.7,129.02,131.49,24014703.0
2026-05-20,130.25,136.0,129.51,132.17,56355040.0
2026-05-21,136.02,138.4,133.36,137.0,65674007.0
2026-05-22,137.3,139.01,134.3,136.18,34327232.0
2026-05-25,137.5,138.75,135.11,135.91,15957403.0
2026-05-26,136.49,137.65,134.85,135.82,13243802.0
2026-05-27,136.0,146.7,134.65,142.41,50082550.0
2026-05-29,144.46,151.77,140.08,145.74,84670792.0
2026-06-01,146.01,146.8,141.13,141.77,38855400.0
2026-06-02,141.4,145.33,140.56,144.89,25070101.0
2026-06-03,144.68,146.25,141.75,145.61,19595325.0
2026-06-04,144.88,147.4,143.64,144.31,17953489.0
2026-06-05,144.65,146.15,143.0,143.56,13743288.0
2026-06-08,142.0,142.85,138.03,139.01,13205674.0
2026-06-09,141.7,144.4,140.5,144.06,19014375.0
2026-06-10,144.52,144.52,140.72,142.21,18703442.0
2026-06-11,141.1,141.4,139.27,140.74,15466606.0
2026-06-12,142.52,145.44,141.25,143.4,12743045.0
2026-06-15,146.1,149.9,146.1,148.12,21819103.0
2026-06-16,148.1,149.08,147.02,147.6,10550367.0
2026-06-17,147.51,147.59,142.63,145.1,20551699.0
2026-06-18,145.1,145.46,142.61,144.68,15847981.0
2026-06-19,144.5,146.05,143.02,145.54,20254043.0
2026-06-22,145.54,146.46,143.3,145.85,14978250.0
2026-06-23,145.85,146.14,141.76,143.61,15408718.0
2026-06-24,143.0,145.16,142.07,144.58,11314629.0
2026-06-25,145.03,155.25,144.02,151.71,74519440.0
2026-06-29,151.71,154.0,147.72,150.56,74600161.0
2026-06-30,148.94,150.5,146.5,148.11,25616527.0
2026-07-01,148.25,149.0,146.48,147.51,21947631.0
2026-07-02,148.24,148.59,146.7,147.59,9629607.0
2026-07-03,148.9,149.73,146.02,146.3,10135151.0
2026-07-06,146.54,148.8,144.5,145.33,18610894.0
2026-07-07,145.35,145.67,136.71,143.37,42013051.0
2026-07-08,142.71,144.83,139.61,140.65,18406565.0
2026-07-09,140.21,144.15,140.0,142.8,10227076.0
2026-07-10,144.2,144.85,142.62,143.19,8178532.0
