Date,Open,High,Low,Close,Volume
2026-04-07,75.9,76.2,75.29,75.67,5064467.0
2026-04-08,77.0,77.45,76.15,76.7,12486689.0
2026-04-09,78.0,78.54,76.63,77.11,31334772.0
2026-04-10,77.48,78.3,76.62,77.09,17950797.0
2026-04-13,76.33,77.98,75.15,77.66,14493079.0
2026-04-15,78.55,81.45,78.36,80.58,24133878.0
2026-04-16,81.1,82.22,79.92,81.38,19779326.0
2026-04-17,81.7,85.78,81.29,83.56,50026609.0
2026-04-20,83.99,83.99,82.25,83.1,16988597.0
2026-04-21,83.1,84.57,82.3,82.63,12629708.0
2026-04-22,82.8,83.5,81.99,82.63,14953779.0
2026-04-23,82.51,83.08,81.21,81.46,9025789.0
2026-04-24,81.48,82.28,79.98,80.66,14088780.0
2026-04-27,81.0,83.35,80.94,83.23,16998016.0
2026-04-28,83.21,85.6,83.15,85.38,29008047.0
2026-04-29,86.1,86.83,83.36,84.09,28377211.0
2026-04-30,83.5,83.51,81.58,83.2,15377210.0
2026-05-04,83.4,84.2,82.85,83.28,9422329.0
2026-05-05,83.2,83.68,82.45,83.17,8265293.0
2026-05-06,83.5,83.9,82.5,83.66,9589691.0
2026-05-07,83.99,84.08,81.26,81.58,17298641.0
2026-05-08,81.65,82.19,80.6,80.77,15750498.0
2026-05-11,80.77,80.79,78.59,79.19,15575030.0
2026-05-12,78.85,79.38,76.6,76.77,11491788.0
2026-05-13,76.77,78.47,76.44,78.14,11438834.0
2026-05-14,78.3,79.5,77.76,78.45,9871296.0
2026-05-15,78.78,79.03,76.6,76.79,8674290.0
2026-05-18,76.76,78.55,75.91,77.71,22907678.0
2026-05-19,77.9,79.5,77.62,79.06,15077061.0
2026-05-20,78.7,79.89,77.93,79.5,15924979.0
2026-05-21,79.75,80.49,78.75,79.0,10434287.0
2026-05-22,79.07,79.3,78.2,78.36,10284991.0
2026-05-25,78.76,79.49,78.35,79.02,10877480.0
2026-05-26,79.02,79.02,78.0,78.44,10193541.0
2026-05-27,78.51,81.0,78.44,80.68,20004108.0
2026-05-29,81.09,81.69,78.0,78.87,60162141.0
2026-06-01,79.11,79.25,76.31,77.2,13495785.0
2026-06-02,74.73,75.0,71.82,72.29,212433185.0
2026-06-03,75.56,76.17,74.5,75.1,170970500.0
2026-06-04,74.33,76.69,74.26,76.12,103835465.0
2026-06-05,76.11,76.68,73.93,74.97,54245677.0
2026-06-08,74.0,74.8,73.14,73.51,19385551.0
2026-06-09,74.07,74.28,73.33,74.0,21321638.0
2026-06-10,73.8,74.48,72.5,72.67,27403224.0
2026-06-11,72.72,72.8,71.62,72.13,14035849.0
2026-06-12,72.7,73.93,72.63,73.79,14607581.0
2026-06-15,74.5,75.74,73.91,74.69,52231097.0
2026-06-16,74.69,74.99,74.36,74.75,24616686.0
2026-06-17,75.0,75.18,74.12,74.41,12688591.0
2026-06-18,74.7,76.48,74.63,75.94,49217885.0
2026-06-19,75.7,76.01,75.13,75.82,12361623.0
2026-06-22,75.84,79.48,75.65,78.22,50728687.0
2026-06-23,78.22,79.04,77.56,77.9,18197552.0
2026-06-24,77.52,80.49,77.52,79.31,35219620.0
2026-06-25,79.5,79.98,78.45,79.4,14657754.0
2026-06-29,78.52,82.1,78.44,81.57,85760641.0
2026-06-30,81.0,81.58,80.21,81.33,20939633.0
2026-07-01,81.33,81.44,79.25,79.57,7502296.0
2026-07-02,80.9,81.5,79.59,80.59,15760790.0
2026-07-03,80.95,82.5,80.4,80.53,15591709.0
