Date,Open,High,Low,Close,Volume
2026-04-21,398.6,402.7,395.7,396.2,9493644.0
2026-04-22,398.0,407.25,393.2,405.4,16411131.0
2026-04-23,404.0,405.9,400.4,402.25,9144699.0
2026-04-24,404.75,405.25,399.2,401.85,6266676.0
2026-04-27,403.9,414.4,402.6,410.2,13001752.0
2026-04-28,414.0,414.2,405.95,406.85,7726655.0
2026-04-29,409.5,410.0,399.65,401.3,11920835.0
2026-04-30,400.0,400.3,393.15,399.15,7706357.0
2026-05-04,400.0,404.8,397.25,400.05,6333200.0
2026-05-05,398.3,400.5,394.55,398.65,6791514.0
2026-05-06,400.0,403.0,391.65,394.85,11120409.0
2026-05-07,396.75,403.5,393.15,400.35,9700378.0
2026-05-08,398.0,405.1,397.15,402.15,4740939.0
2026-05-11,401.9,405.0,391.0,392.95,10088836.0
2026-05-12,392.2,399.85,391.25,392.7,10247516.0
2026-05-13,392.0,394.05,385.8,390.45,12322076.0
2026-05-14,393.7,398.55,391.2,396.3,7363948.0
2026-05-15,396.0,398.0,392.5,395.25,7107857.0
2026-05-18,393.0,393.85,384.9,388.3,7632596.0
2026-05-19,386.7,392.75,386.05,389.4,6693518.0
2026-05-20,386.1,393.35,384.0,392.45,5386249.0
2026-05-21,393.5,395.55,387.85,388.8,10596954.0
2026-05-22,389.95,391.5,387.45,388.65,11755213.0
2026-05-25,391.95,392.8,386.45,390.05,10489850.0
2026-05-26,390.75,392.25,389.0,389.7,9062218.0
2026-05-27,390.35,403.1,390.35,398.15,14418621.0
2026-05-29,400.0,401.65,385.1,386.9,17003143.0
2026-06-01,386.9,389.0,376.5,378.7,18408900.0
2026-06-02,375.95,377.5,363.05,367.4,17496468.0
2026-06-03,368.05,371.5,363.7,366.8,10825715.0
2026-06-04,366.8,368.8,364.35,366.4,14363519.0
2026-06-05,365.95,368.5,358.65,361.65,10277061.0
2026-06-08,358.95,365.35,355.15,362.4,14933986.0
2026-06-09,362.8,363.7,355.0,355.65,14246656.0
2026-06-10,359.0,359.0,351.1,351.65,14939921.0
2026-06-11,352.0,353.35,348.8,351.85,15079402.0
2026-06-12,357.0,357.0,349.7,353.9,8740239.0
2026-06-15,357.4,358.0,346.95,348.1,17190759.0
2026-06-16,349.75,356.2,348.5,355.55,14555184.0
2026-06-17,355.55,356.05,352.05,355.55,9299676.0
2026-06-18,357.0,363.55,354.05,361.95,12260776.0
2026-06-19,361.95,368.0,359.95,365.8,17465450.0
2026-06-22,365.8,368.5,364.05,367.05,11946682.0
2026-06-23,367.85,369.25,361.9,364.6,11696171.0
2026-06-24,362.85,364.05,355.5,357.05,12770898.0
2026-06-25,356.45,359.0,351.45,352.05,19767157.0
2026-06-29,352.0,357.9,351.55,356.1,49895302.0
2026-06-30,354.75,358.35,352.9,356.65,10291360.0
2026-07-01,358.0,360.85,354.25,357.9,6915166.0
2026-07-02,359.95,359.95,352.3,358.25,6513560.0
2026-07-03,358.25,360.15,355.45,356.45,6588714.0
2026-07-06,356.0,359.4,354.65,356.25,6204261.0
2026-07-07,355.8,357.15,352.55,354.2,8149003.0
2026-07-08,351.95,353.0,347.55,348.7,9572223.0
2026-07-09,349.0,351.0,343.1,343.7,17821421.0
2026-07-10,344.5,348.8,343.2,344.55,13016441.0
2026-07-13,345.05,355.0,343.7,351.75,8226337.0
2026-07-14,348.5,353.95,347.5,348.15,8579646.0
2026-07-15,347.5,348.45,343.05,344.35,11352533.0
2026-07-16,344.2,346.05,342.1,342.45,10347549.0
