Date,Open,High,Low,Close,Volume
2026-04-07,105.1,105.79,103.6,104.58,21560842.0
2026-04-08,109.0,111.4,108.55,111.14,28565242.0
2026-04-09,110.94,111.93,109.05,109.59,21361314.0
2026-04-10,110.28,112.3,110.28,111.8,17478112.0
2026-04-13,109.0,111.06,107.82,110.73,18313227.0
2026-04-15,113.25,114.05,112.5,113.08,14100783.0
2026-04-16,114.0,114.8,113.0,113.56,18424149.0
2026-04-17,113.61,114.75,112.85,114.48,14471787.0
2026-04-20,114.9,115.1,113.34,113.74,16688164.0
2026-04-21,114.2,115.18,113.6,114.11,18163650.0
2026-04-22,113.9,115.6,113.35,114.67,18835055.0
2026-04-23,114.2,114.39,111.57,112.71,17507928.0
2026-04-24,112.71,113.45,111.6,113.09,11401908.0
2026-04-27,113.5,114.54,113.42,113.88,9479881.0
2026-04-28,112.5,113.0,111.21,111.39,20361676.0
2026-04-29,111.62,112.62,110.87,111.18,13295763.0
2026-04-30,110.8,110.8,108.11,109.36,16391067.0
2026-05-04,109.5,111.68,108.13,108.68,16736881.0
2026-05-05,108.8,111.41,105.45,107.89,57260623.0
2026-05-06,110.41,111.74,107.89,110.18,44447197.0
2026-05-07,110.95,111.0,109.0,109.11,28046754.0
2026-05-08,108.9,108.9,106.62,107.24,26751702.0
2026-05-11,106.2,106.45,104.33,104.62,21447783.0
2026-05-12,104.0,104.97,102.55,102.78,14949440.0
2026-05-13,102.99,103.89,101.35,102.77,23167254.0
2026-05-14,103.3,104.98,102.3,104.62,16123300.0
2026-05-15,104.62,104.85,101.78,102.05,22149004.0
2026-05-18,101.0,101.0,98.5,99.49,62402244.0
2026-05-19,100.19,101.69,100.02,101.3,15626791.0
2026-05-20,100.39,102.45,99.67,102.22,20380676.0
2026-05-21,103.22,103.45,101.66,101.92,21569101.0
2026-05-22,102.27,102.9,101.95,102.66,13695251.0
2026-05-25,103.6,106.5,103.5,106.26,23250421.0
2026-05-26,106.13,107.2,105.44,105.91,26298361.0
2026-05-27,105.9,107.04,105.58,106.67,11620905.0
2026-05-29,106.75,108.47,105.57,106.05,32063993.0
2026-06-01,106.5,107.13,103.52,103.78,19255610.0
2026-06-02,103.15,104.53,102.67,104.09,17365945.0
2026-06-03,104.01,106.11,102.9,105.8,15562385.0
2026-06-04,105.0,106.27,104.17,105.67,12866999.0
2026-06-05,106.2,108.8,106.02,106.85,24442790.0
2026-06-08,105.54,107.14,105.0,105.71,13314436.0
2026-06-09,106.0,109.98,106.0,109.65,38219915.0
2026-06-10,110.0,110.5,106.93,107.17,27530407.0
2026-06-11,106.1,106.84,105.12,106.17,27004122.0
2026-06-12,106.0,107.52,104.37,106.88,29965493.0
2026-06-15,108.05,109.48,107.69,107.96,18982668.0
2026-06-16,108.09,108.69,106.9,107.97,11865685.0
2026-06-17,108.3,109.2,107.43,108.87,22022581.0
2026-06-18,109.15,110.2,108.82,109.58,17436034.0
2026-06-19,109.0,109.48,108.3,108.77,13771644.0
2026-06-22,108.9,109.94,108.62,109.8,13513267.0
2026-06-23,109.8,109.86,107.11,107.43,15817094.0
2026-06-24,107.5,108.23,106.54,107.71,11005634.0
2026-06-25,108.6,109.0,107.54,107.87,17863177.0
2026-06-29,107.55,108.25,106.11,106.96,13574053.0
2026-06-30,107.06,107.69,106.23,106.69,11179354.0
2026-07-01,107.15,108.18,106.26,107.54,20515763.0
2026-07-02,108.26,108.3,106.13,106.91,13244182.0
2026-07-03,107.0,107.01,104.11,105.35,27733618.0
