Date,Open,High,Low,Close,Volume
2026-03-23,298.0,304.35,293.1,302.1,23771660.0
2026-03-24,309.0,309.0,292.4,299.0,24123621.0
2026-03-25,299.9,302.25,294.2,295.0,16423641.0
2026-03-27,294.45,297.3,290.3,295.5,27444747.0
2026-03-30,292.05,297.9,292.0,296.1,23105779.0
2026-04-01,305.0,305.9,290.2,292.8,18635698.0
2026-04-02,290.2,292.0,283.5,289.95,17222200.0
2026-04-06,294.9,295.6,287.3,295.15,9291741.0
2026-04-07,292.5,296.25,291.0,295.4,9318575.0
2026-04-08,301.0,301.75,293.6,294.85,10887876.0
2026-04-09,295.45,300.7,293.85,298.1,17644642.0
2026-04-10,301.1,303.5,299.75,302.75,13245074.0
2026-04-13,299.95,302.35,297.65,300.35,15681799.0
2026-04-15,303.4,313.4,301.25,312.45,21897202.0
2026-04-16,315.0,317.0,310.5,312.25,21510277.0
2026-04-17,313.3,318.95,311.4,318.1,13609827.0
2026-04-20,319.0,323.05,315.55,319.7,10955277.0
2026-04-21,318.95,322.0,318.0,319.35,8342335.0
2026-04-22,319.75,322.0,316.0,319.75,7112538.0
2026-04-23,320.0,321.85,318.05,319.15,7294961.0
2026-04-24,316.0,317.9,314.5,316.4,9980241.0
2026-04-27,318.0,324.95,316.95,320.9,9334181.0
2026-04-28,322.8,322.8,317.65,319.0,9083528.0
2026-04-29,320.1,323.8,318.25,320.35,10372929.0
2026-04-30,319.6,321.25,315.95,318.35,9521058.0
2026-05-04,314.0,323.9,314.0,319.05,7370269.0
2026-05-05,318.9,321.3,315.0,319.45,8569582.0
2026-05-06,320.05,321.5,314.6,315.95,4884118.0
2026-05-07,315.75,316.75,312.5,313.8,9126203.0
2026-05-08,315.2,315.2,310.6,313.95,7929393.0
2026-05-11,313.95,314.05,309.95,310.9,8204425.0
2026-05-12,309.45,310.75,305.5,306.3,7952584.0
2026-05-13,304.25,305.4,295.65,301.5,23775882.0
2026-05-14,306.0,307.55,300.6,301.75,14012601.0
2026-05-15,307.8,308.15,302.9,305.85,10092811.0
2026-05-18,296.3,298.45,290.2,296.55,16036198.0
2026-05-19,296.6,300.0,294.55,298.6,12580156.0
2026-05-20,297.5,300.8,294.55,299.9,5672695.0
2026-05-21,302.4,304.5,298.7,299.55,10353164.0
2026-05-22,298.7,300.55,293.55,294.3,15105294.0
2026-05-25,298.5,298.5,294.15,295.35,5896815.0
2026-05-26,295.0,295.95,292.05,292.55,5625947.0
2026-05-27,292.0,301.25,292.0,300.15,9883025.0
2026-05-29,303.0,303.0,285.45,290.55,77407363.0
2026-06-01,291.0,292.35,284.7,286.15,17628347.0
2026-06-02,281.75,285.25,278.4,282.15,15198142.0
2026-06-03,282.0,286.0,280.35,285.05,13002063.0
2026-06-04,280.0,286.05,280.0,284.6,16292818.0
2026-06-05,284.0,286.55,283.0,285.65,6955072.0
2026-06-08,283.0,292.1,282.6,290.3,8748933.0
2026-06-09,292.9,293.05,284.75,285.7,7973130.0
2026-06-10,285.0,289.5,284.05,287.2,8330040.0
2026-06-11,289.25,290.45,286.0,286.65,12064071.0
2026-06-12,288.9,288.9,282.7,284.8,5478294.0
2026-06-15,290.0,290.0,284.05,285.7,9319070.0
2026-06-16,286.1,286.4,282.85,285.15,8146761.0
2026-06-17,286.2,286.65,283.25,286.35,6008101.0
2026-06-18,286.35,289.45,283.3,288.7,8381654.0
2026-06-19,288.95,292.9,287.65,292.25,10295261.0
