Date,Open,High,Low,Close,Volume
2026-04-02,317.55,325.95,311.25,324.8,8100516.0
2026-04-06,323.55,328.25,320.2,327.55,6505082.0
2026-04-07,325.9,330.6,325.0,329.35,8232651.0
2026-04-08,344.85,344.85,337.6,342.65,6840941.0
2026-04-09,342.65,349.85,338.7,346.8,6287331.0
2026-04-10,349.0,354.3,345.9,349.8,6438338.0
2026-04-13,341.15,347.85,337.75,347.0,5524253.0
2026-04-15,350.6,356.25,350.15,352.65,5663934.0
2026-04-16,355.0,372.6,354.0,364.2,21771221.0
2026-04-17,364.15,377.7,362.7,373.3,14949943.0
2026-04-20,373.35,384.55,366.45,382.7,12043689.0
2026-04-21,382.7,387.45,380.0,383.35,8374408.0
2026-04-22,380.0,386.25,379.0,383.35,5284649.0
2026-04-23,381.85,386.1,375.85,376.45,6915475.0
2026-04-24,377.0,378.75,369.05,374.0,4834153.0
2026-04-27,376.0,381.95,376.0,378.05,4948268.0
2026-04-28,377.0,383.5,371.5,375.8,10991705.0
2026-04-29,368.05,372.45,358.1,363.55,16891422.0
2026-04-30,361.1,361.1,352.75,354.3,9031675.0
2026-05-04,356.0,361.15,351.4,353.5,5034010.0
2026-05-05,353.5,357.8,351.15,356.4,6734583.0
2026-05-06,358.9,361.1,351.85,359.1,9798302.0
2026-05-07,360.0,367.3,357.6,359.75,7776265.0
2026-05-08,359.75,363.6,356.15,359.4,5059153.0
2026-05-11,358.0,358.8,350.5,351.55,4773107.0
2026-05-12,350.15,353.65,343.55,344.35,5222169.0
2026-05-13,345.45,351.1,342.0,346.55,4765260.0
2026-05-14,349.0,350.55,341.7,348.3,5287354.0
2026-05-15,349.5,350.25,344.2,345.85,3222539.0
2026-05-18,345.0,345.0,331.65,333.7,6159707.0
2026-05-19,333.7,337.15,332.8,334.25,2521354.0
2026-05-20,333.4,335.0,328.15,333.0,3723835.0
2026-05-21,336.4,338.8,333.0,333.7,4807537.0
2026-05-22,335.5,338.0,332.4,336.95,4613260.0
2026-05-25,340.0,345.0,340.0,342.2,3489013.0
2026-05-26,344.0,344.45,336.3,337.6,3913330.0
2026-05-27,337.0,340.65,336.6,339.7,3232759.0
2026-05-29,342.5,343.65,335.0,337.65,10274190.0
2026-06-01,339.65,339.85,331.0,331.4,4076940.0
2026-06-02,329.95,330.4,321.0,325.05,6501043.0
2026-06-03,325.8,327.5,322.6,325.65,4526029.0
2026-06-04,325.65,336.2,325.1,335.2,8844070.0
2026-06-05,336.8,346.8,336.2,343.9,11008792.0
2026-06-08,340.0,346.4,338.45,343.4,11062037.0
2026-06-09,344.25,352.8,343.45,352.1,6850589.0
2026-06-10,352.0,354.8,347.8,348.8,4341800.0
2026-06-11,348.5,349.55,335.7,336.85,5830091.0
2026-06-12,341.25,348.75,339.9,348.05,2634728.0
2026-06-15,353.7,354.45,350.5,351.85,3911854.0
2026-06-16,353.0,358.75,352.4,356.55,3407173.0
2026-06-17,357.5,360.0,354.3,358.75,2690056.0
2026-06-18,359.8,364.85,353.75,358.7,4640982.0
2026-06-19,355.2,357.95,352.8,355.35,2926136.0
2026-06-22,355.35,370.75,355.35,369.85,9413420.0
2026-06-23,371.0,371.3,361.15,361.9,5760725.0
2026-06-24,362.15,365.35,360.55,363.65,5365537.0
2026-06-25,366.1,368.0,360.0,364.65,6473908.0
2026-06-29,365.55,367.95,363.0,364.95,10623804.0
2026-06-30,364.95,367.8,362.5,363.8,10340613.0
2026-07-01,365.0,370.95,362.0,370.1,7320424.0
