Date,Open,High,Low,Close,Volume
2026-04-07,920.0,932.4,910.05,930.65,5503677.0
2026-04-08,975.0,1035.45,975.0,1023.2,18256527.0
2026-04-09,1010.1,1015.0,990.45,996.3,7668209.0
2026-04-10,1016.1,1031.0,1011.25,1027.55,8048521.0
2026-04-13,1000.15,1015.5,988.8,1004.1,8242484.0
2026-04-15,1030.0,1043.5,1016.45,1020.95,7869459.0
2026-04-16,1026.1,1034.35,1015.35,1022.75,5716035.0
2026-04-17,1022.0,1039.5,1013.15,1036.95,4345572.0
2026-04-20,1040.0,1049.95,1026.0,1045.15,4670588.0
2026-04-21,1054.0,1062.7,1039.25,1045.3,5699181.0
2026-04-22,1050.0,1053.7,1029.4,1044.55,4404420.0
2026-04-23,1044.9,1044.9,1006.35,1009.3,4658783.0
2026-04-24,1006.95,1030.4,983.55,1011.3,9263466.0
2026-04-27,1011.3,1012.0,963.75,974.65,15096574.0
2026-04-28,974.5,979.75,949.3,953.25,6752420.0
2026-04-29,965.0,975.3,954.9,956.85,5829309.0
2026-04-30,945.2,950.0,921.0,937.35,5990764.0
2026-05-04,942.0,969.0,942.0,960.45,4018048.0
2026-05-05,955.65,966.9,937.3,964.4,4029508.0
2026-05-06,980.0,1007.45,976.05,1004.1,5858946.0
2026-05-07,1009.0,1023.75,1002.05,1015.65,4848929.0
2026-05-08,1013.0,1013.35,1001.25,1007.75,5755029.0
2026-05-11,990.0,990.85,970.45,975.95,5927270.0
2026-05-12,971.0,979.95,925.95,930.45,8674062.0
2026-05-13,925.2,938.4,915.0,920.55,10747950.0
2026-05-14,929.9,941.65,901.3,935.1,9220462.0
2026-05-15,921.0,945.9,921.0,937.9,5759607.0
2026-05-18,923.8,937.65,911.0,933.7,5232089.0
2026-05-19,940.0,941.85,924.7,927.35,3216479.0
2026-05-20,920.0,925.45,913.0,923.45,5764449.0
2026-05-21,935.0,941.9,910.0,914.75,4598094.0
2026-05-22,916.25,944.25,913.15,941.0,5414742.0
2026-05-25,956.95,970.5,956.9,961.95,6256205.0
2026-05-26,961.0,965.6,948.6,952.15,4350923.0
2026-05-27,947.05,968.1,946.6,963.2,3592277.0
2026-05-29,961.0,975.55,942.9,947.15,11248568.0
2026-06-01,950.05,953.85,916.4,919.05,8308513.0
2026-06-02,908.6,917.95,900.2,911.7,7610958.0
2026-06-03,912.65,915.9,888.9,912.95,6951317.0
2026-06-04,907.95,919.9,903.05,915.8,3666582.0
2026-06-05,920.1,944.9,916.15,923.3,5769377.0
2026-06-08,909.0,911.35,892.1,896.65,4584431.0
2026-06-09,908.4,915.0,896.75,911.7,5892611.0
2026-06-10,907.85,914.75,894.2,897.35,4026258.0
2026-06-11,893.95,896.3,879.1,886.25,4640157.0
2026-06-12,908.0,959.1,901.6,954.95,9760441.0
2026-06-15,1005.0,1009.5,988.0,1000.65,12251483.0
2026-06-16,998.0,1010.05,992.05,1005.75,4544903.0
2026-06-17,1005.0,1015.75,1001.95,1007.5,4353419.0
2026-06-18,1010.0,1017.3,998.25,1002.7,3364449.0
2026-06-19,1001.65,1007.7,992.3,1001.9,2611538.0
2026-06-22,1003.95,1005.75,983.8,992.85,4287218.0
2026-06-23,984.5,1007.7,984.5,993.35,2904186.0
2026-06-24,993.35,1029.35,980.55,1019.0,7885319.0
2026-06-25,1030.0,1052.0,1026.0,1031.8,8924791.0
2026-06-29,1036.95,1055.4,1029.75,1032.65,11369236.0
2026-06-30,1032.65,1048.0,1030.25,1042.15,5218792.0
2026-07-01,1050.0,1058.6,1038.0,1048.1,4722961.0
2026-07-02,1052.0,1071.0,1048.2,1066.7,5736423.0
2026-07-03,1081.5,1081.5,1060.1,1063.6,3603167.0
