Date,Open,High,Low,Close,Volume
2026-04-16,2512.0,2521.7,2480.0,2504.0,238499.0
2026-04-17,2508.5,2525.0,2488.5,2494.5,277954.0
2026-04-20,2510.0,2510.0,2456.2,2465.1,349689.0
2026-04-21,2471.8,2499.9,2463.6,2471.0,460567.0
2026-04-22,2470.0,2507.0,2452.0,2492.8,326961.0
2026-04-23,2484.3,2549.9,2466.0,2542.4,950680.0
2026-04-24,2559.0,2563.7,2472.2,2493.6,411464.0
2026-04-27,2516.8,2549.0,2496.7,2508.2,341589.0
2026-04-28,2508.2,2544.8,2484.4,2532.8,306944.0
2026-04-29,2551.0,2604.0,2538.3,2543.6,350550.0
2026-04-30,2543.5,2543.5,2488.9,2518.6,413405.0
2026-05-04,2520.4,2565.0,2520.0,2551.4,280967.0
2026-05-05,2553.0,2567.8,2495.0,2522.8,554217.0
2026-05-06,2605.0,2762.0,2582.2,2719.6,4206668.0
2026-05-07,2714.9,2780.0,2655.0,2771.3,796612.0
2026-05-08,2775.4,2819.3,2770.0,2780.8,516387.0
2026-05-11,2777.0,2832.1,2739.6,2798.5,596821.0
2026-05-12,2785.0,2800.0,2714.1,2721.2,475622.0
2026-05-13,2738.9,2756.3,2688.8,2695.2,642859.0
2026-05-14,2714.0,2739.9,2664.9,2729.4,270823.0
2026-05-15,2739.0,2740.1,2685.0,2689.5,345387.0
2026-05-18,2666.0,2685.0,2607.2,2639.9,227858.0
2026-05-19,2649.9,2668.8,2631.0,2637.2,226571.0
2026-05-20,2617.2,2622.1,2590.5,2613.3,342170.0
2026-05-21,2634.5,2648.9,2600.1,2620.4,459611.0
2026-05-22,2661.9,2688.0,2630.1,2639.4,521212.0
2026-05-25,2661.0,2724.0,2655.4,2711.0,170564.0
2026-05-26,2729.9,2772.9,2712.0,2749.7,704640.0
2026-05-27,2768.0,2776.4,2725.0,2736.8,222202.0
2026-05-29,2740.7,2759.0,2678.8,2715.8,2087600.0
2026-06-01,2719.0,2719.0,2674.2,2696.2,362133.0
2026-06-02,2682.0,2752.8,2651.2,2745.3,503919.0
2026-06-03,2740.1,2758.0,2711.6,2718.4,530894.0
2026-06-04,2706.0,2739.0,2693.7,2726.6,316793.0
2026-06-05,2745.0,2745.0,2692.0,2704.9,162064.0
2026-06-08,2647.0,2690.3,2610.4,2674.4,605925.0
2026-06-09,2674.9,2733.6,2673.0,2689.6,463994.0
2026-06-10,2699.0,2754.8,2699.0,2734.1,482986.0
2026-06-11,2734.0,2734.0,2650.0,2658.4,552102.0
2026-06-12,2696.7,2748.0,2681.3,2743.0,245864.0
2026-06-15,2760.9,2768.9,2712.1,2720.5,496251.0
2026-06-16,2730.0,2784.0,2730.0,2744.0,687248.0
2026-06-17,2750.9,2760.0,2651.2,2705.5,499787.0
2026-06-18,2719.4,2727.2,2675.0,2703.0,356118.0
2026-06-19,2701.0,2719.8,2687.1,2709.8,321703.0
2026-06-22,2720.0,2748.8,2697.3,2720.7,473652.0
2026-06-23,2727.0,2777.0,2722.0,2736.7,856546.0
2026-06-24,2736.0,2775.5,2701.0,2765.8,247480.0
2026-06-25,2772.0,2775.0,2725.6,2732.9,398225.0
2026-06-29,2732.9,2738.4,2648.8,2664.7,988256.0
2026-06-30,2664.7,2781.5,2664.7,2739.0,773262.0
2026-07-01,2740.0,2752.6,2711.4,2739.9,338475.0
2026-07-02,2739.9,2812.0,2730.0,2799.4,563679.0
2026-07-03,2828.0,2832.0,2785.2,2794.5,509097.0
2026-07-06,2803.0,2859.5,2794.5,2830.7,448352.0
2026-07-07,2839.0,2848.8,2796.3,2810.6,243891.0
2026-07-08,2790.8,2804.0,2691.6,2709.5,556227.0
2026-07-09,2720.0,2792.5,2718.0,2756.9,201957.0
2026-07-10,2779.0,2799.9,2765.3,2774.6,104341.0
2026-07-13,2777.6,2780.4,2739.0,2741.6,122987.0
