Date,Open,High,Low,Close,Volume
2026-03-23,402.7,403.3,373.0,386.95,15173788.0
2026-03-24,395.0,395.0,383.8,384.75,9726871.0
2026-03-25,388.0,395.0,387.05,390.7,6900597.0
2026-03-27,390.0,391.55,384.6,385.7,9994317.0
2026-03-30,381.0,388.75,377.95,378.75,9446563.0
2026-04-01,390.7,390.9,378.55,380.2,6063436.0
2026-04-02,378.85,386.65,368.0,385.0,9543544.0
2026-04-06,385.05,387.0,378.45,383.85,6691437.0
2026-04-07,381.95,388.7,378.45,387.7,4381799.0
2026-04-08,395.0,397.45,392.05,394.95,7324411.0
2026-04-09,395.0,398.85,392.0,394.7,8546666.0
2026-04-10,396.5,401.35,394.9,399.35,6096752.0
2026-04-13,394.95,417.0,390.25,409.55,20611836.0
2026-04-15,415.0,423.9,410.0,421.85,17610989.0
2026-04-16,427.4,429.65,416.2,426.6,14102437.0
2026-04-17,429.0,432.0,424.6,427.6,7377006.0
2026-04-20,427.5,438.5,424.45,433.6,13081794.0
2026-04-21,435.0,439.05,431.65,436.05,9014937.0
2026-04-22,436.0,440.8,434.8,436.05,5945688.0
2026-04-23,435.5,437.8,427.55,430.3,7927709.0
2026-04-24,431.0,436.7,426.0,435.0,6780544.0
2026-04-27,436.6,455.95,435.2,453.2,16399806.0
2026-04-28,454.0,464.9,454.0,461.8,16158141.0
2026-04-29,464.3,464.4,449.4,451.5,7412182.0
2026-04-30,450.0,450.0,439.3,444.55,6116311.0
2026-05-04,445.5,448.0,438.5,441.4,4920694.0
2026-05-05,441.05,445.75,436.65,442.65,6785881.0
2026-05-06,444.5,446.3,439.5,443.25,4255437.0
2026-05-07,445.15,446.0,438.2,439.25,5471848.0
2026-05-08,438.1,440.6,434.7,436.0,4061354.0
2026-05-11,434.0,437.95,428.7,433.2,4156495.0
2026-05-12,431.2,433.4,417.25,418.4,6821438.0
2026-05-13,391.0,413.75,390.8,404.45,20958608.0
2026-05-14,405.85,411.3,402.2,407.85,5795421.0
2026-05-15,409.4,412.25,405.0,407.0,4344049.0
2026-05-18,404.6,405.7,395.95,404.35,6007649.0
2026-05-19,404.3,418.5,403.4,415.0,7454213.0
2026-05-20,411.8,415.95,409.75,413.5,4390666.0
2026-05-21,416.0,417.0,409.0,410.5,5013888.0
2026-05-22,411.0,412.95,406.15,408.9,4398760.0
2026-05-25,411.25,415.1,409.4,413.55,3635798.0
2026-05-26,415.25,426.8,414.0,420.95,9332347.0
2026-05-27,420.8,430.4,419.5,425.8,6171033.0
2026-05-29,429.9,434.0,419.65,420.75,8197538.0
2026-06-01,421.7,423.75,416.6,419.5,6503865.0
2026-06-02,415.5,417.25,408.65,414.9,5616307.0
2026-06-03,414.45,414.95,407.25,411.75,3650477.0
2026-06-04,410.0,414.6,409.0,410.8,2512081.0
2026-06-05,411.45,413.75,406.55,409.2,2616616.0
2026-06-08,404.05,409.1,402.3,404.2,2751940.0
2026-06-09,404.35,406.6,396.55,398.65,5796055.0
2026-06-10,398.65,402.95,393.35,394.75,3489888.0
2026-06-11,391.95,396.5,388.3,390.25,5580234.0
2026-06-12,395.8,395.8,388.0,393.55,6317321.0
2026-06-15,397.75,405.4,395.55,404.1,9202415.0
2026-06-16,405.0,405.6,400.25,402.25,7499735.0
2026-06-17,402.25,403.45,399.35,401.5,5958070.0
2026-06-18,402.95,403.9,398.45,402.9,5550321.0
2026-06-19,402.5,403.7,399.5,402.35,4585159.0
