Date,Open,High,Low,Close,Volume
2026-03-23,193.0,193.95,186.51,187.17,44393392.0
2026-03-24,192.0,192.19,187.78,190.79,34321983.0
2026-03-25,193.03,197.15,192.32,196.65,34767360.0
2026-03-27,194.32,195.5,192.64,193.22,36938046.0
2026-03-30,192.0,194.42,188.3,191.86,45914996.0
2026-04-01,200.0,200.2,194.0,194.6,35813622.0
2026-04-02,192.91,194.85,187.95,194.14,27633959.0
2026-04-06,193.02,196.65,190.25,196.1,28115748.0
2026-04-07,195.6,198.42,193.28,198.13,32090982.0
2026-04-08,202.01,206.4,202.0,204.18,37018381.0
2026-04-09,204.51,208.19,204.06,205.2,36853400.0
2026-04-10,207.98,209.0,204.8,206.61,28385501.0
2026-04-13,203.7,207.0,201.5,206.39,25848544.0
2026-04-15,209.0,211.15,207.6,208.72,30858355.0
2026-04-16,209.75,212.92,209.01,210.69,26751249.0
2026-04-17,210.69,212.46,208.5,212.12,22837792.0
2026-04-20,212.0,213.4,209.8,211.72,24992602.0
2026-04-21,211.72,214.49,211.08,212.01,17427021.0
2026-04-22,211.0,213.78,210.51,213.03,20795714.0
2026-04-23,213.04,213.1,210.16,210.91,19304122.0
2026-04-24,211.0,212.0,208.6,210.07,22379072.0
2026-04-27,211.0,215.0,210.93,213.27,33068230.0
2026-04-28,213.2,218.24,212.2,215.05,34950491.0
2026-04-29,216.1,217.0,211.36,215.88,32800573.0
2026-04-30,215.78,215.78,210.0,211.36,24894783.0
2026-05-04,212.55,214.5,211.4,212.24,23140911.0
2026-05-05,212.2,212.34,209.45,211.32,20733709.0
2026-05-06,214.0,216.73,212.42,215.47,24082651.0
2026-05-07,216.7,219.2,215.75,217.09,21243369.0
2026-05-08,217.0,217.4,214.25,214.49,17760366.0
2026-05-11,213.5,215.0,211.52,212.08,16301350.0
2026-05-12,212.0,216.33,211.5,212.0,28371348.0
2026-05-13,213.24,220.91,213.07,219.62,46231533.0
2026-05-14,222.3,222.9,219.02,221.13,34985006.0
2026-05-15,223.0,224.4,216.0,216.84,33231023.0
2026-05-18,211.0,211.82,205.05,209.71,73796001.0
2026-05-19,210.59,212.33,208.9,209.29,32573663.0
2026-05-20,207.5,207.5,203.04,207.01,56670462.0
2026-05-21,209.75,210.07,207.66,208.58,24385712.0
2026-05-22,209.6,210.88,208.26,209.19,22023114.0
2026-05-25,211.3,211.75,209.44,210.22,23090495.0
2026-05-26,209.9,211.14,209.51,210.47,17801824.0
2026-05-27,210.7,218.96,210.7,214.7,39110042.0
2026-05-29,215.69,215.7,206.7,208.02,67467374.0
2026-06-01,210.0,211.4,206.5,210.57,23733470.0
2026-06-02,209.01,213.46,208.57,210.6,29358964.0
2026-06-03,210.71,212.49,207.6,211.89,23198930.0
2026-06-04,210.42,212.24,209.31,210.57,18939468.0
2026-06-05,209.4,210.5,203.9,206.77,35802398.0
2026-06-08,203.44,205.21,201.6,202.72,31036948.0
2026-06-09,203.0,204.0,200.34,203.18,42111455.0
2026-06-10,203.0,203.4,198.0,199.31,34008938.0
2026-06-11,197.44,199.35,196.05,197.96,38292223.0
2026-06-12,200.0,200.82,195.8,197.86,27622963.0
2026-06-15,199.96,200.95,196.82,197.28,27071539.0
2026-06-16,197.51,197.6,193.31,196.0,29255187.0
2026-06-17,196.79,199.5,195.6,199.01,22491220.0
