Date,Open,High,Low,Close,Volume
2026-04-16,1489.8,1511.5,1479.5,1491.0,1768783.0
2026-04-17,1486.0,1522.5,1474.9,1511.4,1859402.0
2026-04-20,1510.9,1531.3,1496.2,1504.4,1341688.0
2026-04-21,1501.0,1510.9,1489.0,1500.8,2001948.0
2026-04-22,1463.4,1502.8,1404.1,1462.6,11668801.0
2026-04-23,1470.2,1473.9,1413.9,1421.5,4101549.0
2026-04-24,1407.1,1426.7,1347.4,1358.5,3693260.0
2026-04-27,1362.9,1400.5,1360.2,1396.1,1834277.0
2026-04-28,1392.5,1413.0,1383.6,1408.1,2009200.0
2026-04-29,1414.0,1464.0,1405.2,1459.8,3334783.0
2026-04-30,1459.7,1482.0,1445.6,1473.5,2635309.0
2026-05-04,1484.0,1492.4,1455.2,1471.6,1483759.0
2026-05-05,1465.0,1483.8,1447.1,1452.2,711081.0
2026-05-06,1467.9,1480.6,1455.4,1466.7,877900.0
2026-05-07,1467.0,1475.9,1444.0,1448.2,1147147.0
2026-05-08,1453.5,1469.8,1448.4,1463.0,1360644.0
2026-05-11,1460.0,1475.4,1451.8,1457.4,1348443.0
2026-05-12,1447.0,1447.0,1388.9,1392.9,1474910.0
2026-05-13,1392.9,1399.9,1371.6,1375.0,2142904.0
2026-05-14,1370.0,1374.0,1327.3,1343.4,2337353.0
2026-05-15,1350.0,1387.7,1350.0,1370.5,5306932.0
2026-05-18,1363.7,1437.7,1363.7,1430.0,6204623.0
2026-05-19,1446.3,1506.8,1445.6,1467.1,6697277.0
2026-05-20,1453.6,1476.5,1434.7,1439.0,2216454.0
2026-05-21,1445.1,1450.0,1416.3,1420.0,999422.0
2026-05-22,1425.0,1429.3,1406.1,1422.2,654078.0
2026-05-25,1429.4,1445.0,1421.2,1435.5,887430.0
2026-05-26,1433.6,1465.8,1429.9,1458.7,1725570.0
2026-05-27,1460.1,1479.0,1451.1,1455.6,1825192.0
2026-05-29,1476.9,1496.6,1460.1,1483.9,3955137.0
2026-06-01,1495.2,1562.5,1495.2,1543.2,5243443.0
2026-06-02,1562.9,1589.0,1554.0,1571.4,4169279.0
2026-06-03,1549.1,1554.7,1467.6,1472.3,3493572.0
2026-06-04,1460.0,1499.7,1453.1,1487.3,2061503.0
2026-06-05,1508.7,1524.0,1467.9,1483.5,2201977.0
2026-06-08,1469.1,1511.1,1459.0,1503.4,2467960.0
2026-06-09,1516.5,1518.4,1473.2,1483.8,1330108.0
2026-06-10,1480.0,1496.3,1471.2,1478.9,1082678.0
2026-06-11,1456.8,1481.9,1437.7,1465.1,2088978.0
2026-06-12,1477.0,1478.6,1425.0,1429.2,2460369.0
2026-06-15,1441.2,1454.7,1423.6,1425.6,1926338.0
2026-06-16,1435.1,1455.7,1422.9,1446.8,1987359.0
2026-06-17,1455.0,1476.8,1454.0,1462.4,2126833.0
2026-06-18,1454.0,1460.0,1435.5,1447.7,2273483.0
2026-06-19,1350.0,1417.2,1344.0,1409.6,5864187.0
2026-06-22,1414.0,1444.0,1414.0,1435.2,2165308.0
2026-06-23,1427.2,1433.3,1400.5,1415.6,2402816.0
2026-06-24,1420.0,1466.5,1420.0,1461.6,3451553.0
2026-06-25,1465.0,1476.0,1435.1,1437.1,2553830.0
2026-06-29,1439.7,1453.9,1428.6,1433.8,2466821.0
2026-06-30,1438.0,1443.8,1398.9,1404.7,2421536.0
2026-07-01,1404.7,1404.7,1355.6,1362.2,3793024.0
2026-07-02,1378.3,1426.0,1373.4,1421.3,3034626.0
2026-07-03,1399.9,1445.0,1398.5,1410.1,2849871.0
2026-07-06,1409.8,1417.4,1391.0,1406.5,1158020.0
2026-07-07,1398.5,1463.3,1398.5,1447.5,4066916.0
2026-07-08,1441.0,1452.9,1422.8,1428.8,1489170.0
2026-07-09,1426.0,1436.3,1399.0,1426.3,1379708.0
2026-07-10,1448.0,1478.9,1445.3,1454.8,1732609.0
2026-07-13,1444.2,1524.8,1444.2,1504.5,2285072.0
