Date,Open,High,Low,Close,Volume
2026-04-15,189.0,191.46,185.76,188.71,12244209.0
2026-04-16,189.5,191.1,187.22,188.49,11737567.0
2026-04-17,188.49,189.4,186.35,188.91,8818513.0
2026-04-20,189.0,193.2,186.21,189.29,14172531.0
2026-04-21,190.52,192.98,189.75,191.38,13904723.0
2026-04-22,191.38,197.13,190.4,194.05,21651436.0
2026-04-23,194.89,194.89,177.3,179.71,65651090.0
2026-04-24,179.3,180.75,174.4,177.0,27300659.0
2026-04-27,177.2,178.8,175.36,176.1,17230436.0
2026-04-28,173.25,174.3,169.17,170.48,37573622.0
2026-04-29,170.46,172.23,164.28,167.31,23790547.0
2026-04-30,165.0,166.75,162.61,165.94,17097157.0
2026-05-04,167.0,168.5,163.32,163.77,14524787.0
2026-05-05,163.5,164.4,161.44,163.74,12119775.0
2026-05-06,165.76,169.75,164.83,168.75,15731990.0
2026-05-07,169.68,169.9,166.12,167.28,11667483.0
2026-05-08,166.5,167.28,164.5,166.24,15053176.0
2026-05-11,165.0,166.2,163.23,163.81,9090770.0
2026-05-12,162.0,164.95,161.39,162.19,11408910.0
2026-05-13,162.35,163.81,159.76,162.46,11841874.0
2026-05-14,163.24,166.9,161.33,164.9,12820014.0
2026-05-15,165.2,165.44,161.5,161.94,9269427.0
2026-05-18,160.2,160.5,157.02,158.89,10337755.0
2026-05-19,160.0,160.51,158.22,158.96,6233854.0
2026-05-20,157.6,159.69,156.21,159.0,8594444.0
2026-05-21,161.6,162.14,159.7,160.12,8330372.0
2026-05-22,160.0,161.61,159.43,160.72,8563944.0
2026-05-25,162.0,169.46,161.91,168.87,19110578.0
2026-05-26,170.96,170.96,166.24,167.56,16199061.0
2026-05-27,167.56,169.4,167.07,168.72,7569728.0
2026-05-29,169.0,171.79,166.6,167.88,48286734.0
2026-06-01,168.0,168.79,161.95,162.54,11662148.0
2026-06-02,161.05,163.9,160.1,162.68,18233176.0
2026-06-03,164.01,167.5,160.55,166.7,10405094.0
2026-06-04,166.45,167.5,165.15,166.54,6247512.0
2026-06-05,167.6,169.59,165.84,167.0,12927945.0
2026-06-08,165.0,170.64,163.45,165.18,14433775.0
2026-06-09,165.64,170.96,165.31,170.44,16722972.0
2026-06-10,170.0,170.73,166.0,166.45,12209748.0
2026-06-11,164.1,165.68,162.92,164.54,12145117.0
2026-06-12,167.5,170.42,166.15,170.05,13371950.0
2026-06-15,172.9,173.9,170.8,171.3,8365210.0
2026-06-16,172.45,172.95,168.54,170.56,8606545.0
2026-06-17,171.5,174.15,169.4,173.75,12653845.0
2026-06-18,174.34,177.6,173.21,176.12,14194713.0
2026-06-19,176.1,176.69,174.5,175.76,11232086.0
2026-06-22,175.8,176.8,174.06,176.62,8516217.0
2026-06-23,176.68,176.95,173.86,175.12,22750233.0
2026-06-24,175.02,176.0,174.1,174.83,13079969.0
2026-06-25,175.5,176.58,174.3,174.71,12437646.0
2026-06-29,175.0,175.9,172.13,174.56,16043533.0
2026-06-30,175.0,175.8,171.9,172.43,12547240.0
2026-07-01,172.75,175.13,171.17,174.88,13759343.0
2026-07-02,175.0,175.79,172.61,174.35,17815906.0
2026-07-03,168.79,168.79,161.6,163.09,33777663.0
2026-07-06,163.2,163.75,160.77,161.08,12253340.0
2026-07-07,161.29,162.8,160.38,161.08,13481239.0
2026-07-08,160.2,160.49,153.5,154.39,13097180.0
2026-07-09,154.74,158.1,154.45,157.26,13873876.0
2026-07-10,157.8,165.5,157.6,164.51,24598550.0
