Date,Open,High,Low,Close,Volume
2026-03-23,398.0,398.7,381.0,382.2,10454299.0
2026-03-24,391.9,394.15,382.25,388.35,6998465.0
2026-03-25,394.9,407.4,391.1,401.45,9134065.0
2026-03-27,400.0,400.9,388.0,389.3,8968617.0
2026-03-30,386.0,391.55,381.5,384.1,10212880.0
2026-04-01,397.3,404.25,389.05,401.8,6465240.0
2026-04-02,397.6,405.0,390.6,403.7,3620669.0
2026-04-06,405.0,407.65,399.8,401.0,4363829.0
2026-04-07,400.0,402.25,395.3,400.85,3214980.0
2026-04-08,412.9,424.0,411.05,421.9,6926186.0
2026-04-09,421.4,429.5,414.7,422.9,5743167.0
2026-04-10,425.8,434.0,425.05,431.6,5731496.0
2026-04-13,418.0,433.2,417.15,430.6,5357143.0
2026-04-15,437.0,451.7,436.1,445.55,7797798.0
2026-04-16,446.55,466.0,446.0,460.4,7114657.0
2026-04-17,453.3,475.2,453.3,473.9,11968336.0
2026-04-20,476.4,476.95,464.3,466.55,6027104.0
2026-04-21,466.55,487.05,466.55,485.1,7932444.0
2026-04-22,486.95,498.7,484.35,494.95,11943145.0
2026-04-23,490.0,490.85,476.4,484.25,10692659.0
2026-04-24,484.4,492.9,481.3,490.45,13173088.0
2026-04-27,494.9,521.7,479.85,518.85,36094833.0
2026-04-28,521.5,529.4,515.05,518.55,14074482.0
2026-04-29,520.9,534.7,519.45,523.1,9973200.0
2026-04-30,523.1,523.9,509.25,513.7,7127837.0
2026-05-04,513.7,521.35,505.0,506.75,5234719.0
2026-05-05,503.95,513.0,499.8,511.7,4854705.0
2026-05-06,515.0,516.55,501.7,508.95,4518907.0
2026-05-07,508.95,515.0,507.05,510.6,3542867.0
2026-05-08,511.0,514.5,506.6,508.85,1878374.0
2026-05-11,506.0,507.45,499.5,501.3,2707721.0
2026-05-12,499.0,505.65,486.6,488.35,3884745.0
2026-05-13,485.0,498.8,484.65,489.15,3933073.0
2026-05-14,491.4,506.9,489.45,505.15,4345986.0
2026-05-15,507.0,510.0,501.15,503.8,3728317.0
2026-05-18,503.8,514.7,494.3,511.5,4593884.0
2026-05-19,511.9,518.85,509.3,514.8,5130324.0
2026-05-20,507.5,516.7,506.95,514.0,5735895.0
2026-05-21,515.0,525.9,514.15,519.85,6850797.0
2026-05-22,532.0,541.4,526.6,539.45,18510994.0
2026-05-25,542.95,543.95,526.2,530.7,8578018.0
2026-05-26,529.15,535.0,526.55,531.3,4811410.0
2026-05-27,532.7,540.0,530.4,534.5,4232992.0
2026-05-29,539.0,544.4,525.45,528.0,13582024.0
2026-06-01,529.0,532.3,522.0,525.5,3454028.0
2026-06-02,518.0,538.0,515.15,537.0,8512936.0
2026-06-03,538.95,539.65,528.5,533.4,4501572.0
2026-06-04,533.0,535.8,527.15,528.4,2968198.0
2026-06-05,527.5,527.9,518.3,523.3,3217921.0
2026-06-08,518.3,531.0,511.5,522.15,5396987.0
2026-06-09,524.0,531.25,523.85,529.75,4547800.0
2026-06-10,530.0,538.6,524.35,526.25,3150329.0
2026-06-11,521.1,532.3,518.5,519.9,2704464.0
2026-06-12,526.0,530.0,517.5,522.2,2335737.0
2026-06-15,529.0,543.35,527.2,541.0,7594901.0
2026-06-16,543.35,543.35,536.1,541.05,3831572.0
2026-06-17,541.2,555.8,540.1,544.05,7532315.0
2026-06-18,547.7,551.7,529.9,531.55,8122763.0
2026-06-19,535.9,538.7,526.35,529.5,9495702.0
