Date,Open,High,Low,Close,Volume
2026-03-23,660.0,660.9,634.25,645.75,21999651.0
2026-03-24,664.0,664.0,643.55,651.6,14286858.0
2026-03-25,661.0,673.8,659.0,669.65,12926445.0
2026-03-27,655.45,666.7,648.05,649.4,17226044.0
2026-03-30,652.95,678.6,650.25,654.8,24457507.0
2026-04-01,664.0,689.5,663.15,677.2,16756679.0
2026-04-02,669.9,689.6,652.8,687.65,16016248.0
2026-04-06,687.75,708.4,686.8,690.0,13013026.0
2026-04-07,700.05,718.95,693.0,713.25,20950898.0
2026-04-08,734.0,735.0,717.3,721.4,16394216.0
2026-04-09,725.0,739.0,722.3,737.0,15515507.0
2026-04-10,740.0,746.5,731.75,745.15,15333995.0
2026-04-13,735.0,754.6,734.0,752.55,12586088.0
2026-04-15,752.0,768.0,741.1,766.05,23115401.0
2026-04-16,772.0,787.85,770.3,782.85,15151305.0
2026-04-17,782.85,791.15,772.4,787.5,9934013.0
2026-04-20,782.95,782.95,768.15,771.0,10554185.0
2026-04-21,791.7,795.0,763.15,766.8,30562626.0
2026-04-22,769.7,773.85,755.5,757.0,14257215.0
2026-04-23,758.8,758.8,733.05,735.6,17456241.0
2026-04-24,734.95,734.95,707.6,720.95,19062006.0
2026-04-27,724.25,746.6,720.55,742.5,22351684.0
2026-04-28,747.0,757.95,728.7,739.3,37978285.0
2026-04-29,745.0,780.0,732.2,773.6,54738724.0
2026-04-30,289.5,292.0,268.7,271.55,73870853.0
2026-05-04,277.0,296.0,274.95,294.65,86297119.0
2026-05-05,296.95,305.9,292.0,303.9,69612545.0
2026-05-06,310.0,318.0,308.6,316.4,75050951.0
2026-05-07,319.9,322.75,303.6,305.4,64690914.0
2026-05-08,305.65,306.4,295.9,296.45,32681575.0
2026-05-11,296.6,301.55,294.2,298.4,25738983.0
2026-05-12,298.1,309.9,298.1,305.05,47596105.0
2026-05-13,311.95,325.5,308.8,323.35,72680545.0
2026-05-14,329.0,340.65,325.1,338.9,77635934.0
2026-05-15,338.9,338.9,325.0,331.05,56392805.0
2026-05-18,323.9,329.35,320.65,327.0,21115770.0
2026-05-19,325.4,339.0,325.4,337.65,35074019.0
2026-05-20,332.55,339.45,331.45,333.75,21015658.0
2026-05-21,338.0,338.25,328.9,329.75,14507403.0
2026-05-22,331.0,333.6,327.0,329.95,14086715.0
2026-05-25,333.0,335.4,330.5,332.5,11129217.0
2026-05-26,332.5,348.5,332.15,344.9,39844071.0
2026-05-27,347.4,357.95,345.9,354.7,26959207.0
2026-05-29,359.95,360.0,350.0,352.6,32684449.0
2026-06-01,355.1,356.65,335.05,337.15,21598323.0
2026-06-02,336.45,343.5,328.2,333.55,30249461.0
2026-06-03,333.55,334.0,325.0,328.2,20194365.0
2026-06-04,328.2,330.8,325.0,327.5,13730888.0
2026-06-05,329.6,329.7,312.35,315.6,20824974.0
2026-06-08,311.0,314.8,301.65,304.25,14491919.0
2026-06-09,305.0,309.8,303.25,306.25,12416474.0
2026-06-10,306.3,306.4,296.4,299.3,13610674.0
2026-06-11,295.05,310.0,292.8,304.9,21784565.0
2026-06-12,314.0,314.0,303.7,309.65,18636477.0
2026-06-15,313.15,318.45,300.4,302.5,28394765.0
2026-06-16,302.5,304.3,295.6,299.95,21934302.0
2026-06-17,299.0,308.2,297.3,306.5,17292581.0
2026-06-18,307.0,309.0,302.75,306.0,12373677.0
2026-06-19,302.4,304.9,299.5,300.8,15040336.0
