Date,Open,High,Low,Close,Volume
2026-04-15,925.55,938.0,919.0,936.05,516172.0
2026-04-16,939.0,948.0,930.2,939.1,581117.0
2026-04-17,940.0,948.0,935.0,943.95,504613.0
2026-04-20,945.0,949.1,932.0,936.5,459049.0
2026-04-21,936.0,937.0,926.15,928.6,318304.0
2026-04-22,926.0,933.5,922.05,929.9,290532.0
2026-04-23,927.0,962.9,921.7,946.35,1693451.0
2026-04-24,948.0,951.75,922.55,927.4,701337.0
2026-04-27,929.6,953.9,922.3,939.65,1176377.0
2026-04-28,925.0,925.0,905.0,911.3,1542977.0
2026-04-29,915.0,922.0,908.65,910.85,590232.0
2026-04-30,910.9,915.4,890.4,891.9,986154.0
2026-05-04,895.0,905.0,893.15,902.35,382316.0
2026-05-05,897.3,918.0,897.0,912.25,405008.0
2026-05-06,919.1,943.9,915.0,938.8,1506636.0
2026-05-07,945.0,945.45,936.25,940.3,488635.0
2026-05-08,938.05,953.0,935.55,940.05,644125.0
2026-05-11,940.0,962.0,927.0,956.95,977515.0
2026-05-12,960.1,963.95,928.6,930.65,720954.0
2026-05-13,928.6,944.15,925.1,939.25,680562.0
2026-05-14,968.0,997.0,961.1,991.7,4595018.0
2026-05-15,999.05,1018.8,993.0,1011.7,1996110.0
2026-05-18,1010.0,1010.0,987.85,991.1,1296063.0
2026-05-19,995.0,1048.0,995.0,1018.9,5876623.0
2026-05-20,1066.15,1093.65,1038.05,1040.85,13503459.0
2026-05-21,1054.0,1054.0,1030.05,1036.45,1920511.0
2026-05-22,1041.0,1047.45,1036.8,1038.95,1296117.0
2026-05-25,1049.8,1075.0,1041.5,1072.95,2355182.0
2026-05-26,1074.0,1083.25,1066.35,1079.05,1948614.0
2026-05-27,1078.6,1088.9,1074.25,1085.8,2116567.0
2026-05-29,1096.45,1115.5,1071.2,1077.7,4588161.0
2026-06-01,1081.0,1108.9,1071.8,1091.2,2045714.0
2026-06-02,1082.0,1091.1,1061.1,1078.3,1928305.0
2026-06-03,1078.1,1081.1,1048.9,1076.6,1403453.0
2026-06-04,1070.0,1098.0,1063.1,1084.6,1016000.0
2026-06-05,1085.1,1097.0,1082.2,1089.0,919205.0
2026-06-08,1080.1,1100.0,1076.2,1087.6,830212.0
2026-06-09,1087.6,1111.0,1085.5,1105.6,1299872.0
2026-06-10,1109.5,1119.8,1095.1,1098.3,598159.0
2026-06-11,1095.0,1110.4,1091.2,1105.9,728343.0
2026-06-12,1113.2,1118.0,1101.7,1104.7,872151.0
2026-06-15,1110.0,1112.1,1086.0,1088.1,1138903.0
2026-06-16,1088.9,1091.6,1072.4,1078.7,1049320.0
2026-06-17,1069.9,1077.8,1053.8,1061.4,2497044.0
2026-06-18,1061.5,1082.5,1060.6,1074.4,1319818.0
2026-06-19,1074.4,1083.0,1065.0,1070.8,887232.0
2026-06-22,1070.5,1088.2,1064.6,1085.5,1104733.0
2026-06-23,1094.0,1124.5,1087.3,1112.2,2429505.0
2026-06-24,1120.4,1126.0,1095.9,1099.3,1490617.0
2026-06-25,1100.0,1113.3,1096.3,1101.4,1182386.0
2026-06-29,1104.7,1125.3,1099.0,1121.3,1976891.0
2026-06-30,1122.2,1128.5,1110.0,1112.6,1698514.0
2026-07-01,1112.9,1125.9,1105.5,1109.2,1005311.0
2026-07-02,1114.1,1114.8,1095.1,1099.8,586078.0
2026-07-03,1105.0,1142.9,1104.1,1140.6,1862016.0
2026-07-06,1145.0,1151.9,1131.6,1147.9,2050194.0
2026-07-07,1147.9,1168.8,1144.4,1153.0,1524274.0
2026-07-08,1146.6,1181.5,1142.2,1148.0,2481507.0
2026-07-09,1148.0,1171.3,1144.9,1159.0,986789.0
2026-07-10,1161.6,1164.9,1145.0,1150.8,824192.0
