Date,Open,High,Low,Close,Volume
14-07-2026 09:30:00,3157.40,3168.00,3155.00,3167.00,19055
14-07-2026 09:35:00,3166.50,3167.00,3162.00,3164.60,19221
14-07-2026 09:40:00,3164.30,3164.30,3156.30,3157.50,26559
14-07-2026 09:45:00,3157.40,3159.40,3153.40,3155.50,13806
14-07-2026 09:50:00,3156.40,3159.00,3155.80,3157.20,6358
14-07-2026 09:55:00,3155.50,3163.50,3155.50,3158.90,18156
14-07-2026 10:00:00,3159.00,3161.00,3155.00,3158.90,15998
14-07-2026 10:05:00,3159.40,3159.70,3152.70,3152.70,8858
14-07-2026 10:10:00,3153.50,3177.00,3153.00,3175.80,39061
14-07-2026 10:15:00,3175.00,3186.60,3171.00,3172.50,110260
14-07-2026 10:20:00,3173.00,3184.00,3173.00,3180.30,53210
14-07-2026 10:25:00,3181.70,3184.90,3172.10,3174.40,26690
14-07-2026 10:30:00,3174.50,3180.00,3173.00,3178.30,11306
14-07-2026 10:35:00,3177.20,3177.20,3172.00,3175.40,10177
14-07-2026 10:40:00,3174.70,3180.30,3174.20,3180.30,4677
14-07-2026 10:45:00,3180.20,3187.80,3178.80,3182.70,26329
14-07-2026 10:50:00,3183.20,3187.10,3181.00,3181.00,11656
14-07-2026 10:55:00,3180.00,3181.00,3177.00,3178.70,6700
14-07-2026 11:00:00,3179.80,3185.00,3176.10,3184.70,7495
14-07-2026 11:05:00,3184.50,3203.00,3184.20,3202.50,70054
14-07-2026 11:10:00,3203.00,3219.70,3199.20,3212.70,95121
14-07-2026 11:15:00,3212.90,3218.00,3204.00,3208.00,54528
14-07-2026 11:20:00,3207.90,3218.00,3203.00,3209.90,55519
14-07-2026 11:25:00,3210.80,3214.20,3205.40,3209.30,22899
14-07-2026 11:30:00,3209.00,3209.30,3186.70,3190.00,49352
14-07-2026 11:35:00,3189.20,3193.30,3184.60,3191.10,38962
14-07-2026 11:40:00,3192.00,3192.30,3186.00,3190.00,16381
14-07-2026 11:45:00,3190.10,3191.00,3186.40,3188.90,13769
14-07-2026 11:50:00,3188.80,3197.00,3187.60,3193.60,8756
14-07-2026 11:55:00,3193.00,3194.70,3188.60,3190.10,6085
14-07-2026 12:00:00,3189.40,3203.70,3187.00,3203.20,28030
14-07-2026 12:05:00,3203.30,3205.90,3198.20,3198.20,13479
14-07-2026 12:10:00,3198.90,3204.50,3197.00,3204.00,13018
14-07-2026 12:15:00,3204.20,3204.20,3197.40,3198.90,11365
14-07-2026 12:20:00,3198.00,3200.10,3187.00,3189.00,33663
14-07-2026 12:25:00,3190.00,3190.00,3182.10,3184.10,13929
14-07-2026 12:30:00,3183.70,3187.10,3182.30,3186.60,10373
14-07-2026 12:35:00,3185.80,3191.50,3184.00,3185.00,9481
14-07-2026 12:40:00,3184.30,3187.90,3184.30,3185.00,6867
14-07-2026 12:45:00,3185.20,3189.00,3184.00,3184.70,10271
14-07-2026 12:50:00,3184.90,3184.90,3179.00,3181.40,13572
14-07-2026 12:55:00,3180.60,3189.50,3180.50,3185.40,9580
14-07-2026 13:00:00,3185.20,3195.00,3183.00,3193.20,26647
14-07-2026 13:05:00,3193.50,3197.90,3192.00,3196.10,10080
14-07-2026 13:10:00,3197.30,3197.30,3190.00,3190.90,11867
14-07-2026 13:15:00,3190.00,3194.60,3190.00,3192.00,13802
14-07-2026 13:20:00,3192.20,3195.00,3190.60,3195.00,2866
14-07-2026 13:25:00,3194.80,3195.40,3190.90,3193.60,8909
14-07-2026 13:30:00,3193.70,3195.50,3189.00,3189.30,8854
14-07-2026 13:35:00,3189.70,3192.00,3187.60,3190.00,12135
14-07-2026 13:40:00,3189.20,3192.00,3187.60,3190.40,11037
14-07-2026 13:45:00,3190.60,3194.30,3190.60,3193.20,3636
14-07-2026 13:50:00,3192.40,3193.90,3190.80,3193.10,1806
14-07-2026 13:55:00,3193.00,3194.00,3190.30,3190.40,3437
14-07-2026 14:00:00,3190.30,3194.00,3190.30,3194.00,2010
14-07-2026 14:05:00,3193.90,3194.00,3190.10,3191.70,7582
14-07-2026 14:10:00,3192.00,3194.80,3187.20,3187.20,10189
14-07-2026 14:15:00,3188.10,3190.00,3178.00,3179.60,34103
14-07-2026 14:20:00,3179.00,3179.60,3171.40,3177.20,37963
14-07-2026 14:25:00,3176.40,3180.80,3174.00,3174.00,25292
14-07-2026 14:30:00,3174.70,3177.60,3172.10,3174.60,22098
14-07-2026 14:35:00,3176.10,3180.40,3172.00,3175.60,25143
14-07-2026 14:40:00,3173.90,3179.10,3173.00,3175.20,18501
14-07-2026 14:45:00,3173.70,3193.00,3172.50,3191.40,62981
14-07-2026 14:50:00,3190.50,3193.00,3183.80,3187.70,41225
14-07-2026 14:55:00,3188.60,3195.00,3183.90,3190.00,41085
14-07-2026 15:00:00,3190.90,3194.90,3190.00,3191.50,49036
14-07-2026 15:05:00,3191.70,3194.50,3186.20,3190.70,47778
14-07-2026 15:10:00,3189.60,3190.90,3185.10,3186.30,43755
14-07-2026 15:15:00,3187.40,3189.40,3184.20,3188.20,47500
14-07-2026 15:20:00,3188.40,3190.00,3186.00,3186.00,62033
14-07-2026 15:25:00,3186.60,3190.00,3177.00,3177.00,50217
