Date,Open,High,Low,Close,Volume
03-07-2026 09:30:00,1365.00,1367.40,1364.50,1367.40,122464
03-07-2026 09:35:00,1367.50,1368.40,1366.30,1367.20,141596
03-07-2026 09:40:00,1367.00,1368.50,1365.10,1365.30,55313
03-07-2026 09:45:00,1365.40,1369.00,1364.80,1367.50,85718
03-07-2026 09:50:00,1367.60,1369.60,1367.00,1369.00,77320
03-07-2026 09:55:00,1369.30,1369.30,1367.00,1368.10,47015
03-07-2026 10:00:00,1368.30,1368.70,1365.80,1366.40,12572
03-07-2026 10:05:00,1366.70,1367.20,1365.00,1365.80,12600
03-07-2026 10:10:00,1366.00,1366.00,1358.50,1359.40,53487
03-07-2026 10:15:00,1359.80,1360.80,1358.50,1359.50,22342
03-07-2026 10:20:00,1360.00,1361.50,1359.00,1359.30,30154
03-07-2026 10:25:00,1359.40,1360.80,1359.10,1359.80,11921
03-07-2026 10:30:00,1360.00,1360.40,1358.50,1358.60,27793
03-07-2026 10:35:00,1358.50,1359.90,1357.30,1359.50,21261
03-07-2026 10:40:00,1359.00,1359.70,1359.00,1359.40,12418
03-07-2026 10:45:00,1359.70,1360.00,1358.50,1359.10,41539
03-07-2026 10:50:00,1359.60,1359.80,1357.40,1358.50,15796
03-07-2026 10:55:00,1358.00,1358.50,1357.10,1357.60,13470
03-07-2026 11:00:00,1357.70,1359.20,1357.50,1358.70,11159
03-07-2026 11:05:00,1358.80,1359.60,1355.00,1355.10,62469
03-07-2026 11:10:00,1355.50,1355.50,1352.80,1353.70,253260
03-07-2026 11:15:00,1353.90,1354.50,1352.90,1354.20,21316
03-07-2026 11:20:00,1354.80,1355.20,1353.90,1354.40,34114
03-07-2026 11:25:00,1355.10,1356.60,1354.60,1355.90,19195
03-07-2026 11:30:00,1355.70,1356.40,1354.20,1354.20,16922
03-07-2026 11:35:00,1354.00,1355.50,1353.90,1355.00,15605
03-07-2026 11:40:00,1355.10,1356.80,1354.80,1356.70,15920
03-07-2026 11:45:00,1356.60,1357.60,1355.00,1355.00,23807
03-07-2026 11:50:00,1355.20,1355.80,1354.90,1355.30,12278
03-07-2026 11:55:00,1355.40,1356.20,1355.00,1356.10,16566
03-07-2026 12:00:00,1356.60,1356.60,1355.50,1356.40,13680
03-07-2026 12:05:00,1356.30,1357.00,1355.10,1356.40,31301
03-07-2026 12:10:00,1356.70,1357.90,1355.50,1357.40,27828
03-07-2026 12:15:00,1357.70,1358.00,1357.10,1357.20,14737
03-07-2026 12:20:00,1357.70,1358.00,1357.10,1357.90,14455
03-07-2026 12:25:00,1358.00,1358.70,1356.00,1356.90,28678
03-07-2026 12:30:00,1356.70,1357.40,1355.60,1357.10,17130
03-07-2026 12:35:00,1357.20,1357.60,1355.70,1357.20,20344
03-07-2026 12:40:00,1357.10,1357.40,1356.30,1357.30,18651
03-07-2026 12:45:00,1357.60,1357.80,1355.80,1356.40,22106
03-07-2026 12:50:00,1356.20,1356.60,1354.60,1354.60,23605
03-07-2026 12:55:00,1354.70,1356.60,1353.60,1355.70,31057
03-07-2026 13:00:00,1355.60,1355.90,1353.30,1353.50,29578
03-07-2026 13:05:00,1353.60,1353.70,1351.50,1352.80,46601
03-07-2026 13:10:00,1353.10,1353.60,1352.00,1353.00,23590
03-07-2026 13:15:00,1352.90,1353.40,1352.00,1353.40,20476
03-07-2026 13:20:00,1353.30,1354.00,1352.40,1353.20,23712
03-07-2026 13:25:00,1353.30,1353.90,1352.50,1352.50,17650
03-07-2026 13:30:00,1352.90,1352.90,1350.80,1351.20,23746
03-07-2026 13:35:00,1351.60,1351.70,1350.00,1350.90,58273
03-07-2026 13:40:00,1351.20,1352.50,1350.70,1351.80,43430
03-07-2026 13:45:00,1351.90,1352.40,1350.90,1352.40,23903
03-07-2026 13:50:00,1352.30,1353.00,1351.30,1351.90,33486
03-07-2026 13:55:00,1351.70,1352.10,1350.90,1351.60,25426
03-07-2026 14:00:00,1351.50,1352.60,1348.80,1349.70,40841
03-07-2026 14:05:00,1349.40,1350.00,1349.20,1349.80,30874
03-07-2026 14:10:00,1349.50,1349.80,1345.00,1345.30,55933
03-07-2026 14:15:00,1345.10,1345.60,1341.40,1341.90,55924
03-07-2026 14:20:00,1341.50,1343.00,1341.50,1342.20,30669
03-07-2026 14:25:00,1342.30,1342.50,1338.40,1339.10,46884
03-07-2026 14:30:00,1339.40,1342.60,1338.90,1341.80,52623
03-07-2026 14:35:00,1342.30,1342.70,1339.00,1340.20,37256
03-07-2026 14:40:00,1340.50,1342.90,1339.50,1342.10,56859
03-07-2026 14:45:00,1342.70,1343.00,1341.50,1342.30,47572
03-07-2026 14:50:00,1342.10,1342.30,1340.70,1341.30,83926
03-07-2026 14:55:00,1341.20,1341.80,1340.00,1340.50,46370
03-07-2026 15:00:00,1341.00,1343.30,1341.00,1341.70,88545
03-07-2026 15:05:00,1342.10,1342.60,1340.00,1340.20,83778
03-07-2026 15:10:00,1340.30,1342.40,1340.00,1341.30,124945
03-07-2026 15:15:00,1341.40,1342.50,1340.90,1341.90,104485
03-07-2026 15:20:00,1342.10,1344.00,1341.80,1343.20,96203
03-07-2026 15:25:00,1343.50,1343.90,1341.50,1342.00,142402
