Date,Open,High,Low,Close,Volume
17-07-2026 09:15:00,1833.40,1844.80,1822.00,1834.90,31094
17-07-2026 09:20:00,1835.20,1837.60,1832.70,1833.90,8223
17-07-2026 09:25:00,1834.40,1845.20,1834.40,1843.60,12990
17-07-2026 09:30:00,1844.40,1846.20,1840.50,1841.40,13350
17-07-2026 09:35:00,1841.90,1850.00,1840.60,1846.60,18692
17-07-2026 09:40:00,1846.70,1848.70,1845.00,1847.80,5709
17-07-2026 09:45:00,1848.00,1851.30,1848.00,1849.00,11166
17-07-2026 09:50:00,1848.90,1853.50,1848.00,1848.90,62778
17-07-2026 09:55:00,1848.50,1849.00,1843.70,1846.30,11902
17-07-2026 10:00:00,1846.50,1847.30,1844.20,1845.40,3551
17-07-2026 10:05:00,1845.60,1846.50,1844.70,1846.30,4450
17-07-2026 10:10:00,1846.80,1848.80,1846.00,1847.40,5614
17-07-2026 10:15:00,1847.90,1861.90,1847.40,1857.80,20159
17-07-2026 10:20:00,1859.00,1861.00,1858.50,1859.00,39163
17-07-2026 10:25:00,1858.90,1869.00,1858.20,1867.70,61715
17-07-2026 10:30:00,1868.40,1869.00,1866.70,1868.20,10582
17-07-2026 10:35:00,1869.80,1871.70,1862.20,1864.30,21570
17-07-2026 10:40:00,1864.40,1866.00,1860.40,1863.90,11592
17-07-2026 10:45:00,1863.50,1863.90,1860.30,1860.80,3628
17-07-2026 10:50:00,1861.50,1861.70,1860.10,1860.10,3161
17-07-2026 10:55:00,1860.50,1862.50,1858.90,1861.40,6549
17-07-2026 11:00:00,1862.20,1862.40,1857.20,1859.00,7688
17-07-2026 11:05:00,1859.10,1859.20,1852.20,1854.00,7158
17-07-2026 11:10:00,1854.10,1855.50,1853.40,1854.90,3649
17-07-2026 11:15:00,1855.20,1856.60,1854.60,1855.60,1391
17-07-2026 11:20:00,1856.20,1856.50,1855.00,1856.50,2431
17-07-2026 11:25:00,1856.40,1857.30,1855.10,1855.10,3270
17-07-2026 11:30:00,1855.20,1855.70,1850.00,1852.50,6769
17-07-2026 11:35:00,1853.50,1855.70,1852.60,1854.70,1185
17-07-2026 11:40:00,1855.50,1857.40,1854.50,1856.70,3415
17-07-2026 11:45:00,1856.40,1857.10,1855.00,1855.20,2060
17-07-2026 11:50:00,1856.30,1857.60,1855.30,1856.30,2922
17-07-2026 11:55:00,1856.50,1857.40,1854.00,1855.50,4919
17-07-2026 12:00:00,1855.10,1859.20,1854.00,1857.90,3059
17-07-2026 12:05:00,1858.10,1858.30,1855.00,1856.10,6261
17-07-2026 12:10:00,1856.00,1858.60,1855.60,1858.60,1898
17-07-2026 12:15:00,1857.90,1858.50,1856.60,1857.60,3117
17-07-2026 12:20:00,1857.90,1859.20,1857.30,1858.80,2515
17-07-2026 12:25:00,1858.50,1859.50,1857.40,1857.60,3145
17-07-2026 12:30:00,1858.00,1859.00,1855.20,1855.70,3261
17-07-2026 12:35:00,1855.20,1857.50,1855.00,1857.00,2376
17-07-2026 12:40:00,1857.10,1858.00,1855.00,1856.30,4312
17-07-2026 12:45:00,1857.00,1861.60,1857.00,1861.20,8034
17-07-2026 12:50:00,1861.80,1861.90,1859.70,1861.20,3321
17-07-2026 12:55:00,1861.90,1862.00,1860.40,1860.40,2287
17-07-2026 13:00:00,1860.20,1860.30,1854.90,1855.00,3519
17-07-2026 13:05:00,1855.40,1857.00,1854.70,1855.80,3048
17-07-2026 13:10:00,1856.50,1856.50,1855.00,1855.50,788
17-07-2026 13:15:00,1855.90,1855.90,1852.10,1852.20,5588
17-07-2026 13:20:00,1853.10,1854.70,1851.40,1851.40,11515
17-07-2026 13:25:00,1851.60,1853.80,1851.10,1852.00,1820
17-07-2026 13:30:00,1852.10,1853.00,1851.00,1851.10,3366
17-07-2026 13:35:00,1851.30,1852.50,1850.40,1851.40,5355
17-07-2026 13:40:00,1851.00,1851.00,1848.00,1851.00,5199
17-07-2026 13:45:00,1850.70,1851.10,1847.10,1847.80,7490
17-07-2026 13:50:00,1847.90,1849.40,1846.00,1849.10,4106
17-07-2026 13:55:00,1848.90,1852.30,1848.60,1851.30,2044
17-07-2026 14:00:00,1852.70,1852.70,1850.20,1850.70,4002
17-07-2026 14:05:00,1851.10,1851.50,1850.10,1850.40,2408
17-07-2026 14:10:00,1850.60,1854.00,1850.30,1853.00,4280
17-07-2026 14:15:00,1852.90,1865.60,1852.90,1858.00,30025
17-07-2026 14:20:00,1858.70,1859.70,1854.80,1855.20,7814
17-07-2026 14:25:00,1855.80,1858.00,1855.20,1855.20,3111
17-07-2026 14:30:00,1855.30,1857.00,1854.60,1855.00,2870
17-07-2026 14:35:00,1855.40,1856.40,1854.60,1855.90,3691
17-07-2026 14:40:00,1856.90,1858.40,1854.70,1855.90,4885
17-07-2026 14:45:00,1856.20,1856.50,1854.10,1855.80,4219
17-07-2026 14:50:00,1856.30,1857.40,1855.50,1856.60,2887
17-07-2026 14:55:00,1857.00,1858.00,1854.40,1855.10,12803
17-07-2026 15:00:00,1855.50,1859.30,1855.20,1856.70,23475
17-07-2026 15:05:00,1856.60,1856.80,1855.40,1855.60,7826
