Date,Open,High,Low,Close,Volume
03-07-2026 09:30:00,255.20,255.50,254.75,254.75,385249
03-07-2026 09:35:00,254.80,254.90,253.50,253.50,623449
03-07-2026 09:40:00,253.60,253.70,252.65,252.70,688182
03-07-2026 09:45:00,252.80,252.85,250.00,250.95,1989427
03-07-2026 09:50:00,251.00,251.90,250.80,251.25,651569
03-07-2026 09:55:00,251.15,251.30,250.10,251.25,791935
03-07-2026 10:00:00,251.20,253.25,251.15,253.15,1539707
03-07-2026 10:05:00,253.25,253.45,252.60,253.15,858849
03-07-2026 10:10:00,253.10,254.05,253.00,253.35,591839
03-07-2026 10:15:00,253.45,255.35,253.45,254.75,887806
03-07-2026 10:20:00,254.70,254.90,254.15,254.25,481255
03-07-2026 10:25:00,254.15,254.30,253.00,253.00,625755
03-07-2026 10:30:00,253.05,253.70,252.85,252.90,496341
03-07-2026 10:35:00,252.95,253.20,252.80,252.90,349160
03-07-2026 10:40:00,252.85,253.00,251.65,251.80,687075
03-07-2026 10:45:00,251.85,251.95,251.25,251.55,427390
03-07-2026 10:50:00,251.50,251.75,251.15,251.25,357717
03-07-2026 10:55:00,251.20,251.30,251.05,251.20,352826
03-07-2026 11:00:00,251.25,251.40,251.20,251.25,262307
03-07-2026 11:05:00,251.30,251.40,251.05,251.10,286399
03-07-2026 11:10:00,251.15,251.25,251.05,251.05,289869
03-07-2026 11:15:00,251.10,251.10,250.50,250.60,617971
03-07-2026 11:20:00,250.65,250.80,250.30,250.45,255706
03-07-2026 11:25:00,250.40,250.60,250.20,250.55,309591
03-07-2026 11:30:00,250.45,251.50,250.45,251.20,829909
03-07-2026 11:35:00,251.15,251.90,251.00,251.80,334078
03-07-2026 11:40:00,251.75,252.40,251.70,252.20,1044390
03-07-2026 11:45:00,252.25,253.35,252.10,253.15,711486
03-07-2026 11:50:00,253.10,253.60,252.20,252.85,693271
03-07-2026 11:55:00,252.80,253.00,251.75,251.95,426660
03-07-2026 12:00:00,252.00,252.55,251.40,251.50,444710
03-07-2026 12:05:00,251.55,251.65,251.30,251.60,220800
03-07-2026 12:10:00,251.50,251.65,251.40,251.55,159047
03-07-2026 12:15:00,251.45,252.00,251.40,251.90,289253
03-07-2026 12:20:00,251.95,252.30,251.55,251.60,296155
03-07-2026 12:25:00,251.65,251.85,251.55,251.70,135343
03-07-2026 12:30:00,251.65,251.75,251.10,251.40,589366
03-07-2026 12:35:00,251.45,251.45,251.10,251.15,175852
03-07-2026 12:40:00,251.25,251.30,251.05,251.20,179475
03-07-2026 12:45:00,251.25,251.40,251.15,251.30,206989
03-07-2026 12:50:00,251.40,251.60,251.05,251.05,263552
03-07-2026 12:55:00,251.00,251.30,250.90,251.20,231594
03-07-2026 13:00:00,251.25,251.40,250.80,250.85,221504
03-07-2026 13:05:00,250.80,251.20,250.70,250.95,197269
03-07-2026 13:10:00,251.05,251.45,250.95,251.25,174745
03-07-2026 13:15:00,251.30,251.30,250.90,251.05,198454
03-07-2026 13:20:00,251.10,251.40,251.00,251.30,207931
03-07-2026 13:25:00,251.35,251.40,251.10,251.20,424356
03-07-2026 13:30:00,251.25,251.25,250.85,250.95,251926
03-07-2026 13:35:00,251.05,251.25,250.80,251.20,225581
03-07-2026 13:40:00,251.25,251.75,251.05,251.30,214119
03-07-2026 13:45:00,251.35,251.50,251.20,251.30,191267
03-07-2026 13:50:00,251.25,251.65,251.25,251.50,218616
03-07-2026 13:55:00,251.55,251.55,251.30,251.40,159384
03-07-2026 14:00:00,251.35,251.50,251.15,251.20,162513
03-07-2026 14:05:00,251.15,251.80,251.15,251.75,238889
03-07-2026 14:10:00,251.70,252.15,251.65,251.95,379282
03-07-2026 14:15:00,252.10,252.40,251.90,252.15,872822
03-07-2026 14:20:00,252.05,252.15,251.35,251.55,328936
03-07-2026 14:25:00,251.60,251.70,251.40,251.65,244891
03-07-2026 14:30:00,251.55,251.80,251.45,251.55,318538
03-07-2026 14:35:00,251.60,251.65,251.40,251.45,290435
03-07-2026 14:40:00,251.50,251.55,251.30,251.40,336033
03-07-2026 14:45:00,251.35,251.80,251.25,251.80,424062
03-07-2026 14:50:00,251.75,252.25,251.65,251.80,439538
03-07-2026 14:55:00,251.85,252.00,251.65,251.75,502416
03-07-2026 15:00:00,251.85,252.55,251.85,252.25,853744
03-07-2026 15:05:00,252.30,252.45,251.70,251.80,1144434
03-07-2026 15:10:00,251.75,252.90,251.70,252.35,1574193
03-07-2026 15:15:00,252.50,252.60,251.90,252.15,939241
03-07-2026 15:20:00,252.20,252.35,252.00,252.15,1015167
03-07-2026 15:25:00,252.25,253.00,252.05,253.00,1118762
