Date,Open,High,Low,Close,Volume
03-07-2026 09:30:00,439.25,439.40,438.85,439.10,40057
03-07-2026 09:35:00,439.00,439.50,438.85,439.00,25240
03-07-2026 09:40:00,438.90,439.00,438.30,438.40,37541
03-07-2026 09:45:00,438.30,438.50,438.10,438.45,21332
03-07-2026 09:50:00,438.40,438.75,438.00,438.25,30094
03-07-2026 09:55:00,438.45,438.80,438.25,438.80,27784
03-07-2026 10:00:00,438.95,440.10,438.10,439.25,100636
03-07-2026 10:05:00,439.35,439.50,439.00,439.35,34109
03-07-2026 10:10:00,439.25,439.80,439.15,439.45,45296
03-07-2026 10:15:00,439.75,441.25,439.10,441.00,131107
03-07-2026 10:20:00,440.80,443.15,440.80,442.45,202086
03-07-2026 10:25:00,442.60,442.75,442.00,442.55,58720
03-07-2026 10:30:00,442.75,442.90,442.05,442.90,57071
03-07-2026 10:35:00,442.65,444.05,442.65,443.20,249559
03-07-2026 10:40:00,443.35,443.50,442.90,443.00,37931
03-07-2026 10:45:00,443.10,443.50,442.95,443.10,45299
03-07-2026 10:50:00,443.20,443.90,443.10,443.50,103110
03-07-2026 10:55:00,443.70,445.45,443.55,444.05,145007
03-07-2026 11:00:00,443.75,444.40,443.60,443.70,58918
03-07-2026 11:05:00,443.60,443.60,443.00,443.05,47072
03-07-2026 11:10:00,443.00,443.60,443.00,443.15,42003
03-07-2026 11:15:00,443.35,443.35,443.00,443.00,16191
03-07-2026 11:20:00,443.05,443.50,443.00,443.10,22650
03-07-2026 11:25:00,443.20,443.40,443.00,443.20,22259
03-07-2026 11:30:00,443.05,443.35,443.05,443.10,13424
03-07-2026 11:35:00,443.25,443.25,442.55,442.95,64115
03-07-2026 11:40:00,443.00,443.20,442.75,442.95,16949
03-07-2026 11:45:00,442.90,442.95,441.45,442.00,79882
03-07-2026 11:50:00,442.20,442.30,441.45,441.75,18648
03-07-2026 11:55:00,441.85,441.90,441.10,441.80,30479
03-07-2026 12:00:00,441.85,442.25,441.55,442.05,24905
03-07-2026 12:05:00,442.20,442.20,441.85,442.00,19321
03-07-2026 12:10:00,441.90,442.20,441.85,442.15,11840
03-07-2026 12:15:00,442.00,442.15,441.75,441.90,13225
03-07-2026 12:20:00,441.75,441.90,441.25,441.35,24510
03-07-2026 12:25:00,441.50,441.75,441.30,441.75,13049
03-07-2026 12:30:00,441.90,442.00,441.75,441.85,13333
03-07-2026 12:35:00,441.95,442.05,441.70,441.80,13060
03-07-2026 12:40:00,441.70,441.85,441.25,441.65,19615
03-07-2026 12:45:00,441.55,442.00,441.50,441.70,17698
03-07-2026 12:50:00,441.55,442.15,441.55,441.75,35710
03-07-2026 12:55:00,441.70,442.40,441.70,442.00,59180
03-07-2026 13:00:00,442.20,442.30,441.95,442.30,11573
03-07-2026 13:05:00,442.15,442.35,440.95,441.00,59910
03-07-2026 13:10:00,440.95,441.00,439.85,440.00,245003
03-07-2026 13:15:00,439.95,440.00,439.75,440.00,21163
03-07-2026 13:20:00,439.95,440.10,439.85,439.95,25727
03-07-2026 13:25:00,440.20,440.20,439.90,440.00,61577
03-07-2026 13:30:00,439.85,440.05,439.75,440.00,18927
03-07-2026 13:35:00,439.80,439.95,439.65,439.90,16526
03-07-2026 13:40:00,439.85,440.80,439.80,440.00,39306
03-07-2026 13:45:00,439.90,440.00,439.80,440.00,12747
03-07-2026 13:50:00,439.90,440.15,439.85,440.00,16546
03-07-2026 13:55:00,439.95,440.00,439.55,439.75,20350
03-07-2026 14:00:00,439.70,439.80,439.55,439.65,6997
03-07-2026 14:05:00,439.60,439.80,439.20,439.40,15415
03-07-2026 14:10:00,439.25,439.75,439.00,439.00,113237
03-07-2026 14:15:00,438.95,439.00,438.75,439.00,22000
03-07-2026 14:20:00,438.90,439.00,438.70,438.85,18350
03-07-2026 14:25:00,438.80,439.00,438.80,438.85,23237
03-07-2026 14:30:00,439.00,439.00,438.90,439.00,31981
03-07-2026 14:35:00,438.95,439.05,438.75,439.00,117611
03-07-2026 14:40:00,438.95,439.05,438.75,439.00,51413
03-07-2026 14:45:00,438.90,439.00,438.85,438.85,26098
03-07-2026 14:50:00,439.00,439.00,438.80,438.90,41944
03-07-2026 14:55:00,439.00,439.00,438.75,438.80,34759
03-07-2026 15:00:00,438.90,439.00,438.85,439.00,143991
03-07-2026 15:05:00,438.90,439.00,437.80,438.00,184496
03-07-2026 15:10:00,437.85,439.10,437.85,439.10,259158
03-07-2026 15:15:00,439.15,439.55,439.10,439.55,71013
03-07-2026 15:20:00,439.45,439.60,438.90,439.20,105219
03-07-2026 15:25:00,439.05,439.45,439.00,439.35,108167
