Date,Open,High,Low,Close,Volume
14-07-2026 09:30:00,1243.00,1245.30,1242.80,1244.30,49649
14-07-2026 09:35:00,1244.10,1246.60,1244.10,1245.90,43843
14-07-2026 09:40:00,1245.80,1246.30,1243.20,1245.90,58998
14-07-2026 09:45:00,1245.80,1246.30,1243.50,1244.00,37938
14-07-2026 09:50:00,1243.50,1244.70,1243.10,1243.90,63692
14-07-2026 09:55:00,1244.00,1246.00,1243.10,1245.10,24977
14-07-2026 10:00:00,1245.00,1245.70,1242.10,1243.70,78100
14-07-2026 10:05:00,1243.30,1244.30,1242.50,1243.50,33372
14-07-2026 10:10:00,1243.00,1244.70,1241.30,1244.50,56887
14-07-2026 10:15:00,1244.60,1245.60,1243.10,1243.20,32630
14-07-2026 10:20:00,1243.70,1243.80,1242.30,1242.80,31887
14-07-2026 10:25:00,1242.90,1244.10,1242.80,1243.70,13379
14-07-2026 10:30:00,1243.90,1246.20,1243.80,1245.80,28513
14-07-2026 10:35:00,1246.20,1246.20,1244.70,1245.70,10359
14-07-2026 10:40:00,1245.10,1246.20,1244.30,1245.20,26956
14-07-2026 10:45:00,1245.60,1247.80,1245.00,1247.70,13882
14-07-2026 10:50:00,1247.50,1247.60,1245.10,1245.20,6717
14-07-2026 10:55:00,1245.60,1246.40,1245.00,1246.10,9113
14-07-2026 11:00:00,1246.30,1246.30,1241.50,1242.10,47432
14-07-2026 11:05:00,1241.90,1242.50,1240.40,1241.30,18684
14-07-2026 11:10:00,1241.00,1243.80,1241.00,1243.20,30007
14-07-2026 11:15:00,1243.50,1246.50,1243.50,1245.20,152148
14-07-2026 11:20:00,1245.00,1245.30,1243.50,1245.00,15736
14-07-2026 11:30:00,1244.50,1245.10,1244.50,1245.00,6717
14-07-2026 11:40:00,1242.60,1242.90,1242.00,1242.20,4081
14-07-2026 11:45:00,1244.00,1244.60,1244.00,1244.10,2705
14-07-2026 11:50:00,1244.00,1245.00,1243.90,1244.10,14134
14-07-2026 11:55:00,1244.00,1244.30,1243.70,1244.00,20077
14-07-2026 12:00:00,1244.20,1244.80,1242.90,1243.50,7137
14-07-2026 12:05:00,1243.60,1244.00,1242.90,1243.00,6563
14-07-2026 12:10:00,1243.50,1245.90,1242.60,1245.10,24251
14-07-2026 12:15:00,1245.20,1245.20,1243.60,1244.30,9405
14-07-2026 12:20:00,1244.50,1244.80,1243.40,1243.90,8756
14-07-2026 12:25:00,1244.00,1245.00,1243.00,1243.60,9334
14-07-2026 12:30:00,1243.70,1244.50,1242.80,1244.00,10587
14-07-2026 12:35:00,1243.60,1244.60,1243.30,1243.80,8370
14-07-2026 12:40:00,1243.30,1243.80,1242.70,1243.10,8175
14-07-2026 12:45:00,1243.50,1243.50,1242.00,1242.70,7642
14-07-2026 12:50:00,1242.50,1243.20,1242.00,1242.60,15405
14-07-2026 12:55:00,1242.70,1243.10,1241.20,1241.20,15967
14-07-2026 13:00:00,1241.40,1243.20,1241.10,1243.00,11550
14-07-2026 13:05:00,1242.70,1243.80,1242.00,1243.00,14097
14-07-2026 13:10:00,1243.10,1245.60,1242.50,1244.40,48044
14-07-2026 13:15:00,1244.00,1245.40,1244.00,1244.50,11503
14-07-2026 13:20:00,1244.80,1245.50,1244.50,1245.30,12365
14-07-2026 13:25:00,1245.20,1245.30,1244.60,1244.60,10492
14-07-2026 13:30:00,1244.70,1245.50,1244.40,1245.40,9606
14-07-2026 13:35:00,1245.00,1245.50,1243.40,1244.00,20314
14-07-2026 13:40:00,1244.10,1244.60,1244.00,1244.40,9771
14-07-2026 13:45:00,1244.20,1244.70,1242.70,1244.00,46338
14-07-2026 13:50:00,1244.10,1244.10,1237.00,1238.40,56677
14-07-2026 13:55:00,1238.80,1239.70,1238.20,1238.50,13707
14-07-2026 14:00:00,1239.20,1241.40,1238.80,1241.40,8783
14-07-2026 14:05:00,1241.10,1241.70,1240.70,1241.60,10353
14-07-2026 14:10:00,1241.40,1242.00,1241.00,1241.80,6894
14-07-2026 14:15:00,1241.60,1242.40,1241.10,1242.10,10523
14-07-2026 14:20:00,1242.20,1243.00,1242.00,1242.80,6907
14-07-2026 14:25:00,1242.60,1244.30,1242.60,1243.20,15954
14-07-2026 14:30:00,1243.40,1245.00,1243.10,1244.90,14116
14-07-2026 14:35:00,1245.20,1245.80,1244.60,1245.40,17135
14-07-2026 14:40:00,1245.70,1245.80,1244.30,1245.00,20095
14-07-2026 14:45:00,1244.80,1245.50,1244.30,1245.40,16671
14-07-2026 14:50:00,1245.30,1246.50,1245.00,1245.80,24283
14-07-2026 14:55:00,1245.60,1246.70,1245.50,1246.20,13267
14-07-2026 15:00:00,1246.10,1248.00,1246.10,1247.60,43502
14-07-2026 15:05:00,1247.70,1248.00,1246.00,1246.40,53488
14-07-2026 15:10:00,1246.30,1246.90,1244.30,1244.40,38736
14-07-2026 15:15:00,1244.00,1245.70,1244.00,1245.10,38108
14-07-2026 15:20:00,1245.30,1245.80,1245.20,1245.40,46996
14-07-2026 15:25:00,1245.60,1246.50,1245.10,1245.80,42486
