Date,Open,High,Low,Close,Volume
14-07-2026 09:30:00,1199.10,1199.60,1191.10,1196.90,334802
14-07-2026 09:35:00,1197.30,1198.50,1195.10,1197.40,81163
14-07-2026 09:40:00,1197.00,1199.30,1194.60,1198.20,111774
14-07-2026 09:45:00,1198.40,1198.40,1192.40,1196.40,111954
14-07-2026 09:50:00,1195.90,1197.00,1194.00,1196.00,47924
14-07-2026 09:55:00,1195.80,1196.00,1190.40,1192.70,112872
14-07-2026 10:00:00,1192.80,1196.90,1190.40,1192.40,94338
14-07-2026 10:05:00,1191.70,1192.50,1188.60,1192.00,136991
14-07-2026 10:10:00,1192.10,1192.80,1190.20,1190.30,50370
14-07-2026 10:15:00,1190.50,1190.80,1185.60,1186.20,108188
14-07-2026 10:20:00,1186.40,1189.60,1186.40,1188.50,82895
14-07-2026 10:25:00,1189.00,1198.80,1187.50,1197.90,173851
14-07-2026 10:30:00,1198.00,1198.80,1193.00,1195.80,109626
14-07-2026 10:35:00,1196.10,1196.90,1192.70,1194.60,58096
14-07-2026 10:40:00,1194.50,1194.50,1183.00,1183.40,162335
14-07-2026 10:45:00,1183.50,1184.80,1180.10,1183.40,147688
14-07-2026 10:50:00,1183.50,1184.40,1181.30,1184.00,108774
14-07-2026 10:55:00,1183.80,1186.20,1183.50,1183.90,84932
14-07-2026 11:00:00,1183.70,1185.90,1181.50,1181.90,109083
14-07-2026 11:05:00,1182.00,1184.40,1180.10,1184.10,152667
14-07-2026 11:10:00,1184.50,1186.40,1183.80,1185.50,71929
14-07-2026 11:15:00,1186.00,1186.30,1184.00,1185.10,35214
14-07-2026 11:20:00,1185.30,1185.30,1182.50,1183.50,37100
14-07-2026 11:25:00,1183.70,1184.90,1183.50,1183.60,38518
14-07-2026 11:30:00,1183.90,1183.90,1181.00,1181.60,56275
14-07-2026 11:35:00,1181.90,1182.40,1181.00,1181.90,69343
14-07-2026 11:40:00,1182.10,1185.00,1182.00,1183.30,48255
14-07-2026 11:45:00,1183.50,1184.50,1181.10,1181.10,48414
14-07-2026 11:50:00,1181.30,1181.90,1178.60,1178.90,177942
14-07-2026 11:55:00,1179.00,1181.30,1177.00,1181.10,93967
14-07-2026 12:00:00,1181.00,1182.90,1180.30,1181.40,70012
14-07-2026 12:05:00,1181.00,1181.90,1179.40,1181.80,35169
14-07-2026 12:10:00,1181.90,1182.00,1180.00,1180.20,39212
14-07-2026 12:15:00,1180.60,1180.60,1178.40,1179.90,59869
14-07-2026 12:20:00,1180.00,1182.40,1179.50,1182.30,36592
14-07-2026 12:25:00,1182.20,1182.30,1180.00,1180.20,34147
14-07-2026 12:30:00,1180.90,1181.90,1180.10,1181.80,26792
14-07-2026 12:35:00,1181.70,1181.80,1178.00,1178.70,52588
14-07-2026 12:40:00,1179.20,1180.50,1178.30,1179.20,42419
14-07-2026 12:45:00,1178.60,1179.80,1178.10,1179.00,28182
14-07-2026 12:50:00,1179.20,1179.70,1177.80,1179.20,38885
14-07-2026 12:55:00,1179.40,1179.90,1178.00,1178.00,39773
14-07-2026 13:00:00,1178.10,1178.10,1175.50,1176.30,118053
14-07-2026 13:05:00,1176.00,1176.50,1175.00,1175.00,95983
14-07-2026 13:10:00,1175.40,1177.40,1173.70,1176.80,80516
14-07-2026 13:15:00,1176.30,1177.30,1174.60,1175.90,42991
14-07-2026 13:20:00,1175.50,1176.90,1175.00,1176.40,35303
14-07-2026 13:25:00,1176.00,1176.00,1174.00,1176.00,53537
14-07-2026 13:30:00,1175.90,1176.10,1173.80,1174.80,38039
14-07-2026 13:35:00,1174.60,1175.00,1172.80,1173.80,59778
14-07-2026 13:40:00,1173.70,1174.80,1170.50,1171.30,74638
14-07-2026 13:45:00,1171.90,1173.20,1170.70,1170.70,63886
14-07-2026 13:50:00,1171.00,1171.00,1167.40,1170.00,141761
14-07-2026 13:55:00,1169.90,1171.60,1167.90,1170.50,76629
14-07-2026 14:00:00,1171.00,1171.30,1169.10,1170.60,45908
14-07-2026 14:05:00,1171.10,1171.10,1168.80,1169.80,41290
14-07-2026 14:10:00,1170.00,1173.50,1170.00,1172.50,48769
14-07-2026 14:15:00,1172.90,1173.30,1170.70,1171.00,51588
14-07-2026 14:20:00,1171.50,1172.30,1170.60,1171.60,39487
14-07-2026 14:25:00,1172.20,1172.40,1170.00,1170.10,41470
14-07-2026 14:30:00,1170.30,1170.90,1168.50,1170.40,67369
14-07-2026 14:35:00,1170.70,1171.10,1169.60,1170.10,47627
14-07-2026 14:40:00,1170.50,1170.50,1168.30,1168.90,45771
14-07-2026 14:45:00,1168.80,1169.00,1164.10,1167.40,153342
14-07-2026 14:50:00,1167.10,1169.80,1165.70,1168.40,88006
14-07-2026 14:55:00,1168.60,1168.80,1166.50,1167.30,71107
14-07-2026 15:00:00,1167.20,1169.20,1166.10,1168.00,157939
14-07-2026 15:05:00,1167.80,1169.50,1167.80,1168.60,180006
14-07-2026 15:10:00,1168.50,1168.60,1165.30,1165.40,225579
14-07-2026 15:15:00,1166.10,1167.80,1164.40,1166.00,347713
14-07-2026 15:20:00,1166.10,1168.10,1165.00,1165.20,308577
14-07-2026 15:25:00,1165.40,1165.70,1164.00,1164.60,233174
