Date,Open,High,Low,Close,Volume
17-07-2026 09:15:00,2105.30,2117.20,2092.10,2115.40,29233
17-07-2026 09:20:00,2114.40,2118.30,2112.00,2117.50,20476
17-07-2026 09:25:00,2117.10,2126.00,2117.10,2126.00,18110
17-07-2026 09:30:00,2125.20,2125.50,2121.00,2124.20,11751
17-07-2026 09:35:00,2124.70,2130.00,2123.60,2128.40,22124
17-07-2026 09:40:00,2128.20,2131.00,2127.50,2128.70,13503
17-07-2026 09:45:00,2129.20,2130.90,2128.20,2129.20,6894
17-07-2026 09:50:00,2128.30,2129.90,2127.20,2128.80,9075
17-07-2026 09:55:00,2128.20,2135.00,2128.20,2133.40,25442
17-07-2026 10:00:00,2134.20,2134.50,2127.30,2127.90,24269
17-07-2026 10:05:00,2128.00,2133.80,2127.90,2130.90,13062
17-07-2026 10:10:00,2130.60,2135.40,2130.20,2134.70,29139
17-07-2026 10:15:00,2134.90,2137.70,2132.50,2136.10,33469
17-07-2026 10:20:00,2136.80,2137.00,2134.30,2134.90,5276
17-07-2026 10:25:00,2135.50,2135.80,2134.30,2134.70,5055
17-07-2026 10:30:00,2135.10,2135.50,2133.00,2135.00,22416
17-07-2026 10:35:00,2134.30,2135.80,2132.30,2134.70,28212
17-07-2026 10:40:00,2135.50,2136.30,2134.10,2135.70,9207
17-07-2026 10:45:00,2135.30,2135.60,2128.20,2130.80,42193
17-07-2026 10:50:00,2130.50,2137.00,2129.60,2137.00,10570
17-07-2026 10:55:00,2136.10,2138.80,2134.80,2135.10,18564
17-07-2026 11:00:00,2135.30,2137.20,2134.00,2135.00,6030
17-07-2026 11:05:00,2135.20,2135.90,2131.30,2132.50,4944
17-07-2026 11:10:00,2133.20,2134.00,2126.30,2127.80,13289
17-07-2026 11:15:00,2127.70,2128.70,2125.40,2126.20,18908
17-07-2026 11:20:00,2126.70,2126.90,2125.40,2125.90,2788
17-07-2026 11:25:00,2126.70,2126.70,2124.70,2125.40,4220
17-07-2026 11:30:00,2125.60,2127.50,2124.20,2126.60,2875
17-07-2026 11:35:00,2127.00,2129.50,2126.00,2129.30,5335
17-07-2026 11:40:00,2129.20,2130.00,2127.80,2128.70,2526
17-07-2026 11:45:00,2128.20,2131.00,2127.80,2130.60,3640
17-07-2026 11:50:00,2130.50,2132.00,2130.30,2131.60,4457
17-07-2026 11:55:00,2131.20,2131.60,2127.00,2127.00,5409
17-07-2026 12:00:00,2127.80,2127.90,2126.20,2127.00,3817
17-07-2026 12:05:00,2126.90,2127.30,2126.10,2126.70,4565
17-07-2026 12:10:00,2126.10,2126.90,2124.40,2124.40,7134
17-07-2026 12:15:00,2124.90,2127.00,2124.00,2127.00,20182
17-07-2026 12:20:00,2126.80,2131.50,2126.60,2130.30,16163
17-07-2026 12:25:00,2131.20,2131.50,2130.00,2130.00,2479
17-07-2026 12:30:00,2130.80,2133.00,2130.00,2132.60,19979
17-07-2026 12:35:00,2132.40,2139.00,2131.50,2139.00,13797
17-07-2026 12:40:00,2138.60,2151.20,2136.80,2149.00,66385
17-07-2026 12:45:00,2148.70,2154.50,2148.40,2150.80,32395
17-07-2026 12:50:00,2151.20,2151.80,2149.50,2150.20,12255
17-07-2026 12:55:00,2150.10,2150.90,2140.30,2141.30,20157
17-07-2026 13:00:00,2141.80,2143.00,2141.10,2141.60,8033
17-07-2026 13:05:00,2142.10,2142.10,2139.30,2140.40,4425
17-07-2026 13:10:00,2139.80,2141.00,2139.00,2139.90,6443
17-07-2026 13:15:00,2139.40,2141.00,2138.10,2140.80,6675
17-07-2026 13:20:00,2141.00,2144.80,2138.90,2138.90,18089
17-07-2026 13:25:00,2139.00,2139.90,2134.80,2136.90,21826
17-07-2026 13:30:00,2137.00,2137.00,2135.00,2135.80,2740
17-07-2026 13:35:00,2136.10,2138.10,2134.60,2137.30,9412
17-07-2026 13:40:00,2137.00,2138.80,2135.10,2138.80,23260
17-07-2026 13:45:00,2138.70,2139.10,2136.50,2137.60,1907
17-07-2026 13:50:00,2136.80,2138.90,2135.00,2138.50,4170
17-07-2026 13:55:00,2138.40,2139.50,2136.10,2139.00,6026
17-07-2026 14:00:00,2138.90,2139.00,2136.40,2138.20,6976
17-07-2026 14:05:00,2138.30,2144.90,2138.30,2143.80,14082
17-07-2026 14:10:00,2143.60,2145.90,2143.00,2144.30,7898
17-07-2026 14:15:00,2144.60,2148.80,2144.50,2145.00,17068
17-07-2026 14:20:00,2145.80,2146.50,2142.20,2142.90,6018
17-07-2026 14:25:00,2143.20,2144.80,2142.30,2142.40,7648
17-07-2026 14:30:00,2143.50,2144.70,2140.20,2141.10,6484
17-07-2026 14:35:00,2141.00,2144.60,2140.80,2143.90,6089
17-07-2026 14:40:00,2144.30,2144.50,2142.00,2144.50,6670
17-07-2026 14:45:00,2143.90,2147.40,2143.90,2147.40,9992
17-07-2026 14:50:00,2146.80,2147.60,2143.80,2145.60,11988
17-07-2026 14:55:00,2145.50,2146.50,2144.00,2144.30,7800
17-07-2026 15:00:00,2143.60,2147.80,2143.20,2146.70,16740
17-07-2026 15:05:00,2146.60,2147.30,2146.20,2146.30,15887
