Date,Open,High,Low,Close,Volume
14-07-2026 09:30:00,5112.50,5114.00,5103.00,5107.00,23272
14-07-2026 09:35:00,5105.50,5121.50,5102.50,5112.50,21785
14-07-2026 09:40:00,5112.00,5112.50,5095.00,5109.00,93330
14-07-2026 09:45:00,5110.00,5111.00,5080.50,5086.00,37702
14-07-2026 09:50:00,5087.00,5104.00,5086.00,5100.00,22175
14-07-2026 09:55:00,5100.50,5104.00,5100.00,5100.00,10442
14-07-2026 10:00:00,5100.50,5105.00,5100.00,5103.00,47449
14-07-2026 10:05:00,5102.00,5102.50,5095.50,5097.00,17163
14-07-2026 10:10:00,5096.00,5101.50,5096.00,5099.00,5886
14-07-2026 10:15:00,5099.50,5100.00,5086.50,5090.00,37868
14-07-2026 10:20:00,5088.50,5094.00,5086.50,5090.50,8990
14-07-2026 10:25:00,5090.00,5094.00,5087.00,5091.50,10407
14-07-2026 10:30:00,5091.00,5100.50,5089.00,5097.00,6644
14-07-2026 10:35:00,5100.00,5103.50,5091.00,5103.00,9750
14-07-2026 10:40:00,5106.00,5107.00,5098.00,5100.00,6393
14-07-2026 10:45:00,5101.00,5103.00,5098.00,5102.00,5341
14-07-2026 10:50:00,5103.00,5103.00,5099.00,5100.00,4877
14-07-2026 10:55:00,5100.50,5101.50,5085.00,5088.00,9322
14-07-2026 11:00:00,5087.00,5097.50,5087.00,5091.00,4486
14-07-2026 11:05:00,5093.00,5099.00,5091.00,5098.00,4274
14-07-2026 11:10:00,5099.00,5100.00,5095.00,5095.00,4624
14-07-2026 11:15:00,5096.50,5098.00,5095.00,5095.00,2642
14-07-2026 11:20:00,5098.00,5098.00,5090.50,5092.00,5471
14-07-2026 11:30:00,5094.50,5095.00,5088.00,5088.00,2074
14-07-2026 11:35:00,5091.50,5093.50,5088.00,5088.00,3492
14-07-2026 11:40:00,5088.50,5089.50,5080.00,5086.00,8698
14-07-2026 11:45:00,5084.00,5085.50,5081.50,5082.50,4915
14-07-2026 11:50:00,5081.50,5089.00,5081.00,5089.00,6161
14-07-2026 11:55:00,5090.00,5090.00,5085.00,5086.00,4281
14-07-2026 12:00:00,5086.50,5095.00,5082.00,5093.00,44763
14-07-2026 12:05:00,5094.50,5095.00,5085.50,5086.50,5779
14-07-2026 12:10:00,5087.00,5097.50,5086.00,5090.50,24000
14-07-2026 12:15:00,5090.00,5098.50,5086.50,5098.00,9764
14-07-2026 12:20:00,5096.50,5100.00,5093.00,5096.00,9906
14-07-2026 12:25:00,5094.00,5098.00,5087.50,5087.50,34520
14-07-2026 12:30:00,5090.50,5095.50,5087.00,5093.00,6158
14-07-2026 12:35:00,5093.50,5097.50,5090.00,5093.50,6584
14-07-2026 12:40:00,5092.50,5093.50,5088.00,5091.00,7237
14-07-2026 12:45:00,5090.00,5092.50,5088.00,5090.00,9064
14-07-2026 12:50:00,5090.50,5091.00,5081.00,5085.50,12502
14-07-2026 12:55:00,5085.00,5089.00,5082.00,5084.00,4510
14-07-2026 13:00:00,5084.50,5091.50,5083.50,5090.00,6106
14-07-2026 13:05:00,5091.00,5096.50,5090.00,5092.00,39527
14-07-2026 13:10:00,5094.00,5094.00,5089.00,5090.50,8867
14-07-2026 13:15:00,5089.00,5093.50,5089.00,5091.00,6920
14-07-2026 13:20:00,5090.50,5094.00,5089.00,5090.00,4214
14-07-2026 13:25:00,5091.50,5091.50,5080.00,5083.00,22707
14-07-2026 13:30:00,5083.50,5083.50,5071.50,5075.00,52510
14-07-2026 13:35:00,5077.00,5079.50,5073.00,5078.00,17125
14-07-2026 13:40:00,5075.50,5080.00,5075.00,5079.00,27732
14-07-2026 13:45:00,5079.50,5088.00,5076.00,5077.00,24685
14-07-2026 13:50:00,5075.00,5080.00,5075.00,5076.00,6591
14-07-2026 13:55:00,5075.50,5086.50,5075.50,5082.50,7484
14-07-2026 14:00:00,5081.00,5091.00,5081.00,5090.50,12410
14-07-2026 14:05:00,5090.00,5092.00,5085.00,5085.50,11234
14-07-2026 14:10:00,5085.00,5090.00,5085.00,5088.50,10644
14-07-2026 14:15:00,5089.50,5092.50,5085.00,5089.50,12517
14-07-2026 14:20:00,5091.00,5098.50,5087.50,5093.00,15778
14-07-2026 14:25:00,5092.00,5103.00,5090.00,5100.50,54027
14-07-2026 14:30:00,5100.00,5108.00,5100.00,5105.50,60454
14-07-2026 14:35:00,5105.00,5110.00,5101.00,5107.50,16518
14-07-2026 14:40:00,5105.00,5108.00,5101.50,5102.00,15526
14-07-2026 14:45:00,5102.50,5105.00,5100.00,5100.50,17959
14-07-2026 14:50:00,5101.00,5103.00,5100.00,5101.00,24936
14-07-2026 14:55:00,5102.00,5109.00,5100.00,5106.50,23958
14-07-2026 15:00:00,5107.00,5112.00,5104.00,5104.00,26432
14-07-2026 15:05:00,5106.50,5113.50,5105.50,5112.00,41423
14-07-2026 15:10:00,5111.50,5114.50,5102.50,5105.50,25514
14-07-2026 15:15:00,5103.50,5109.00,5103.50,5106.00,31513
14-07-2026 15:20:00,5105.50,5114.50,5102.00,5110.50,48658
14-07-2026 15:25:00,5110.00,5118.00,5107.00,5110.00,31216
