Date,Open,High,Low,Close,Volume
03-07-2026 09:30:00,943.00,946.00,943.00,945.75,11986
03-07-2026 09:35:00,945.45,948.00,945.00,947.90,29923
03-07-2026 09:40:00,947.85,955.40,946.70,954.35,108001
03-07-2026 09:45:00,954.30,958.65,954.30,956.00,98254
03-07-2026 09:50:00,956.55,957.55,955.55,956.00,48580
03-07-2026 09:55:00,955.20,956.70,953.55,954.05,24197
03-07-2026 10:00:00,954.90,954.90,952.90,953.15,31341
03-07-2026 10:05:00,953.50,954.25,953.30,954.00,18944
03-07-2026 10:10:00,953.65,954.45,950.35,950.50,18659
03-07-2026 10:15:00,950.25,950.25,945.90,948.60,80174
03-07-2026 10:20:00,948.10,949.25,947.80,948.15,7482
03-07-2026 10:25:00,948.50,952.80,948.10,949.00,19112
03-07-2026 10:30:00,949.05,949.30,947.20,948.40,12362
03-07-2026 10:35:00,947.75,955.80,947.70,955.10,46947
03-07-2026 10:40:00,955.00,955.70,953.20,953.20,42149
03-07-2026 10:45:00,953.65,953.65,951.90,953.00,12719
03-07-2026 10:50:00,953.10,953.70,950.60,951.00,11818
03-07-2026 10:55:00,950.75,951.80,950.40,950.40,13552
03-07-2026 11:00:00,950.80,951.50,950.00,950.10,11771
03-07-2026 11:05:00,950.65,951.50,949.60,949.75,46506
03-07-2026 11:10:00,950.25,951.10,949.55,949.80,10018
03-07-2026 11:15:00,949.75,950.00,945.15,945.95,22935
03-07-2026 11:20:00,945.40,950.45,945.05,947.15,48214
03-07-2026 11:25:00,946.60,947.50,946.25,947.00,7280
03-07-2026 11:30:00,947.35,950.00,946.50,948.60,19506
03-07-2026 11:35:00,949.35,952.00,947.70,950.30,36463
03-07-2026 11:40:00,950.25,956.50,950.25,953.20,51711
03-07-2026 11:45:00,953.65,962.50,953.00,960.85,141779
03-07-2026 11:50:00,960.75,961.50,956.50,956.50,51563
03-07-2026 11:55:00,956.30,957.60,954.90,955.45,27735
03-07-2026 12:00:00,955.90,956.00,954.00,954.20,20414
03-07-2026 12:05:00,954.50,954.85,949.60,949.90,25540
03-07-2026 12:10:00,949.65,950.20,947.20,948.00,19881
03-07-2026 12:15:00,947.90,951.75,947.80,950.45,15633
03-07-2026 12:20:00,950.35,950.90,947.60,948.10,15422
03-07-2026 12:25:00,947.85,948.35,946.75,948.00,16085
03-07-2026 12:30:00,948.30,948.95,947.70,948.05,16596
03-07-2026 12:35:00,948.60,949.25,947.10,948.40,32469
03-07-2026 12:40:00,948.20,948.80,947.40,947.60,10160
03-07-2026 12:45:00,947.55,949.40,947.35,948.95,18363
03-07-2026 12:50:00,948.85,950.50,948.10,949.90,24031
03-07-2026 12:55:00,950.30,951.50,947.30,951.10,28907
03-07-2026 13:00:00,950.80,952.80,950.80,951.50,16717
03-07-2026 13:05:00,951.80,951.95,949.80,951.35,7050
03-07-2026 13:10:00,951.05,956.60,951.05,955.50,30714
03-07-2026 13:15:00,955.45,956.90,954.20,956.55,19513
03-07-2026 13:20:00,957.30,958.80,955.80,957.45,22481
03-07-2026 13:25:00,957.80,960.40,957.10,957.85,47121
03-07-2026 13:30:00,957.75,960.30,955.50,958.50,44972
03-07-2026 13:35:00,958.35,958.90,957.75,958.55,11002
03-07-2026 13:40:00,958.60,961.50,958.50,960.35,27426
03-07-2026 13:45:00,960.30,961.10,959.40,959.60,29006
03-07-2026 13:50:00,959.65,961.90,958.30,959.45,65303
03-07-2026 13:55:00,959.35,960.30,958.75,959.60,19733
03-07-2026 14:00:00,959.65,963.50,959.65,961.10,88004
03-07-2026 14:05:00,961.05,962.50,959.90,960.80,40922
03-07-2026 14:10:00,960.85,964.75,960.80,963.85,102166
03-07-2026 14:15:00,963.55,967.35,963.50,965.70,98565
03-07-2026 14:20:00,966.00,968.85,964.10,967.35,66809
03-07-2026 14:25:00,967.15,971.35,966.45,969.85,129805
03-07-2026 14:30:00,969.55,972.00,969.35,970.80,92919
03-07-2026 14:35:00,970.75,971.10,968.30,971.00,68598
03-07-2026 14:40:00,970.60,972.90,970.30,972.90,54340
03-07-2026 14:45:00,972.55,972.90,971.00,972.05,56902
03-07-2026 14:50:00,972.55,973.80,971.60,972.80,63215
03-07-2026 14:55:00,972.25,973.30,969.10,969.60,79746
03-07-2026 15:00:00,969.40,973.15,969.20,971.45,169412
03-07-2026 15:05:00,971.95,977.00,971.85,972.90,293970
03-07-2026 15:10:00,972.85,977.50,972.85,976.55,111136
03-07-2026 15:15:00,976.10,978.00,975.90,976.70,83932
03-07-2026 15:20:00,976.95,978.40,974.45,975.45,255922
03-07-2026 15:25:00,975.50,976.85,972.15,976.85,205315
