Date,Open,High,Low,Close,Volume
14-07-2026 09:30:00,1106.30,1106.70,1101.40,1101.80,434258
14-07-2026 09:35:00,1102.30,1102.60,1098.00,1101.50,388496
14-07-2026 09:40:00,1101.40,1101.50,1098.50,1098.70,204737
14-07-2026 09:45:00,1099.10,1100.80,1097.10,1100.80,209938
14-07-2026 09:50:00,1100.70,1100.70,1098.10,1098.30,110181
14-07-2026 09:55:00,1098.60,1098.70,1095.10,1095.90,197359
14-07-2026 10:00:00,1096.40,1097.30,1094.00,1094.60,203492
14-07-2026 10:05:00,1094.90,1096.20,1093.80,1096.20,128106
14-07-2026 10:10:00,1096.00,1097.00,1095.20,1095.40,122329
14-07-2026 10:15:00,1095.20,1095.70,1091.70,1093.20,156783
14-07-2026 10:20:00,1093.40,1095.00,1093.20,1094.10,107847
14-07-2026 10:25:00,1094.20,1103.50,1093.20,1102.90,787406
14-07-2026 10:30:00,1103.20,1112.40,1101.00,1106.60,1846127
14-07-2026 10:35:00,1106.50,1107.80,1103.50,1104.80,155323
14-07-2026 10:40:00,1104.70,1105.00,1100.20,1100.20,134400
14-07-2026 10:45:00,1100.50,1101.00,1096.50,1099.20,165387
14-07-2026 10:50:00,1099.00,1100.00,1096.50,1099.00,141451
14-07-2026 10:55:00,1098.70,1101.10,1098.60,1100.30,115575
14-07-2026 11:00:00,1100.00,1102.00,1099.30,1099.50,100627
14-07-2026 11:05:00,1099.60,1102.40,1099.40,1102.20,91428
14-07-2026 11:10:00,1102.40,1103.70,1100.40,1101.20,168412
14-07-2026 11:15:00,1101.90,1102.80,1100.20,1102.40,140740
14-07-2026 11:20:00,1102.30,1102.40,1100.30,1101.40,83347
14-07-2026 11:25:00,1101.30,1101.80,1100.30,1101.70,71874
14-07-2026 11:30:00,1101.60,1101.70,1100.00,1100.10,66124
14-07-2026 11:35:00,1100.00,1100.70,1098.30,1099.70,82864
14-07-2026 11:40:00,1100.00,1100.60,1097.90,1098.90,136199
14-07-2026 11:45:00,1098.80,1099.80,1097.90,1098.10,77732
14-07-2026 11:50:00,1098.00,1099.50,1097.70,1098.00,64099
14-07-2026 11:55:00,1097.70,1098.90,1096.60,1098.00,216718
14-07-2026 12:00:00,1098.10,1098.10,1096.10,1096.30,69882
14-07-2026 12:05:00,1096.50,1096.50,1093.80,1094.50,108921
14-07-2026 12:10:00,1094.60,1094.90,1093.40,1093.70,98731
14-07-2026 12:15:00,1093.60,1095.40,1093.20,1094.90,91745
14-07-2026 12:20:00,1095.00,1096.50,1094.40,1095.90,97655
14-07-2026 12:25:00,1095.80,1096.00,1094.60,1095.60,67317
14-07-2026 12:30:00,1095.50,1096.50,1093.60,1094.30,119968
14-07-2026 12:35:00,1094.20,1094.80,1091.10,1092.00,229395
14-07-2026 12:40:00,1092.70,1094.50,1091.90,1092.70,87767
14-07-2026 12:45:00,1092.80,1093.40,1092.00,1093.40,74947
14-07-2026 12:50:00,1093.30,1095.00,1092.50,1094.30,77742
14-07-2026 12:55:00,1094.20,1095.70,1093.50,1093.60,78639
14-07-2026 13:00:00,1093.70,1094.50,1092.30,1093.60,116298
14-07-2026 13:05:00,1093.80,1094.00,1092.00,1092.00,86713
14-07-2026 13:10:00,1092.10,1093.10,1091.20,1091.30,95530
14-07-2026 13:15:00,1091.20,1092.80,1091.00,1092.50,112161
14-07-2026 13:20:00,1092.90,1092.90,1091.50,1091.70,76584
14-07-2026 13:25:00,1091.60,1092.60,1090.00,1092.20,122915
14-07-2026 13:30:00,1092.40,1092.60,1091.00,1092.50,115148
14-07-2026 13:35:00,1092.60,1094.10,1092.00,1092.60,58245
14-07-2026 13:40:00,1093.00,1094.40,1092.40,1093.30,75044
14-07-2026 13:45:00,1093.50,1094.90,1093.30,1094.60,98842
14-07-2026 13:50:00,1094.80,1094.90,1092.40,1094.30,221462
14-07-2026 13:55:00,1094.70,1096.30,1094.00,1095.20,97430
14-07-2026 14:00:00,1095.10,1095.50,1093.30,1094.30,88509
14-07-2026 14:05:00,1094.10,1095.00,1093.10,1095.00,100553
14-07-2026 14:10:00,1094.50,1097.60,1094.40,1097.00,147567
14-07-2026 14:15:00,1096.90,1097.60,1095.40,1096.10,448167
14-07-2026 14:20:00,1096.20,1097.80,1095.80,1096.30,232676
14-07-2026 14:25:00,1096.60,1097.50,1095.00,1095.20,94891
14-07-2026 14:30:00,1095.10,1096.90,1094.50,1096.90,98697
14-07-2026 14:35:00,1096.80,1097.40,1095.80,1097.00,124908
14-07-2026 14:40:00,1097.10,1097.50,1094.30,1094.60,113140
14-07-2026 14:45:00,1095.00,1095.20,1092.70,1094.20,147783
14-07-2026 14:50:00,1094.30,1094.90,1093.20,1093.70,155057
14-07-2026 14:55:00,1093.90,1094.90,1092.50,1093.00,185267
14-07-2026 15:00:00,1093.30,1095.60,1093.10,1093.90,321440
14-07-2026 15:05:00,1093.80,1095.00,1092.00,1092.00,367464
14-07-2026 15:10:00,1092.40,1093.20,1091.50,1092.00,248082
14-07-2026 15:15:00,1092.10,1092.40,1090.30,1092.20,290563
14-07-2026 15:20:00,1092.30,1092.60,1091.50,1092.40,233130
14-07-2026 15:25:00,1092.50,1093.20,1091.30,1092.10,224699
