Date,Open,High,Low,Close,Volume
14-07-2026 09:30:00,1245.50,1251.50,1245.20,1250.70,26364
14-07-2026 09:35:00,1250.50,1254.80,1243.40,1244.00,28880
14-07-2026 09:40:00,1243.80,1246.80,1242.50,1246.50,16249
14-07-2026 09:45:00,1246.60,1246.60,1242.70,1243.00,13157
14-07-2026 09:50:00,1243.30,1243.70,1241.70,1242.20,7498
14-07-2026 09:55:00,1242.10,1243.00,1240.30,1240.80,10699
14-07-2026 10:00:00,1240.60,1245.00,1240.10,1244.80,5377
14-07-2026 10:05:00,1244.90,1246.70,1243.60,1245.80,3997
14-07-2026 10:10:00,1245.90,1248.30,1245.50,1247.70,8327
14-07-2026 10:15:00,1247.80,1248.60,1245.00,1245.00,7499
14-07-2026 10:20:00,1245.30,1248.20,1244.80,1246.90,8981
14-07-2026 10:25:00,1247.30,1249.40,1247.30,1249.00,5641
14-07-2026 10:30:00,1249.10,1250.70,1248.00,1250.50,8997
14-07-2026 10:35:00,1250.20,1250.50,1248.90,1249.70,6280
14-07-2026 10:40:00,1250.30,1250.30,1246.50,1247.60,10786
14-07-2026 10:45:00,1247.50,1248.50,1245.70,1246.40,8657
14-07-2026 10:50:00,1246.50,1250.40,1246.10,1249.90,6592
14-07-2026 10:55:00,1249.60,1251.50,1248.60,1250.40,15601
14-07-2026 11:00:00,1250.70,1252.00,1250.10,1250.70,7439
14-07-2026 11:05:00,1250.60,1251.70,1248.10,1248.10,7835
14-07-2026 11:10:00,1248.50,1251.40,1248.10,1250.80,4242
14-07-2026 11:15:00,1251.30,1251.90,1249.00,1249.20,5962
14-07-2026 11:20:00,1249.80,1250.10,1248.50,1249.20,5950
14-07-2026 11:25:00,1249.90,1251.00,1248.50,1250.00,6886
14-07-2026 11:30:00,1249.60,1250.00,1247.70,1248.10,6138
14-07-2026 11:35:00,1248.00,1249.30,1247.50,1247.80,13030
14-07-2026 11:40:00,1248.40,1248.50,1247.20,1247.90,4045
14-07-2026 11:45:00,1248.00,1249.80,1247.40,1249.40,5374
14-07-2026 11:50:00,1250.50,1250.70,1249.40,1250.00,4213
14-07-2026 11:55:00,1249.80,1250.00,1247.00,1247.30,7991
14-07-2026 12:00:00,1247.70,1249.70,1245.40,1249.00,21679
14-07-2026 12:05:00,1249.10,1249.70,1247.40,1248.00,6502
14-07-2026 12:10:00,1247.90,1248.30,1246.50,1247.50,5130
14-07-2026 12:15:00,1247.70,1247.70,1243.80,1244.30,12474
14-07-2026 12:20:00,1245.00,1245.20,1240.20,1241.00,58639
14-07-2026 12:25:00,1241.40,1242.90,1241.10,1242.60,10090
14-07-2026 12:30:00,1242.40,1243.50,1242.10,1243.00,6291
14-07-2026 12:35:00,1243.30,1244.40,1243.10,1243.60,4089
14-07-2026 12:40:00,1243.50,1243.80,1242.60,1243.20,3233
14-07-2026 12:45:00,1242.60,1243.90,1242.30,1242.60,3088
14-07-2026 12:50:00,1242.70,1242.70,1240.80,1241.60,5455
14-07-2026 12:55:00,1241.40,1244.00,1241.00,1241.70,6861
14-07-2026 13:00:00,1242.30,1243.30,1241.20,1242.90,4873
14-07-2026 13:05:00,1243.10,1244.30,1242.50,1244.20,6246
14-07-2026 13:10:00,1243.60,1244.80,1243.20,1244.40,4564
14-07-2026 13:15:00,1243.90,1246.20,1243.70,1246.20,5656
14-07-2026 13:20:00,1245.90,1247.00,1245.10,1245.60,7313
14-07-2026 13:25:00,1245.50,1246.00,1244.50,1245.30,6685
14-07-2026 13:30:00,1244.80,1245.50,1244.20,1244.80,2754
14-07-2026 13:35:00,1244.60,1245.30,1242.70,1244.40,5443
14-07-2026 13:40:00,1244.20,1244.50,1242.80,1244.50,6549
14-07-2026 13:45:00,1244.40,1246.30,1243.80,1245.80,7665
14-07-2026 13:50:00,1245.50,1246.40,1245.20,1245.90,4079
14-07-2026 13:55:00,1245.70,1246.90,1245.60,1246.60,6543
14-07-2026 14:00:00,1246.10,1246.30,1243.70,1244.00,36927
14-07-2026 14:05:00,1243.60,1244.60,1241.60,1243.90,55632
14-07-2026 14:10:00,1244.10,1245.70,1243.70,1244.60,7439
14-07-2026 14:15:00,1245.00,1246.00,1244.20,1245.60,8008
14-07-2026 14:20:00,1245.80,1246.50,1241.80,1242.00,22975
14-07-2026 14:25:00,1241.90,1244.70,1241.80,1244.70,32122
14-07-2026 14:30:00,1244.40,1245.40,1243.70,1244.40,14140
14-07-2026 14:35:00,1244.70,1245.90,1244.40,1245.30,9244
14-07-2026 14:40:00,1245.60,1245.90,1243.90,1244.80,11462
14-07-2026 14:45:00,1244.30,1245.20,1243.00,1243.50,5850
14-07-2026 14:50:00,1243.90,1245.20,1242.90,1244.80,6461
14-07-2026 14:55:00,1244.70,1245.60,1243.50,1244.40,5512
14-07-2026 15:00:00,1244.10,1249.00,1244.10,1248.70,46217
14-07-2026 15:05:00,1248.90,1249.60,1247.30,1248.00,46347
14-07-2026 15:10:00,1247.80,1248.80,1247.40,1248.80,24868
14-07-2026 15:15:00,1248.40,1249.20,1248.30,1248.60,32022
14-07-2026 15:20:00,1248.80,1249.40,1248.00,1248.60,34387
14-07-2026 15:25:00,1248.50,1250.00,1243.90,1244.10,75192
