Date,Open,High,Low,Close,Volume
03-07-2026 09:30:00,399.75,400.20,399.45,399.75,169992
03-07-2026 09:35:00,399.70,400.35,399.65,399.70,194413
03-07-2026 09:40:00,399.75,400.00,399.35,399.40,140501
03-07-2026 09:45:00,399.50,399.60,398.40,398.55,149118
03-07-2026 09:50:00,398.50,398.70,398.25,398.50,138917
03-07-2026 09:55:00,398.40,398.70,398.00,398.20,128836
03-07-2026 10:00:00,398.50,398.50,398.00,398.00,145363
03-07-2026 10:05:00,398.05,398.25,397.30,398.05,120741
03-07-2026 10:10:00,397.95,398.15,397.50,397.75,146273
03-07-2026 10:15:00,397.70,398.00,397.35,397.70,105996
03-07-2026 10:20:00,397.90,397.95,397.55,397.55,72243
03-07-2026 10:25:00,397.50,398.55,397.50,398.25,151267
03-07-2026 10:30:00,398.20,398.35,397.85,397.90,95132
03-07-2026 10:35:00,397.70,397.90,397.25,397.30,226981
03-07-2026 10:40:00,397.20,397.70,397.20,397.50,167727
03-07-2026 10:45:00,397.40,397.55,396.85,397.25,209000
03-07-2026 10:50:00,397.10,397.30,396.55,397.00,193980
03-07-2026 10:55:00,397.10,397.10,396.80,397.00,109167
03-07-2026 11:00:00,396.90,397.40,396.90,397.00,112114
03-07-2026 11:05:00,397.05,397.20,396.80,396.95,84154
03-07-2026 11:10:00,396.80,396.90,396.70,396.80,117788
03-07-2026 11:15:00,396.85,396.90,396.60,396.80,133422
03-07-2026 11:20:00,396.75,396.85,396.50,396.80,127373
03-07-2026 11:25:00,396.70,397.10,396.65,396.95,136784
03-07-2026 11:30:00,396.80,397.35,396.70,397.15,63118
03-07-2026 11:35:00,397.10,397.30,396.90,397.00,84436
03-07-2026 11:40:00,396.95,397.15,396.85,397.00,216307
03-07-2026 11:45:00,396.95,397.50,396.90,397.05,249671
03-07-2026 11:50:00,397.15,397.45,397.10,397.20,222991
03-07-2026 11:55:00,397.35,398.05,397.10,397.50,592022
03-07-2026 12:00:00,397.55,397.60,397.10,397.15,101784
03-07-2026 12:05:00,397.10,397.25,396.80,396.90,218316
03-07-2026 12:10:00,396.80,397.40,396.75,397.10,197772
03-07-2026 12:15:00,397.00,397.20,396.90,397.10,71362
03-07-2026 12:20:00,397.00,397.20,396.85,397.05,58573
03-07-2026 12:25:00,397.00,397.35,396.80,397.05,77815
03-07-2026 12:30:00,397.10,397.70,396.90,397.45,538761
03-07-2026 12:35:00,397.35,397.50,397.10,397.25,113607
03-07-2026 12:40:00,397.30,397.40,396.85,397.20,104269
03-07-2026 12:45:00,397.05,397.25,396.85,397.10,118939
03-07-2026 12:50:00,397.00,397.30,396.70,396.85,237811
03-07-2026 12:55:00,396.80,396.85,396.65,396.80,310760
03-07-2026 13:00:00,396.75,396.90,396.05,396.40,410715
03-07-2026 13:05:00,396.30,396.95,396.25,396.65,85970
03-07-2026 13:10:00,396.70,396.90,396.60,396.80,66215
03-07-2026 13:15:00,396.65,396.85,396.40,396.75,111595
03-07-2026 13:20:00,396.65,396.80,396.50,396.80,145652
03-07-2026 13:25:00,396.75,397.05,396.65,396.85,296672
03-07-2026 13:30:00,396.80,396.95,396.70,396.95,137356
03-07-2026 13:35:00,396.90,396.95,396.65,396.90,172214
03-07-2026 13:40:00,396.80,397.00,396.70,396.75,173880
03-07-2026 13:45:00,396.90,396.95,396.50,396.80,153897
03-07-2026 13:50:00,396.70,396.70,396.05,396.30,92295
03-07-2026 13:55:00,396.10,396.30,395.50,395.55,217453
03-07-2026 14:00:00,395.70,396.10,395.50,395.85,197436
03-07-2026 14:05:00,395.80,395.95,395.65,395.75,93220
03-07-2026 14:10:00,395.65,396.00,395.60,395.65,80760
03-07-2026 14:15:00,395.75,395.75,395.05,395.25,174324
03-07-2026 14:20:00,395.05,395.25,394.55,395.15,219576
03-07-2026 14:25:00,395.10,395.80,395.00,395.65,158079
03-07-2026 14:30:00,395.60,396.00,395.50,396.00,140500
03-07-2026 14:35:00,395.85,396.60,395.50,396.00,592328
03-07-2026 14:40:00,396.15,396.50,395.50,395.60,753119
03-07-2026 14:45:00,395.70,396.45,395.45,396.45,151126
03-07-2026 14:50:00,396.25,396.65,395.75,395.85,159359
03-07-2026 14:55:00,395.95,395.95,395.50,395.80,140377
03-07-2026 15:00:00,395.85,397.00,395.80,396.50,320498
03-07-2026 15:05:00,396.45,396.80,396.00,396.65,195541
03-07-2026 15:10:00,396.80,397.00,396.70,397.00,181867
03-07-2026 15:15:00,396.85,397.00,396.85,396.95,259724
03-07-2026 15:20:00,396.90,397.00,396.70,397.00,329710
03-07-2026 15:25:00,396.90,397.05,396.55,396.80,223911
