Date,Open,High,Low,Close,Volume
14-07-2026 09:30:00,3880.70,3883.90,3876.90,3882.70,35896
14-07-2026 09:35:00,3882.30,3883.40,3875.00,3875.60,38199
14-07-2026 09:40:00,3875.00,3877.00,3872.00,3874.80,40658
14-07-2026 09:45:00,3876.00,3876.50,3868.30,3871.10,44801
14-07-2026 09:50:00,3871.20,3871.60,3868.10,3869.70,16956
14-07-2026 09:55:00,3869.60,3877.10,3869.20,3876.00,40407
14-07-2026 10:00:00,3876.10,3877.00,3873.00,3875.90,38846
14-07-2026 10:05:00,3875.60,3876.00,3871.10,3874.10,20721
14-07-2026 10:10:00,3874.20,3875.70,3872.10,3873.80,17464
14-07-2026 10:15:00,3873.30,3874.50,3867.00,3869.70,21020
14-07-2026 10:20:00,3869.80,3870.80,3867.20,3867.80,21717
14-07-2026 10:25:00,3867.30,3869.50,3867.00,3869.00,11685
14-07-2026 10:30:00,3868.90,3870.20,3868.20,3869.20,39039
14-07-2026 10:35:00,3869.10,3869.10,3862.20,3866.40,29981
14-07-2026 10:40:00,3865.60,3867.30,3861.50,3866.80,18763
14-07-2026 10:45:00,3867.00,3869.60,3866.00,3869.60,12543
14-07-2026 10:50:00,3870.00,3870.80,3866.00,3867.70,18713
14-07-2026 10:55:00,3867.90,3871.40,3867.60,3869.90,48540
14-07-2026 11:00:00,3867.00,3870.00,3865.10,3868.00,51975
14-07-2026 11:05:00,3868.60,3870.00,3867.60,3869.10,16262
14-07-2026 11:10:00,3869.70,3870.40,3868.00,3869.00,23267
14-07-2026 11:15:00,3870.00,3870.00,3863.50,3867.10,22533
14-07-2026 11:20:00,3867.30,3869.10,3865.00,3868.70,13033
14-07-2026 11:25:00,3868.90,3869.90,3865.00,3867.60,9752
14-07-2026 11:30:00,3866.90,3867.90,3865.00,3866.00,8320
14-07-2026 11:35:00,3865.90,3867.10,3858.10,3863.80,37790
14-07-2026 11:40:00,3865.00,3866.10,3860.40,3862.00,21332
14-07-2026 11:45:00,3861.90,3863.00,3858.90,3860.30,18949
14-07-2026 11:50:00,3860.40,3862.00,3859.60,3860.00,16977
14-07-2026 11:55:00,3860.50,3862.00,3858.20,3860.90,42293
14-07-2026 12:00:00,3860.80,3862.00,3858.90,3859.30,16460
14-07-2026 12:05:00,3859.90,3860.50,3856.00,3860.00,43768
14-07-2026 12:10:00,3859.90,3860.00,3856.40,3858.00,26105
14-07-2026 12:15:00,3858.10,3859.90,3856.00,3859.70,14251
14-07-2026 12:20:00,3859.90,3859.90,3855.10,3858.20,32744
14-07-2026 12:25:00,3859.00,3859.90,3855.60,3858.30,10434
14-07-2026 12:30:00,3857.60,3860.00,3857.20,3860.00,13659
14-07-2026 12:35:00,3859.90,3860.00,3855.50,3857.40,26097
14-07-2026 12:40:00,3857.80,3859.90,3855.60,3859.50,12224
14-07-2026 12:45:00,3859.60,3860.00,3857.40,3858.00,13586
14-07-2026 12:50:00,3858.10,3859.20,3856.00,3857.70,6004
14-07-2026 12:55:00,3857.30,3859.20,3855.60,3857.30,10315
14-07-2026 13:00:00,3857.40,3860.00,3856.00,3860.00,21282
14-07-2026 13:05:00,3858.10,3858.10,3853.70,3854.70,37588
14-07-2026 13:10:00,3855.00,3856.40,3853.00,3855.00,38022
14-07-2026 13:15:00,3854.00,3856.10,3849.00,3850.00,80270
14-07-2026 13:20:00,3851.00,3851.00,3845.60,3848.60,78912
14-07-2026 13:25:00,3848.70,3850.00,3847.50,3850.00,38578
14-07-2026 13:30:00,3849.90,3850.00,3844.70,3847.40,30917
14-07-2026 13:35:00,3847.60,3849.40,3846.00,3847.30,47923
14-07-2026 13:40:00,3847.40,3849.10,3846.10,3848.50,19301
14-07-2026 13:45:00,3848.30,3850.00,3847.70,3850.00,18809
14-07-2026 13:50:00,3849.90,3850.00,3848.50,3849.80,24705
14-07-2026 13:55:00,3849.90,3850.00,3847.50,3849.40,22499
14-07-2026 14:00:00,3849.30,3849.60,3848.00,3848.80,8875
14-07-2026 14:05:00,3848.90,3849.60,3847.50,3849.30,16961
14-07-2026 14:10:00,3849.50,3850.00,3849.00,3849.40,18490
14-07-2026 14:15:00,3849.60,3850.00,3849.00,3850.00,16819
14-07-2026 14:20:00,3849.90,3850.00,3849.00,3849.10,14500
14-07-2026 14:25:00,3849.40,3850.00,3845.50,3848.50,24752
14-07-2026 14:30:00,3848.60,3849.70,3846.80,3848.70,13049
14-07-2026 14:35:00,3848.60,3850.00,3847.30,3849.30,24032
14-07-2026 14:40:00,3849.40,3850.00,3848.10,3849.90,29090
14-07-2026 14:45:00,3849.80,3850.00,3848.90,3849.80,32306
14-07-2026 14:50:00,3849.50,3850.00,3848.00,3848.90,20438
14-07-2026 14:55:00,3848.70,3849.90,3845.00,3849.70,40941
14-07-2026 15:00:00,3849.20,3850.00,3847.60,3849.70,94900
14-07-2026 15:05:00,3849.90,3850.00,3846.20,3848.40,92638
14-07-2026 15:10:00,3848.20,3849.80,3846.10,3849.20,53388
14-07-2026 15:15:00,3849.30,3850.00,3849.00,3849.90,82876
14-07-2026 15:20:00,3850.00,3850.00,3846.00,3846.00,51453
14-07-2026 15:25:00,3845.90,3847.80,3843.00,3845.70,54199
