Date,Open,High,Low,Close,Volume
17-07-2026 09:15:00,1300.60,1310.50,1296.10,1309.00,570026
17-07-2026 09:20:00,1309.30,1311.60,1308.60,1310.00,273483
17-07-2026 09:25:00,1310.30,1311.50,1309.00,1311.00,173614
17-07-2026 09:30:00,1310.90,1311.60,1307.00,1307.30,151902
17-07-2026 09:35:00,1307.10,1313.50,1307.10,1312.60,358747
17-07-2026 09:40:00,1312.50,1318.50,1312.40,1317.50,941426
17-07-2026 09:45:00,1317.80,1323.10,1316.50,1321.40,752877
17-07-2026 09:50:00,1321.70,1322.70,1320.30,1322.00,451198
17-07-2026 09:55:00,1322.40,1323.70,1321.70,1322.60,513551
17-07-2026 10:00:00,1322.80,1323.00,1320.50,1320.80,303170
17-07-2026 10:05:00,1321.00,1321.00,1319.00,1319.30,303291
17-07-2026 10:10:00,1319.20,1320.00,1318.70,1319.50,169831
17-07-2026 10:15:00,1319.60,1322.30,1319.50,1322.00,179724
17-07-2026 10:20:00,1322.10,1322.30,1320.00,1321.10,157456
17-07-2026 10:25:00,1321.30,1321.80,1319.60,1320.90,118933
17-07-2026 10:30:00,1321.10,1322.50,1320.00,1321.00,135524
17-07-2026 10:35:00,1320.40,1321.00,1319.90,1320.10,52882
17-07-2026 10:40:00,1320.70,1321.00,1320.00,1320.90,89449
17-07-2026 10:45:00,1320.80,1321.30,1320.00,1320.70,132971
17-07-2026 10:50:00,1320.20,1321.60,1320.00,1321.30,92230
17-07-2026 10:55:00,1321.00,1321.40,1320.30,1320.50,58853
17-07-2026 11:00:00,1320.90,1321.10,1320.00,1320.50,59680
17-07-2026 11:05:00,1320.70,1321.00,1319.80,1320.20,110740
17-07-2026 11:10:00,1320.40,1320.50,1318.10,1319.50,155865
17-07-2026 11:15:00,1319.30,1322.00,1319.30,1321.90,167843
17-07-2026 11:20:00,1321.80,1322.00,1320.80,1321.20,79566
17-07-2026 11:25:00,1321.30,1322.80,1321.00,1322.00,138747
17-07-2026 11:30:00,1321.10,1323.50,1321.00,1321.80,243787
17-07-2026 11:35:00,1321.60,1322.70,1320.70,1321.30,69525
17-07-2026 11:40:00,1320.70,1321.20,1320.50,1320.70,45305
17-07-2026 11:45:00,1320.90,1322.00,1320.60,1320.90,102845
17-07-2026 11:50:00,1321.00,1321.20,1320.50,1320.60,46490
17-07-2026 11:55:00,1321.00,1321.00,1320.10,1320.20,60699
17-07-2026 12:00:00,1320.30,1321.30,1320.20,1321.20,89592
17-07-2026 12:05:00,1320.60,1321.00,1320.00,1321.00,77956
17-07-2026 12:10:00,1320.60,1321.00,1320.00,1320.00,59203
17-07-2026 12:15:00,1320.50,1321.00,1319.70,1320.50,200110
17-07-2026 12:20:00,1321.00,1321.00,1320.00,1320.60,93907
17-07-2026 12:25:00,1320.30,1321.20,1320.10,1321.10,118147
17-07-2026 12:30:00,1321.20,1321.70,1320.40,1321.00,180411
17-07-2026 12:35:00,1321.40,1321.60,1320.00,1320.90,148487
17-07-2026 12:40:00,1321.00,1321.10,1320.40,1320.90,65992
17-07-2026 12:45:00,1321.00,1321.90,1320.50,1321.20,80496
17-07-2026 12:50:00,1321.30,1321.40,1320.00,1321.10,117038
17-07-2026 12:55:00,1321.00,1321.50,1320.30,1320.90,84066
17-07-2026 13:00:00,1320.80,1321.00,1320.10,1320.50,53827
17-07-2026 13:05:00,1320.40,1321.00,1320.30,1320.70,67340
17-07-2026 13:10:00,1320.60,1321.10,1320.10,1321.00,114891
17-07-2026 13:15:00,1320.20,1321.00,1320.10,1320.50,153062
17-07-2026 13:20:00,1320.40,1321.00,1320.20,1320.30,95132
17-07-2026 13:25:00,1320.20,1321.00,1319.50,1320.40,185396
17-07-2026 13:30:00,1320.70,1321.50,1320.10,1321.10,101254
17-07-2026 13:35:00,1321.00,1324.50,1320.70,1322.70,380093
17-07-2026 13:40:00,1322.60,1323.00,1320.10,1320.80,226371
17-07-2026 13:45:00,1320.90,1321.40,1319.70,1320.00,147596
17-07-2026 13:50:00,1319.90,1320.00,1317.30,1319.20,206490
17-07-2026 13:55:00,1319.10,1320.10,1316.50,1317.20,236404
17-07-2026 14:00:00,1317.30,1318.60,1317.00,1318.20,105872
17-07-2026 14:05:00,1318.10,1320.60,1318.00,1319.60,186164
17-07-2026 14:10:00,1319.70,1320.60,1319.10,1320.30,104866
17-07-2026 14:15:00,1320.40,1323.00,1319.50,1322.00,464463
17-07-2026 14:20:00,1322.10,1324.00,1322.00,1323.60,393736
17-07-2026 14:25:00,1323.70,1326.90,1322.70,1323.70,684939
17-07-2026 14:30:00,1323.90,1325.60,1323.60,1325.20,234623
17-07-2026 14:35:00,1325.00,1325.70,1321.40,1321.60,305413
17-07-2026 14:40:00,1321.50,1323.90,1321.20,1323.50,199896
17-07-2026 14:45:00,1323.70,1324.90,1323.00,1323.70,214335
17-07-2026 14:50:00,1323.60,1325.80,1323.30,1323.60,254913
17-07-2026 14:55:00,1323.80,1324.00,1320.60,1321.90,387249
17-07-2026 15:00:00,1321.70,1323.20,1321.20,1322.30,296137
17-07-2026 15:05:00,1322.70,1325.90,1322.30,1325.60,193636
