Date,Open,High,Low,Close,Volume
03-07-2026 09:30:00,1048.80,1049.50,1048.20,1049.20,75808
03-07-2026 09:35:00,1049.10,1049.10,1045.50,1046.70,142856
03-07-2026 09:40:00,1046.30,1046.30,1042.50,1042.60,255786
03-07-2026 09:45:00,1042.70,1043.50,1041.10,1042.50,261742
03-07-2026 09:50:00,1042.60,1044.10,1040.00,1040.80,236994
03-07-2026 09:55:00,1040.70,1043.70,1038.60,1043.30,131477
03-07-2026 10:00:00,1043.20,1044.50,1043.20,1043.50,93303
03-07-2026 10:05:00,1043.90,1045.00,1042.70,1044.90,145700
03-07-2026 10:10:00,1045.00,1047.70,1044.80,1046.90,146128
03-07-2026 10:15:00,1046.30,1050.00,1046.30,1048.60,171711
03-07-2026 10:20:00,1048.40,1051.70,1048.00,1050.40,202969
03-07-2026 10:25:00,1050.20,1050.80,1050.00,1050.40,81326
03-07-2026 10:30:00,1050.50,1050.90,1049.60,1050.10,67931
03-07-2026 10:35:00,1050.00,1051.40,1049.60,1051.20,134787
03-07-2026 10:40:00,1051.10,1051.30,1048.50,1049.00,87682
03-07-2026 10:45:00,1048.90,1050.30,1048.90,1050.30,50306
03-07-2026 10:50:00,1050.10,1050.30,1049.10,1049.10,35984
03-07-2026 10:55:00,1048.80,1048.80,1047.00,1047.30,243348
03-07-2026 11:00:00,1046.90,1048.00,1046.80,1047.50,213520
03-07-2026 11:05:00,1047.40,1047.50,1045.50,1045.80,144795
03-07-2026 11:10:00,1046.30,1046.60,1044.70,1045.30,279553
03-07-2026 11:15:00,1045.20,1046.50,1044.50,1044.70,150264
03-07-2026 11:20:00,1044.30,1045.80,1044.30,1045.50,62822
03-07-2026 11:25:00,1045.60,1046.60,1045.20,1046.40,48193
03-07-2026 11:30:00,1046.70,1047.00,1044.50,1045.60,104753
03-07-2026 11:35:00,1045.50,1045.80,1044.40,1045.50,68511
03-07-2026 11:40:00,1045.40,1045.80,1044.90,1045.00,28014
03-07-2026 11:45:00,1045.10,1046.00,1044.90,1045.00,108907
03-07-2026 11:50:00,1044.90,1045.70,1044.60,1045.20,108494
03-07-2026 11:55:00,1045.40,1045.80,1044.80,1045.70,281848
03-07-2026 12:00:00,1045.80,1046.00,1045.00,1045.40,91539
03-07-2026 12:05:00,1045.30,1046.90,1045.10,1045.10,61508
03-07-2026 12:10:00,1045.00,1045.00,1042.40,1043.80,119706
03-07-2026 12:15:00,1043.60,1044.40,1043.20,1044.10,70489
03-07-2026 12:20:00,1044.00,1044.00,1042.90,1042.90,69695
03-07-2026 12:25:00,1043.00,1044.20,1042.90,1043.60,76593
03-07-2026 12:30:00,1043.50,1044.00,1042.80,1043.10,66968
03-07-2026 12:35:00,1043.20,1043.40,1042.90,1043.30,42052
03-07-2026 12:40:00,1043.20,1043.30,1042.50,1042.60,250680
03-07-2026 12:45:00,1042.90,1043.60,1040.40,1041.20,364204
03-07-2026 12:50:00,1041.00,1041.80,1040.60,1040.90,84648
03-07-2026 12:55:00,1040.80,1041.10,1040.10,1040.10,66398
03-07-2026 13:00:00,1040.20,1040.60,1037.00,1037.40,265332
03-07-2026 13:05:00,1037.20,1038.80,1036.10,1037.60,214352
03-07-2026 13:10:00,1037.50,1038.90,1037.30,1038.50,81143
03-07-2026 13:15:00,1038.30,1038.30,1036.50,1037.50,118599
03-07-2026 13:20:00,1037.20,1038.40,1037.00,1038.10,76591
03-07-2026 13:25:00,1038.00,1038.50,1037.00,1037.20,73160
03-07-2026 13:30:00,1037.10,1037.60,1035.50,1035.70,168323
03-07-2026 13:35:00,1035.90,1036.00,1034.50,1034.70,217565
03-07-2026 13:40:00,1034.60,1035.80,1034.50,1035.00,75978
03-07-2026 13:45:00,1035.10,1035.70,1034.50,1035.70,93362
03-07-2026 13:50:00,1035.60,1036.80,1035.30,1036.00,95113
03-07-2026 13:55:00,1035.80,1036.00,1034.80,1034.90,120668
03-07-2026 14:00:00,1034.80,1035.80,1034.50,1034.90,55786
03-07-2026 14:05:00,1035.00,1036.70,1035.00,1035.90,61645
03-07-2026 14:10:00,1036.00,1038.10,1035.60,1037.50,109361
03-07-2026 14:15:00,1037.40,1037.80,1036.60,1037.20,87126
03-07-2026 14:20:00,1037.10,1037.30,1036.00,1037.30,82698
03-07-2026 14:25:00,1037.20,1037.50,1036.20,1037.50,69190
03-07-2026 14:30:00,1037.30,1038.70,1037.20,1038.40,78076
03-07-2026 14:35:00,1038.10,1038.90,1037.50,1037.90,91155
03-07-2026 14:40:00,1038.00,1038.20,1037.50,1037.90,60049
03-07-2026 14:45:00,1038.00,1039.70,1037.50,1039.50,149408
03-07-2026 14:50:00,1039.70,1039.90,1037.50,1039.00,163176
03-07-2026 14:55:00,1038.90,1039.30,1038.40,1038.40,95163
03-07-2026 15:00:00,1038.80,1039.90,1038.80,1039.60,252822
03-07-2026 15:05:00,1039.70,1040.30,1039.50,1039.80,359020
03-07-2026 15:10:00,1039.60,1040.00,1039.50,1040.00,160024
03-07-2026 15:15:00,1039.90,1040.00,1038.50,1038.70,208192
03-07-2026 15:20:00,1038.60,1041.10,1038.60,1040.80,347221
03-07-2026 15:25:00,1040.90,1041.40,1040.50,1040.90,235067
