Date,Open,High,Low,Close,Volume
17-07-2026 09:15:00,1023.50,1028.60,1022.00,1025.10,221475
17-07-2026 09:20:00,1025.40,1027.50,1024.10,1024.60,45526
17-07-2026 09:25:00,1024.80,1030.30,1024.40,1029.30,57757
17-07-2026 09:30:00,1029.50,1029.90,1027.20,1029.00,37194
17-07-2026 09:35:00,1029.40,1030.00,1027.50,1028.00,36393
17-07-2026 09:40:00,1027.60,1030.00,1027.20,1028.60,22375
17-07-2026 09:45:00,1028.90,1031.60,1028.60,1030.60,44289
17-07-2026 09:50:00,1030.70,1032.50,1030.20,1030.50,26759
17-07-2026 09:55:00,1030.60,1030.60,1027.20,1028.10,33140
17-07-2026 10:00:00,1028.40,1029.00,1026.10,1026.40,23985
17-07-2026 10:05:00,1026.60,1026.70,1024.50,1026.20,41304
17-07-2026 10:10:00,1026.40,1027.30,1026.00,1026.40,21012
17-07-2026 10:15:00,1026.50,1031.90,1026.10,1030.20,45773
17-07-2026 10:20:00,1030.40,1030.90,1030.00,1030.00,18402
17-07-2026 10:25:00,1030.30,1036.30,1030.00,1035.90,76760
17-07-2026 10:30:00,1035.50,1036.30,1034.30,1035.80,33468
17-07-2026 10:35:00,1036.00,1036.30,1032.10,1032.30,25810
17-07-2026 10:40:00,1032.70,1033.40,1030.50,1030.50,22399
17-07-2026 10:45:00,1030.80,1031.20,1028.40,1028.70,36953
17-07-2026 10:50:00,1028.40,1029.90,1028.00,1028.60,20751
17-07-2026 10:55:00,1028.50,1031.10,1028.00,1029.20,23756
17-07-2026 11:00:00,1029.50,1029.90,1028.00,1028.30,15373
17-07-2026 11:05:00,1028.10,1029.00,1026.10,1027.10,23289
17-07-2026 11:10:00,1027.20,1027.40,1026.10,1026.60,20802
17-07-2026 11:15:00,1028.50,1028.50,1025.10,1025.60,25577
17-07-2026 11:20:00,1025.30,1027.40,1025.20,1026.50,17619
17-07-2026 11:25:00,1026.60,1027.70,1025.10,1026.60,22123
17-07-2026 11:30:00,1026.70,1026.70,1025.00,1025.60,14112
17-07-2026 11:35:00,1025.70,1026.80,1025.00,1026.80,12865
17-07-2026 11:40:00,1026.50,1026.70,1025.20,1026.50,16227
17-07-2026 11:45:00,1026.30,1026.90,1025.60,1026.30,11241
17-07-2026 11:50:00,1026.50,1031.00,1026.10,1030.00,40067
17-07-2026 11:55:00,1030.30,1031.00,1028.90,1030.50,20112
17-07-2026 12:00:00,1030.40,1030.60,1029.00,1029.60,24381
17-07-2026 12:05:00,1029.10,1029.70,1027.20,1028.90,137688
17-07-2026 12:10:00,1029.00,1030.00,1026.70,1028.20,177617
17-07-2026 12:15:00,1028.60,1029.80,1027.60,1029.00,195826
17-07-2026 12:20:00,1029.20,1029.70,1027.00,1029.30,65111
17-07-2026 12:25:00,1029.50,1030.70,1029.10,1029.10,26264
17-07-2026 12:30:00,1029.20,1030.30,1029.00,1029.50,17819
17-07-2026 12:35:00,1029.40,1030.20,1028.30,1028.60,18324
17-07-2026 12:40:00,1028.70,1030.60,1028.50,1029.00,35153
17-07-2026 12:45:00,1029.50,1031.00,1029.30,1030.10,22478
17-07-2026 12:50:00,1030.40,1030.40,1029.20,1029.50,19104
17-07-2026 12:55:00,1029.40,1029.90,1029.00,1029.40,16842
17-07-2026 13:00:00,1029.50,1029.90,1027.80,1028.10,19541
17-07-2026 13:05:00,1028.20,1028.70,1027.60,1028.50,17552
17-07-2026 13:10:00,1028.40,1028.80,1028.10,1028.60,15944
17-07-2026 13:15:00,1028.50,1028.50,1027.00,1027.70,20786
17-07-2026 13:20:00,1027.50,1028.40,1027.30,1027.60,17188
17-07-2026 13:25:00,1027.70,1028.20,1027.10,1027.80,18615
17-07-2026 13:30:00,1027.90,1028.40,1027.50,1028.30,17384
17-07-2026 13:35:00,1028.20,1029.00,1027.60,1028.00,17815
17-07-2026 13:40:00,1028.10,1028.10,1027.10,1027.80,24665
17-07-2026 13:45:00,1028.00,1028.30,1026.70,1027.10,23911
17-07-2026 13:50:00,1027.00,1027.00,1025.20,1026.20,35014
17-07-2026 13:55:00,1026.40,1028.80,1026.40,1028.80,17066
17-07-2026 14:00:00,1028.70,1028.90,1027.40,1028.70,20559
17-07-2026 14:05:00,1028.80,1028.90,1027.70,1028.10,16622
17-07-2026 14:10:00,1028.50,1030.00,1028.10,1029.70,21911
17-07-2026 14:15:00,1030.00,1037.00,1029.80,1033.60,83526
17-07-2026 14:20:00,1033.90,1034.00,1031.50,1031.80,22414
17-07-2026 14:25:00,1031.90,1033.60,1031.10,1031.10,23020
17-07-2026 14:30:00,1031.20,1033.00,1031.20,1032.10,22102
17-07-2026 14:35:00,1032.00,1032.90,1031.20,1032.90,22887
17-07-2026 14:40:00,1033.00,1033.90,1032.10,1033.80,22379
17-07-2026 14:45:00,1033.90,1034.90,1032.80,1034.90,39459
17-07-2026 14:50:00,1035.00,1035.80,1033.70,1035.40,52588
17-07-2026 14:55:00,1035.60,1036.00,1035.10,1035.30,34217
17-07-2026 15:00:00,1036.00,1038.60,1036.00,1037.60,111612
17-07-2026 15:05:00,1037.50,1037.90,1036.70,1036.90,81010
