Date,Open,High,Low,Close,Volume
14-07-2026 09:30:00,2225.60,2225.60,2207.00,2208.30,346853
14-07-2026 09:35:00,2207.90,2208.50,2202.80,2205.50,218910
14-07-2026 09:40:00,2206.00,2206.20,2201.10,2201.30,139759
14-07-2026 09:45:00,2201.60,2205.00,2193.70,2204.80,221880
14-07-2026 09:50:00,2204.90,2206.30,2200.00,2200.20,94320
14-07-2026 09:55:00,2200.00,2204.00,2198.00,2199.60,68270
14-07-2026 10:00:00,2199.40,2200.80,2193.10,2193.40,86901
14-07-2026 10:05:00,2193.90,2199.70,2193.30,2198.10,79147
14-07-2026 10:10:00,2198.00,2199.10,2192.40,2192.90,89319
14-07-2026 10:15:00,2192.80,2196.00,2187.70,2190.70,106060
14-07-2026 10:20:00,2190.80,2194.50,2190.60,2193.90,52708
14-07-2026 10:25:00,2193.40,2211.20,2190.00,2210.00,321020
14-07-2026 10:30:00,2210.60,2214.00,2203.40,2205.90,548993
14-07-2026 10:35:00,2205.20,2207.00,2201.50,2205.00,92208
14-07-2026 10:40:00,2204.80,2205.00,2197.40,2198.30,71273
14-07-2026 10:45:00,2198.20,2199.70,2193.90,2198.40,90836
14-07-2026 10:50:00,2198.50,2199.00,2193.00,2197.70,71379
14-07-2026 10:55:00,2197.20,2203.10,2197.20,2201.00,80725
14-07-2026 11:00:00,2200.90,2204.40,2197.80,2198.60,93430
14-07-2026 11:05:00,2198.30,2202.70,2197.70,2202.30,57141
14-07-2026 11:10:00,2202.20,2204.00,2200.70,2202.10,49078
14-07-2026 11:15:00,2202.00,2202.40,2200.00,2201.30,63751
14-07-2026 11:20:00,2201.20,2201.20,2197.50,2200.10,61928
14-07-2026 11:25:00,2199.80,2200.60,2197.00,2198.80,68578
14-07-2026 11:30:00,2198.30,2199.10,2195.30,2197.30,70370
14-07-2026 11:35:00,2198.30,2199.00,2195.10,2197.90,59640
14-07-2026 11:40:00,2198.50,2200.70,2198.20,2199.80,78991
14-07-2026 11:45:00,2199.60,2201.00,2195.90,2196.30,46754
14-07-2026 11:50:00,2196.20,2198.80,2194.00,2194.40,95205
14-07-2026 11:55:00,2194.80,2197.80,2190.00,2196.30,166690
14-07-2026 12:00:00,2196.20,2198.00,2190.50,2190.50,64180
14-07-2026 12:05:00,2190.90,2192.40,2186.00,2186.50,105974
14-07-2026 12:10:00,2186.10,2187.20,2182.20,2182.20,89556
14-07-2026 12:15:00,2182.70,2186.00,2182.00,2183.70,56286
14-07-2026 12:20:00,2183.60,2189.50,2183.10,2187.20,56994
14-07-2026 12:25:00,2187.00,2188.90,2185.50,2187.50,40902
14-07-2026 12:30:00,2187.80,2188.20,2185.40,2185.60,41555
14-07-2026 12:35:00,2186.20,2187.80,2183.50,2186.00,55636
14-07-2026 12:40:00,2186.60,2189.60,2185.10,2186.20,57620
14-07-2026 12:45:00,2186.00,2190.60,2185.00,2190.60,70104
14-07-2026 12:50:00,2190.30,2192.20,2187.80,2189.10,77858
14-07-2026 12:55:00,2189.20,2191.30,2188.80,2189.20,56986
14-07-2026 13:00:00,2189.10,2191.00,2186.50,2188.60,67175
14-07-2026 13:05:00,2189.20,2190.30,2186.00,2188.20,49731
14-07-2026 13:10:00,2188.10,2188.90,2185.70,2186.30,50817
14-07-2026 13:15:00,2186.20,2189.30,2185.10,2188.90,62698
14-07-2026 13:20:00,2189.20,2190.00,2187.60,2189.30,66329
14-07-2026 13:25:00,2189.10,2192.40,2186.00,2192.10,105233
14-07-2026 13:30:00,2192.00,2192.10,2190.00,2190.60,47178
14-07-2026 13:35:00,2190.50,2191.50,2190.00,2190.90,71703
14-07-2026 13:40:00,2191.00,2192.00,2190.00,2192.00,40896
14-07-2026 13:45:00,2191.90,2195.90,2191.90,2195.40,79243
14-07-2026 13:50:00,2195.20,2196.00,2191.20,2192.70,71734
14-07-2026 13:55:00,2192.80,2195.00,2190.70,2194.10,49223
14-07-2026 14:00:00,2194.20,2194.50,2191.00,2191.90,102318
14-07-2026 14:05:00,2192.00,2192.80,2190.00,2192.00,184611
14-07-2026 14:10:00,2192.10,2198.20,2192.10,2197.80,84600
14-07-2026 14:15:00,2198.00,2201.00,2196.00,2197.80,228030
14-07-2026 14:20:00,2198.20,2198.90,2195.20,2197.60,103024
14-07-2026 14:25:00,2197.10,2198.80,2196.00,2196.20,65879
14-07-2026 14:30:00,2196.10,2198.40,2195.50,2197.70,50964
14-07-2026 14:35:00,2198.50,2202.60,2197.00,2202.50,115913
14-07-2026 14:40:00,2202.00,2204.40,2198.20,2198.20,93169
14-07-2026 14:45:00,2198.10,2199.20,2194.70,2198.00,110491
14-07-2026 14:50:00,2197.60,2199.70,2196.60,2197.80,107023
14-07-2026 14:55:00,2198.00,2201.00,2196.30,2196.40,116285
14-07-2026 15:00:00,2197.00,2199.60,2193.00,2195.90,168211
14-07-2026 15:05:00,2195.30,2202.00,2195.30,2200.00,285831
14-07-2026 15:10:00,2200.10,2201.40,2198.10,2200.20,254655
14-07-2026 15:15:00,2200.30,2203.10,2200.00,2203.10,207071
14-07-2026 15:20:00,2203.00,2205.10,2198.40,2200.10,371937
14-07-2026 15:25:00,2200.00,2200.50,2195.00,2197.00,120569
