Date,Open,High,Low,Close,Volume
14-07-2026 09:30:00,4583.50,4588.00,4581.30,4586.20,5021
14-07-2026 09:35:00,4587.20,4587.20,4580.80,4583.00,4660
14-07-2026 09:40:00,4582.40,4584.00,4580.50,4581.20,3090
14-07-2026 09:45:00,4581.00,4583.20,4573.70,4574.70,11266
14-07-2026 09:50:00,4575.30,4577.00,4572.40,4575.10,3642
14-07-2026 09:55:00,4574.70,4579.00,4573.20,4579.00,7479
14-07-2026 10:00:00,4579.20,4582.00,4574.40,4576.00,2450
14-07-2026 10:05:00,4577.00,4577.70,4572.70,4575.60,3028
14-07-2026 10:10:00,4575.10,4575.30,4571.60,4573.40,1726
14-07-2026 10:15:00,4573.60,4580.70,4571.20,4573.70,3904
14-07-2026 10:20:00,4572.80,4584.40,4571.90,4580.80,3999
14-07-2026 10:25:00,4580.70,4586.80,4578.40,4582.50,90691
14-07-2026 10:30:00,4582.40,4585.00,4580.10,4581.40,5685
14-07-2026 10:35:00,4581.30,4581.30,4574.20,4579.50,9963
14-07-2026 10:40:00,4577.60,4578.80,4575.20,4575.80,1837
14-07-2026 10:45:00,4576.30,4577.30,4572.50,4576.30,2327
14-07-2026 10:50:00,4576.60,4576.60,4570.50,4570.50,3479
14-07-2026 10:55:00,4571.10,4574.50,4566.90,4569.00,10178
14-07-2026 11:00:00,4570.10,4573.70,4568.10,4571.30,1924
14-07-2026 11:05:00,4571.20,4573.20,4567.70,4568.80,1970
14-07-2026 11:10:00,4568.60,4570.10,4566.00,4568.50,1994
14-07-2026 11:15:00,4567.70,4570.40,4565.10,4565.90,2217
14-07-2026 11:20:00,4566.20,4573.80,4566.00,4572.40,4930
14-07-2026 11:25:00,4572.90,4576.10,4570.00,4571.40,6353
14-07-2026 11:30:00,4570.50,4575.30,4568.80,4572.30,2141
14-07-2026 11:35:00,4571.50,4572.30,4568.20,4571.50,2408
14-07-2026 11:40:00,4571.60,4572.00,4566.00,4570.60,2461
14-07-2026 11:45:00,4570.20,4571.20,4567.00,4567.20,1809
14-07-2026 11:50:00,4567.30,4570.40,4567.10,4567.70,3548
14-07-2026 11:55:00,4568.90,4569.30,4565.70,4566.90,2895
14-07-2026 12:00:00,4568.50,4572.00,4567.80,4570.80,1201
14-07-2026 12:05:00,4572.90,4581.00,4572.40,4579.40,4737
14-07-2026 12:10:00,4580.50,4581.60,4575.60,4579.70,2751
14-07-2026 12:15:00,4579.10,4579.10,4573.30,4577.70,2882
14-07-2026 12:20:00,4577.00,4581.00,4575.30,4578.60,3300
14-07-2026 12:25:00,4578.40,4578.90,4573.20,4574.10,2833
14-07-2026 12:30:00,4576.00,4578.90,4573.50,4578.80,2172
14-07-2026 12:35:00,4577.90,4578.90,4575.40,4578.40,2425
14-07-2026 12:40:00,4578.20,4581.00,4576.20,4580.10,1866
14-07-2026 12:45:00,4580.70,4581.10,4576.20,4579.70,2560
14-07-2026 12:50:00,4579.50,4580.60,4571.70,4574.60,2290
14-07-2026 12:55:00,4574.50,4574.60,4568.90,4572.10,3366
14-07-2026 13:00:00,4572.60,4578.20,4571.90,4576.80,2280
14-07-2026 13:05:00,4577.10,4581.10,4577.00,4580.90,2195
14-07-2026 13:10:00,4580.70,4580.90,4574.00,4576.50,3249
14-07-2026 13:15:00,4574.80,4577.20,4572.60,4576.80,2179
14-07-2026 13:20:00,4576.70,4579.40,4574.90,4576.50,1988
14-07-2026 13:25:00,4576.30,4581.00,4574.80,4579.20,3651
14-07-2026 13:30:00,4579.30,4580.80,4577.00,4578.80,1803
14-07-2026 13:35:00,4578.20,4578.80,4573.70,4574.20,3586
14-07-2026 13:40:00,4575.00,4578.70,4573.60,4576.50,2439
14-07-2026 13:45:00,4576.40,4579.10,4573.60,4575.50,2484
14-07-2026 13:50:00,4573.60,4577.90,4573.30,4576.80,1937
14-07-2026 13:55:00,4575.70,4579.90,4575.40,4579.10,2377
14-07-2026 14:00:00,4579.00,4580.00,4574.50,4579.10,2107
14-07-2026 14:05:00,4577.30,4579.10,4564.20,4564.20,11704
14-07-2026 14:10:00,4565.50,4571.50,4565.40,4571.10,5099
14-07-2026 14:15:00,4570.50,4571.60,4567.00,4568.10,3776
14-07-2026 14:20:00,4569.50,4578.30,4567.60,4572.70,87203
14-07-2026 14:25:00,4572.30,4575.00,4570.20,4571.20,4666
14-07-2026 14:30:00,4573.10,4575.00,4571.10,4574.00,4193
14-07-2026 14:35:00,4573.70,4578.00,4571.70,4573.10,4286
14-07-2026 14:40:00,4574.50,4575.40,4571.20,4571.30,3936
14-07-2026 14:45:00,4572.20,4575.40,4569.50,4570.50,4647
14-07-2026 14:50:00,4572.10,4574.50,4569.70,4569.80,5764
14-07-2026 14:55:00,4570.30,4573.60,4568.90,4573.60,8357
14-07-2026 15:00:00,4573.50,4576.00,4570.40,4572.50,18108
14-07-2026 15:05:00,4572.70,4577.00,4571.80,4577.00,19187
14-07-2026 15:10:00,4576.40,4577.90,4572.00,4574.20,15068
14-07-2026 15:15:00,4573.90,4574.00,4565.00,4565.00,13647
14-07-2026 15:20:00,4574.00,4574.70,4574.00,4574.00,64875
14-07-2026 15:25:00,4574.10,4580.30,4566.10,4571.60,28177
